time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,version,t_pupils,t_att8,avg_att8,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_CI_low,p8score_CI_upp
202122,Academic year,National,E92000001,England,,,,,,CINO at 31 March,Revised,12900,265622.88,20.6,1690,13.1,3020,23.4,1570,12.2,21949.96,1.7,11270,-18359.7,-1.63,-1.66,-1.6
202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,CINO at 31 March,Revised,770,14522,18.8,80,10.9,160,21,60,7.9,1172.05,1.52,690,-1266.415,-1.82,-1.93,-1.72
202122,Academic year,Regional,E92000001,England,E12000002,North West,,,,CINO at 31 March,Revised,1820,35946.5,19.8,200,11,380,21,190,10.2,2915.4,1.6,1610,-2866.868,-1.78,-1.84,-1.71
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CINO at 31 March,Revised,1380,27687,20,170,11.9,310,22.3,150,11.1,2266.73,1.64,1220,-1922.32,-1.57,-1.65,-1.49
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,CINO at 31 March,Revised,860,17075,19.9,90,10.2,180,20.4,80,9,1392.95,1.63,750,c,-1.67,-1.77,-1.57
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,CINO at 31 March,Revised,1470,29748,20.3,170,11.8,330,22.2,160,10.6,2429.07,1.66,1290,-2027.277,-1.57,-1.65,-1.5
202122,Academic year,Regional,E92000001,England,E12000006,East of England,,,,CINO at 31 March,Revised,990,17200.5,17.4,110,10.9,200,20,110,10.8,1424.73,1.44,870,-1485.735,-1.72,-1.81,-1.62
202122,Academic year,Regional,E92000001,England,E12000007,London,,,,CINO at 31 March,Revised,2110,48269.75,22.9,380,17.8,600,28.2,440,20.9,4122.09,1.95,1780,-2655.94,-1.49,-1.55,-1.42
202122,Academic year,Regional,E92000001,England,E12000008,South East,,,,CINO at 31 March,Revised,2350,50744.63,21.6,350,14.8,590,25.3,260,11,4206.74,1.79,2040,-3230.342,-1.58,-1.64,-1.52
202122,Academic year,Regional,E92000001,England,E12000009,South West,,,,CINO at 31 March,Revised,1120,24148.75,21.5,140,12.7,280,24.5,130,11.1,1994.04,1.77,1010,c,-1.64,-1.73,-1.55
202122,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,CINO at 31 March,Revised,830,19430.5,23.5,150,18.5,250,29.7,190,22.5,1662.16,2.01,710,-1058.765,-1.5,-1.61,-1.4
202122,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,CINO at 31 March,Revised,1280,28839.25,22.5,220,17.4,350,27.2,260,19.9,2459.93,1.92,1080,-1597.175,-1.48,-1.56,-1.4
202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,CINO at 31 March,Revised,87,1263.5,14.5,c,c,15,17.2,6,6.9,97.85,1.12,77,-163.356,-2.12,-2.44,-1.81
202122,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,CINO at 31 March,Revised,35,838.5,24,c,c,9,25.7,c,c,c,c,31,-41.15,-1.33,-1.82,-0.83
202122,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,CINO at 31 March,Revised,59,1328,22.5,10,16.9,18,30.5,10,16.9,110.35,1.87,55,-90.749,-1.65,-2.02,-1.28
202122,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,CINO at 31 March,Revised,35,787.25,22.5,c,c,9,25.7,c,c,c,c,34,-64.823,-1.91,-2.38,-1.43
202122,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,CINO at 31 March,Revised,73,1653.75,22.7,9,12.3,20,27.4,c,c,c,c,66,-110.723,-1.68,-2.02,-1.34
202122,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,CINO at 31 March,Revised,98,1635.75,16.7,12,12.2,16,16.3,9,9.2,135.33,1.38,86,-182.716,-2.12,-2.42,-1.83
202122,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,CINO at 31 March,Revised,55,1273.25,23.2,10,18.2,15,27.3,c,c,c,c,49,-82.948,-1.69,-2.09,-1.3
202122,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,CINO at 31 March,Revised,99,1818,18.4,12,12.1,24,24.2,6,6.1,151.67,1.53,83,-146.434,-1.76,-2.07,-1.46
202122,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,CINO at 31 March,Revised,61,879,14.4,c,c,8,13.1,c,c,c,c,55,-110.834,-2.02,-2.39,-1.64
202122,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,CINO at 31 March,Revised,55,969,17.6,c,c,9,16.4,c,c,c,c,54,-99.515,-1.84,-2.22,-1.47
202122,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,CINO at 31 March,Revised,60,1105.5,18.4,c,c,10,16.7,c,c,c,c,56,-98.438,-1.76,-2.13,-1.39
202122,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,CINO at 31 March,Revised,56,970.5,17.3,c,c,9,16.1,6,10.7,78.66,1.4,48,-74.729,-1.56,-1.96,-1.16
202122,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,CINO at 31 March,Revised,38,665.5,17.5,c,c,7,18.4,c,c,c,c,33,-55.331,-1.68,-2.16,-1.2
202122,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,CINO at 31 March,Revised,53,693.25,13.1,c,c,c,c,0,0,53.68,1.01,43,-90.642,-2.11,-2.53,-1.69
202122,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,CINO at 31 March,Revised,50,1037.75,20.8,c,c,10,20,c,c,c,c,41,-60.15,-1.47,-1.9,-1.04
202122,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,CINO at 31 March,Revised,58,1437,24.8,6,10.3,14,24.1,10,17.2,114.67,1.98,49,-73.358,-1.5,-1.89,-1.1
202122,Academic year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,CINO at 31 March,Revised,63,955.75,15.2,c,c,8,12.7,c,c,c,c,51,-94.971,-1.86,-2.25,-1.48
202122,Academic year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,CINO at 31 March,Revised,58,940,16.2,c,c,7,12.1,c,c,c,c,56,-111.042,-1.98,-2.35,-1.61
202122,Academic year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,CINO at 31 March,Revised,81,1685,20.8,9,11.1,21,25.9,10,12.3,138.31,1.71,71,-133.939,-1.89,-2.21,-1.56
202122,Academic year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,CINO at 31 March,Revised,40,852.75,21.3,7,17.5,11,27.5,c,c,c,c,35,-51.494,-1.47,-1.94,-1
202122,Academic year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,CINO at 31 March,Revised,34,351.25,10.3,c,c,c,c,c,c,c,c,31,-64.027,-2.07,-2.56,-1.57
202122,Academic year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,CINO at 31 March,Revised,221,4465.75,20.2,31,14,52,23.5,21,9.5,362.33,1.64,205,-319.934,-1.56,-1.75,-1.37
202122,Academic year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,CINO at 31 March,Revised,97,1315.75,13.6,8,8.2,15,15.5,c,c,c,c,88,-190.921,-2.17,-2.46,-1.88
202122,Academic year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,CINO at 31 March,Revised,156,2885.75,18.5,15,9.6,27,17.3,12,7.7,225.06,1.44,137,-277.496,-2.03,-2.26,-1.79
202122,Academic year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,CINO at 31 March,Revised,111,2608.25,23.5,12,10.8,35,31.5,17,15.3,215.86,1.94,105,-161.783,-1.54,-1.81,-1.27
202122,Academic year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,CINO at 31 March,Revised,75,1591.5,21.2,9,12,17,22.7,9,12,128.83,1.72,70,-109.094,-1.56,-1.89,-1.23
202122,Academic year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,CINO at 31 March,Revised,71,1369.75,19.3,9,12.7,16,22.5,11,15.5,113.31,1.6,61,-113.98,-1.87,-2.22,-1.52
202122,Academic year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,CINO at 31 March,Revised,121,2484.5,20.5,10,8.3,25,20.7,11,9.1,201.34,1.66,98,-190.595,-1.94,-2.22,-1.67
202122,Academic year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,CINO at 31 March,Revised,39,645.5,16.6,c,c,6,15.4,c,c,c,c,33,-63.511,-1.92,-2.41,-1.44
202122,Academic year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,CINO at 31 March,Revised,96,2022.25,21.1,12,12.5,24,25,12,12.5,163.99,1.71,87,-142.293,-1.64,-1.93,-1.34
202122,Academic year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,CINO at 31 March,Revised,81,1916.25,23.7,10,12.3,21,25.9,12,14.8,163.15,2.01,75,-138.107,-1.84,-2.16,-1.52
202122,Academic year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,CINO at 31 March,Revised,56,1520.5,27.2,14,25,17,30.4,10,17.9,129.66,2.32,45,-68.523,-1.52,-1.93,-1.11
202122,Academic year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,CINO at 31 March,Revised,62,1350,21.8,10,16.1,14,22.6,7,11.3,112.85,1.82,58,-114.409,-1.97,-2.34,-1.61
202122,Academic year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,CINO at 31 March,Revised,88,1842.75,20.9,10,11.4,18,20.5,10,11.4,155.68,1.77,81,-149.364,-1.84,-2.15,-1.54
202122,Academic year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,CINO at 31 March,Revised,71,1309.75,18.4,6,8.5,10,14.1,c,c,c,c,61,-91.904,-1.51,-1.86,-1.15
