time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,t_pupils,t_perm_excl,pt_perm_excl,t_one_plus_sus,pt_one_plus_sus
202021,Academic year,National,E92000001,England,,,,,,CINO at 31 March,133320,510,0.38,11640,8.73
202021,Academic year,Regional,E92000001,England,E12000001,North East,,,,CINO at 31 March,8720,40,0.42,760,8.75
202021,Academic year,Regional,E92000001,England,E12000002,North West,,,,CINO at 31 March,18340,90,0.49,1610,8.78
202021,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CINO at 31 March,14480,60,0.39,1340,9.22
202021,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,CINO at 31 March,9910,40,0.43,830,8.42
202021,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,CINO at 31 March,15020,70,0.49,1250,8.33
202021,Academic year,Regional,E92000001,England,E12000006,East of England,,,,CINO at 31 March,9310,40,0.46,910,9.79
202021,Academic year,Regional,E92000001,England,E12000007,London,,,,CINO at 31 March,23330,60,0.25,1560,6.69
202021,Academic year,Regional,E92000001,England,E12000008,South East,,,,CINO at 31 March,23420,60,0.26,2080,8.9
202021,Academic year,Regional,E92000001,England,E12000009,South West,,,,CINO at 31 March,10790,50,0.46,1290,11.95
202021,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,CINO at 31 March,9210,20,0.18,620,6.74
202021,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,CINO at 31 March,14120,40,0.3,940,6.67
202021,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,CINO at 31 March,970,8,0.82,82,8.45
202021,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,CINO at 31 March,300,c,c,29,9.67
202021,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,CINO at 31 March,540,c,c,51,9.44
202021,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,CINO at 31 March,580,0,0,38,6.55
202021,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,CINO at 31 March,974,7,0.72,113,11.6
202021,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,CINO at 31 March,923,c,c,88,9.53
202021,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,CINO at 31 March,649,c,c,39,6.01
202021,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,CINO at 31 March,928,0,0,75,8.08
202021,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,CINO at 31 March,729,c,c,70,9.6
202021,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,CINO at 31 March,534,c,c,43,8.05
202021,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,CINO at 31 March,865,c,c,76,8.79
202021,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,CINO at 31 March,724,c,c,59,8.15
202021,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,CINO at 31 March,414,c,c,26,6.28
202021,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,CINO at 31 March,541,c,c,39,7.21
202021,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,CINO at 31 March,761,c,c,70,9.2
202021,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,CINO at 31 March,454,0,0,38,8.37
202021,Academic year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,CINO at 31 March,613,c,c,53,8.65
202021,Academic year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,CINO at 31 March,657,c,c,63,9.59
202021,Academic year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,CINO at 31 March,1016,c,c,85,8.37
202021,Academic year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,CINO at 31 March,367,c,c,22,5.99
202021,Academic year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,CINO at 31 March,416,c,c,33,7.93
202021,Academic year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,CINO at 31 March,2059,12,0.58,187,9.08
202021,Academic year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,CINO at 31 March,1014,c,c,78,7.69
202021,Academic year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,CINO at 31 March,1578,c,c,157,9.95
202021,Academic year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,CINO at 31 March,905,c,c,59,6.52
202021,Academic year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,CINO at 31 March,1062,8,0.75,93,8.76
202021,Academic year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,CINO at 31 March,749,9,1.2,73,9.75
202021,Academic year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,CINO at 31 March,774,c,c,58,7.49
202021,Academic year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,CINO at 31 March,414,c,c,34,8.21
202021,Academic year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,CINO at 31 March,1156,6,0.52,104,9
202021,Academic year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,CINO at 31 March,572,c,c,84,14.69
202021,Academic year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,CINO at 31 March,490,0,0,46,9.39
202021,Academic year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,CINO at 31 March,558,c,c,62,11.11
202021,Academic year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,CINO at 31 March,978,9,0.92,89,9.1
202021,Academic year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,CINO at 31 March,794,c,c,58,7.3
202021,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,CINO at 31 March,808,7,0.87,79,9.78
202021,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,Bradford,E08000032,CINO at 31 March,2572,7,0.27,185,7.19
202021,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,Calderdale,E08000033,CINO at 31 March,364,c,c,43,11.81
