time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,t_pupils,t_primary,t_secondary,t_special,t_pru
202122,Academic year,National,E92000001,England,,,,,,CINO at 31 March,135290,59280,49360,24810,1840
202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,CINO at 31 March,8780,3970,2800,1870,140
202122,Academic year,Regional,E92000001,England,E12000002,North West,,,,CINO at 31 March,19060,8660,6880,3220,310
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CINO at 31 March,14920,7370,5530,1810,220
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,CINO at 31 March,9510,4540,3610,1270,100
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,CINO at 31 March,15340,6710,5520,2940,180
202122,Academic year,Regional,E92000001,England,E12000006,East of England,,,,CINO at 31 March,9540,3540,3170,2690,140
202122,Academic year,Regional,E92000001,England,E12000007,London,,,,CINO at 31 March,21740,8790,8190,4380,370
202122,Academic year,Regional,E92000001,England,E12000008,South East,,,,CINO at 31 March,24860,10660,9050,4950,200
202122,Academic year,Regional,E92000001,England,E12000009,South West,,,,CINO at 31 March,11540,5060,4610,1690,180
202122,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,CINO at 31 March,8570,3740,3320,1330,180
202122,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,CINO at 31 March,13160,5050,4870,3050,190
202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,CINO at 31 March,944,412,286,220,26
202122,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,CINO at 31 March,406,203,129,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,CINO at 31 March,739,326,214,183,16
202122,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,CINO at 31 March,575,294,224,49,8
202122,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,CINO at 31 March,810,412,290,99,9
202122,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,CINO at 31 March,1019,451,358,197,13
202122,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,CINO at 31 March,565,216,173,160,16
202122,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,CINO at 31 March,992,380,307,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,CINO at 31 March,617,282,182,135,18
202122,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,CINO at 31 March,512,208,151,142,11
202122,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,CINO at 31 March,920,500,262,150,8
202122,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,CINO at 31 March,685,285,226,166,8
202122,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,CINO at 31 March,417,183,129,96,9
202122,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,CINO at 31 March,594,260,208,117,9
202122,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,CINO at 31 March,633,317,235,74,7
202122,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,CINO at 31 March,571,236,236,81,18
202122,Academic year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,CINO at 31 March,554,253,202,88,11
202122,Academic year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,CINO at 31 March,744,398,270,63,13
202122,Academic year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,CINO at 31 March,1018,452,381,172,13
202122,Academic year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,CINO at 31 March,400,188,170,36,6
202122,Academic year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,CINO at 31 March,366,150,c,109,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,CINO at 31 March,1948,587,676,638,47
202122,Academic year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,CINO at 31 March,1151,594,366,176,15
202122,Academic year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,CINO at 31 March,1394,588,533,252,21
202122,Academic year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,CINO at 31 March,1106,565,403,131,7
202122,Academic year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,CINO at 31 March,951,440,285,213,13
202122,Academic year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,CINO at 31 March,715,331,254,115,15
202122,Academic year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,CINO at 31 March,1088,506,408,154,20
202122,Academic year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,CINO at 31 March,417,157,185,67,8
202122,Academic year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,CINO at 31 March,1003,480,378,123,22
202122,Academic year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,CINO at 31 March,782,382,322,55,23
202122,Academic year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,CINO at 31 March,590,279,224,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,CINO at 31 March,555,284,213,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,CINO at 31 March,1268,681,444,124,19
202122,Academic year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,CINO at 31 March,794,344,257,193,0
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,CINO at 31 March,678,362,239,c,c
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,Bradford,E08000032,CINO at 31 March,2347,1114,888,328,17
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,Calderdale,E08000033,CINO at 31 March,396,191,157,42,6
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,Doncaster,E08000017,CINO at 31 March,799,482,296,21,0
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,CINO at 31 March,756,354,295,86,21
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,CINO at 31 March,1392,771,428,137,56
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,Kirklees,E08000034,CINO at 31 March,712,353,261,c,c
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,Leeds,E08000035,CINO at 31 March,2280,1152,932,c,c
