time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,t_pupils,t_no_identified_SEN,t_all_SEN,t_SEN_support,t_statement_or_EHC_plan,t_ASD,t_HI,t_MLD,t_MSI,t_NSA,t_OTH,t_PD,t_PMLD,t_SEMH,t_SLCN,t_SLD,t_SPLD,t_VI,pt_no_identified_SEN,pt_all_SEN,pt_SEN_support,pt_statement_or_EHC_plan,pt_ASD,pt_HI,pt_MLD,pt_MSI,pt_NSA,pt_OTH,pt_PD,pt_PMLD,pt_SEMH,pt_SLCN,pt_SLD,pt_SPLD,pt_VI
202122,Academic year,National,E92000001,England,,,,,,CINO at 31 March,139320,72140,67180,29720,37460,13000,650,7720,200,1140,1820,2800,3480,16550,8830,6850,3560,570,51.8,48.2,21.3,26.9,19.3,1,11.5,0.3,1.7,2.7,4.2,5.2,24.6,13.1,10.2,5.3,0.8
202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,CINO at 31 March,8960,4720,4240,1830,2410,870,50,550,10,70,80,160,260,940,550,490,190,30,52.7,47.3,20.4,26.9,20.5,1.3,12.9,0.2,1.7,1.9,3.7,6.1,22.2,12.9,11.5,4.5,0.6
202122,Academic year,Regional,E92000001,England,E12000002,North West,,,,CINO at 31 March,19510,10570,8940,4240,4690,1590,60,1080,40,190,230,320,520,2350,1160,820,490,90,54.2,45.8,21.8,24.1,17.7,0.6,12.1,0.4,2.2,2.6,3.6,5.8,26.3,13,9.2,5.5,1
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CINO at 31 March,15220,8980,6240,3340,2900,950,90,850,10,100,140,250,290,1780,940,460,350,60,59,41,21.9,19.1,15.2,1.5,13.6,0.1,1.5,2.2,3.9,4.6,28.5,15,7.3,5.6,0.9
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,CINO at 31 March,9780,5390,4400,2340,2060,760,50,650,20,80,140,180,220,1250,460,310,260,30,55.1,44.9,23.9,21,17.2,1.2,14.9,0.5,1.8,3.1,4,5.1,28.3,10.5,6.9,5.8,0.7
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,CINO at 31 March,15930,8380,7550,3410,4140,1250,60,1230,20,110,210,380,360,1750,990,800,320,70,52.6,47.4,21.4,26,16.5,0.8,16.3,0.3,1.4,2.8,5,4.8,23.1,13.1,10.6,4.3,0.9
202122,Academic year,Regional,E92000001,England,E12000006,East of England,,,,CINO at 31 March,9830,4270,5560,1780,3780,990,60,510,30,100,140,350,320,1180,480,1100,260,50,43.4,56.6,18.1,38.4,17.8,1.1,9.1,0.5,1.7,2.6,6.3,5.7,21.2,8.7,19.9,4.7,0.8
202122,Academic year,Regional,E92000001,England,E12000007,London,,,,CINO at 31 March,22440,11110,11330,4280,7050,3120,110,740,20,220,410,320,670,2340,1680,1080,510,110,49.5,50.5,19.1,31.4,27.5,1,6.5,0.2,2,3.6,2.8,5.9,20.6,14.8,9.6,4.5,1
202122,Academic year,Regional,E92000001,England,E12000008,South East,,,,CINO at 31 March,25710,12810,12910,5490,7410,2600,120,1430,40,160,300,640,610,3090,1740,1320,760,100,49.8,50.2,21.4,28.8,20.1,0.9,11,0.3,1.3,2.3,5,4.7,24,13.5,10.3,5.9,0.8
202122,Academic year,Regional,E92000001,England,E12000009,South West,,,,CINO at 31 March,11940,5910,6030,3010,3020,880,50,690,20,110,170,220,240,1890,840,470,420,40,49.5,50.5,25.2,25.3,14.6,0.9,11.4,0.3,1.9,2.9,3.6,3.9,31.4,13.9,7.7,6.9,0.6
202122,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,CINO at 31 March,8840,4670,4180,1780,2400,1210,40,220,c,90,140,110,210,940,680,280,220,50,52.8,47.2,20.1,27.1,28.9,1,5.1,c,2.1,3.4,2.5,5,22.4,16.2,6.7,5.1,1.2
202122,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,CINO at 31 March,13600,6440,7160,2510,4650,1920,70,530,10,130,260,210,460,1400,1000,800,300,70,47.4,52.6,18.4,34.2,26.8,1,7.3,0.2,1.9,3.6,2.9,6.5,19.6,14,11.2,4.1,0.9
202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,CINO at 31 March,967,479,488,213,275,113,c,85,0,c,8,14,39,99,51,50,21,c,49.5,50.5,22,28.4,23.2,c,17.4,0,c,1.6,2.9,8,20.3,10.5,10.2,4.3,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,CINO at 31 March,417,232,185,88,97,41,c,38,0,c,c,9,12,33,27,c,9,c,55.6,44.4,21.1,23.3,22.2,c,20.5,0,c,c,4.9,6.5,17.8,14.6,c,4.9,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,CINO at 31 March,756,398,358,134,224,107,7,49,c,c,12,9,24,75,32,27,7,c,52.6,47.4,17.7,29.6,29.9,2,13.7,c,c,3.4,2.5,6.7,20.9,8.9,7.5,2,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,CINO at 31 March,589,342,247,150,97,48,c,43,c,c,c,8,c,55,43,14,18,c,58.1,41.9,25.5,16.5,19.4,c,17.4,c,c,c,3.2,c,22.3,17.4,5.7,7.3,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,CINO at 31 March,822,494,328,192,136,28,6,59,c,10,c,6,27,99,32,30,23,c,60.1,39.9,23.4,16.5,8.5,1.8,18,c,3,c,1.8,8.2,30.2,9.8,9.1,7,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,CINO at 31 March,1026,586,440,202,238,90,c,34,c,c,8,12,31,88,83,65,20,c,57.1,42.9,19.7,23.2,20.5,c,7.7,c,c,1.8,2.7,7,20,18.9,14.8,4.5,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,CINO at 31 March,567,288,279,88,191,68,c,18,0,c,14,12,17,63,41,25,14,c,50.8,49.2,15.5,33.7,24.4,c,6.5,0,c,5,4.3,6.1,22.6,14.7,9,5,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,CINO at 31 March,1035,483,552,163,389,102,9,62,0,c,6,33,29,117,80,96,9,c,46.7,53.3,15.7,37.6,18.5,1.6,11.2,0,c,1.1,6,5.3,21.2,14.5,17.4,1.6,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,CINO at 31 March,628,329,299,124,175,64,c,40,0,c,c,12,19,79,27,31,13,c,52.4,47.6,19.7,27.9,21.4,c,13.4,0,c,c,4,6.4,26.4,9,10.4,4.3,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,CINO at 31 March,520,210,310,124,186,57,9,33,c,c,7,14,23,75,26,39,21,0,40.4,59.6,23.8,35.8,18.4,2.9,10.6,c,c,2.3,4.5,7.4,24.2,8.4,12.6,6.8,0
202122,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,CINO at 31 March,931,537,394,191,203,51,c,46,c,29,8,10,19,76,61,55,30,c,57.7,42.3,20.5,21.8,12.9,c,11.7,c,7.4,2,2.5,4.8,19.3,15.5,14,7.6,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,CINO at 31 March,698,343,355,157,198,98,c,41,0,c,c,16,15,81,42,48,7,0,49.1,50.9,22.5,28.4,27.6,c,11.5,0,c,c,4.5,4.2,22.8,11.8,13.5,2,0
202122,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,CINO at 31 March,418,196,222,103,119,44,0,30,c,c,c,9,22,41,40,18,8,c,46.9,53.1,24.6,28.5,19.8,0,13.5,c,c,c,4.1,9.9,18.5,18,8.1,3.6,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,CINO at 31 March,607,322,285,141,144,42,c,54,0,c,9,23,c,60,46,37,9,c,53,47,23.2,23.7,14.7,c,18.9,0,c,3.2,8.1,c,21.1,16.1,13,3.2,c
