Geog_lev,Geog_code,Geog_name,Overall_1,Infogath_1,needsanalysis_1,procedure_1,protocol_1,needassess_1,Overall_2,Infogath_2,needsanalysis_2,procedure_2,protocol_2,needassess_2,Overall_3,Infogath_3,needsanalysis_3,procedure_3,protocol_3,needassess_3,Overall_4,Infogath_4,needsanalysis_4,procedure_4,protocol_4,needassess_4,Overall_5,Infogath_5,needsanalysis_5,procedure_5,protocol_5,needassess_5,Overall_6,Infogath_6,needsanalysis_6,procedure_6,protocol_6,needassess_6,Overall_7,Infogath_7,needsanalysis_7,procedure_7,protocol_7,needassess_7
Country ,921,England ,7.4,1.3,1.5,1.5,1.7,1.4,8,1.5,1.6,1.6,1.8,1.4,8.7,1.7,1.8,1.8,1.9,1.5,9.4,1.8,2,1.9,2.2,1.6,9.9,1.9,2.1,2,2.2,1.7,10.5,2,2.2,2.1,2.3,1.8,11.1,2.2,2.4,2.2,2.4,1.9
GOR,A,North East ,7,1.4,1.6,1.4,1.6,1,7.8,1.6,1.8,1.3,2.1,1.1,8.6,1.8,1.9,1.5,2.1,1.3,9.8,2.2,2.3,1.6,2.5,1.3,11.2,2.4,2.6,2,2.6,1.6,11.5,2.5,2.6,2.2,2.6,1.7,11.9,2.6,2.8,2,2.5,2
GOR,B,North West ,7.9,1.6,1.5,1.7,1.6,1.6,8.1,1.7,1.6,1.7,1.6,1.5,9.3,1.9,2,1.9,2,1.6,10.5,2,2.2,2.3,2.3,1.7,10.9,2.1,2.3,2.3,2.4,1.7,11.3,2.2,2.5,2.4,2.4,1.8,11.8,2.3,2.6,2.5,2.4,2
GOR,D,Yorkshire and Humberside,8.8,1.5,1.7,1.9,2,1.7,8.9,1.6,1.7,1.9,2,1.6,9.1,1.7,1.8,1.9,2.1,1.7,9.6,1.8,1.9,2.1,2.1,1.7,9.5,1.7,1.9,2.1,1.9,1.9,9.9,1.8,1.9,2.2,2,2,10.4,2,2.2,2.2,2.1,1.9
GOR,E,East Midlands ,8.2,1.2,2,1.6,1.9,1.6,8.8,1.6,2,1.8,1.9,1.6,9.2,1.6,2.1,1.9,2,1.7,10.1,1.6,2.4,2,2.3,1.9,10.8,2,2.4,2.1,2.2,2,11,2,2.4,2.2,2.3,2,11.8,2.5,2.6,2.3,2.4,2
GOR,F,West Midlands ,5.8,1.1,1.1,1.1,1.4,1.1,7.2,1.6,1.5,1.4,1.5,1.2,7.9,1.7,2,1.4,1.5,1.4,8.8,1.8,2.1,1.6,2,1.3,9.6,1.9,2.2,2,2,1.5,9.7,1.9,2.2,2.1,2.1,1.5,10,2.2,2.2,2.1,2,1.5
GOR,G,East of England ,7.6,1.1,1.4,1.7,2,1.3,8.1,1.2,1.5,2,2.1,1.3,8.3,1.3,1.6,1.9,2.1,1.4,7.6,1.1,1.5,1.8,2,1.3,8,1.2,1.4,1.8,2.3,1.4,9.5,1.5,1.8,1.9,2.5,1.7,9.9,1.6,2,2.1,2.5,1.6
GOR,H,London,7.9,1.5,1.5,1.7,1.7,1.6,8,1.6,1.6,1.6,1.7,1.5,9,1.7,1.7,1.9,2,1.8,9.8,1.8,1.9,2.1,2.1,1.8,10.3,1.9,2,2.2,2.3,1.9,11.3,2.2,2.3,2.3,2.4,2.1,11.8,2.3,2.4,2.4,2.5,2.2
GOR,J,South East,6.7,1.1,1.5,1.4,1.5,1.2,7.7,1.5,1.7,1.4,1.8,1.3,8.6,1.7,1.9,1.6,2,1.4,9.3,1.9,1.9,1.6,2.2,1.6,9.4,1.9,1.9,1.8,2.2,1.6,9.8,2.1,2,1.9,2.2,1.6,11.1,2.2,2.2,2.2,2.6,1.9
GOR,K,South West,7.3,1.3,1.3,1.3,1.7,1.6,7.6,1.4,1.5,1.6,1.6,1.6,7.9,1.4,1.6,1.6,1.8,1.4,8.3,1.5,1.7,1.5,2.1,1.5,8.9,1.6,1.9,1.7,2.1,1.5,9.6,1.7,2.2,1.9,2.1,1.7,10,1.8,2.2,2,2.2,1.8
