geog_l,geog_c,geog_n,CeasedTotal_2010,CeasedAdoptUnop_2010,CeasedAdoptDisp_2010,CeasedDied_2010,CeasedAnotherLA_2010,CeasedHome_2010,CeasedResOrd_2010,CeasedSpeGuaForm_2010,CeasedSpecGuaOth_2010,CeasedIndSup_2010,CeasedIndNoSup_2010,CeasedAduCare_2010,CeasedCust_2010,CeasedOther_2010
National,921,England,25100,1700,1500,50,170,9800,1000,840,420,2300,1000,470,310,5500
GOR,A,North East ,1470,140,80,x,10,730,80,40,30,90,30,10,10,220
GOR,B,North West,3600,280,260,10,20,1220,200,200,50,240,90,60,40,940
GOR,D,Yorkshire and The Humber,2310,170,230,10,10,680,140,90,30,220,60,40,30,600
GOR,E,East Midlands,1710,160,120,x,10,620,50,50,20,280,50,30,30,300
GOR,F,West Midlands,2880,180,170,10,20,1240,130,70,40,260,120,60,30,550
GOR,G,East of England ,2120,140,180,x,10,780,80,60,50,280,110,60,20,360
GOR,H,London ,5440,220,180,10,50,2390,130,150,120,510,190,70,100,1350
GOR,J,South East,3400,260,180,10,20,1170,100,130,40,220,300,90,30,860
GOR,K,South West,2170,130,130,x,30,970,90,60,50,200,80,50,30,360
LA,201,City of London,x,x,0,0,0,0,0,0,0,x,0,0,0,0
LA,202,Camden,102,8,0,x,0,37,7,6,7,0,0,0,x,35
LA,203,Greenwich,281,22,x,0,0,146,6,x,10,17,8,6,6,55
LA,204,Hackney,138,x,16,0,0,67,x,10,x,x,0,x,x,31
LA,205,Hammersmith and Fulham,113,x,x,x,x,25,6,10,x,18,7,7,x,27
LA,206,Islington,123,0,7,0,x,35,0,0,0,42,x,x,x,32
LA,207,Kensington and Chelsea,x,0,x,0,x,24,x,x,x,17,x,0,x,23
LA,208,Lambeth,250,12,x,x,x,115,6,15,x,74,x,0,6,9
LA,209,Lewisham,195,x,22,x,x,71,12,x,x,9,x,6,x,63
LA,210,Southwark,260,11,11,0,x,93,6,x,12,41,25,x,8,44
LA,211,Tower Hamlets,243,x,6,0,x,135,12,x,9,8,0,x,x,62
LA,212,Wandsworth,132,6,x,0,0,68,x,14,9,9,6,x,8,7
LA,213,Westminster,130,x,x,0,x,59,9,x,x,29,x,x,x,14
LA,301,Barking & Dagenham,236,x,14,x,0,134,7,x,8,0,0,0,x,61
LA,302,Barnet,157,10,x,0,0,52,x,x,x,50,x,x,x,24
LA,303,Bexley,149,0,12,0,x,100,0,0,x,7,9,0,x,14
LA,304,Brent,171,8,x,x,x,73,x,11,0,21,x,18,8,20
LA,305,Bromley,121,8,8,0,0,48,x,x,x,15,16,x,x,19
LA,306,Croydon,509,10,x,x,6,110,x,6,6,x,12,x,6,340
LA,307,Ealing,211,x,6,0,x,99,x,7,9,x,x,x,x,70
LA,308,Enfield,140,x,6,x,x,71,8,x,0,x,0,0,0,46
LA,309,Haringey,260,12,0,0,x,150,x,6,7,0,0,0,x,79
LA,310,Harrow,90,x,x,0,x,43,0,x,x,x,13,0,x,10
