geog_l,geog_c,geog_n,MarTotal_2010,Mid2009Pop0-17,MarPlace_Q1_2010,MarPlace_Q2_2010,MarPlace_A3_2010,MarPlace_A4_2010,MarPlace_A5_2010,MarPlace_A6_2010,MarPlace_P1_2010,MarPlace_P2_2010,MarPlace_P3_2010,MarPlace_K1_2010,MarPlace_K2_2010,MarPlace_H5_2010,MarPlace_R1_2010,MarPlace_R2_2010,MarPlace_R3_2010,MarPlace_R5_2010,MarPlace_S1_2010,MarPlace_M1_2010,MarPlace_M2_2010,MarPlace_M3_2010,MarPlace_Z1_2010
National,921,England,64400,11012300,x,170,240,1800,1000,230,5000,x,30,80,4200,2300,10,7300,39900,540,120,190,130,1000,120
GOR,A,North East ,3650,524900,0,10,x,170,20,10,270,0,0,x,170,50,0,340,2510,30,x,0,x,60,x
GOR,B,North West,11180,1480500,x,30,30,330,70,50,900,0,x,10,1240,220,x,1850,6080,160,10,10,30,120,20
GOR,D,Yorkshire and The Humber,7050,1107100,x,20,30,250,40,30,610,0,10,x,650,230,x,870,4140,20,10,10,20,90,x
GOR,E,East Midlands,4220,930300,0,10,20,160,50,10,370,0,x,x,170,150,0,360,2800,40,10,x,10,50,10
GOR,F,West Midlands,8010,1195900,x,20,20,220,110,20,690,0,x,10,620,190,0,950,4960,30,20,20,10,100,20
GOR,G,East of England ,6180,1236500,x,20,60,140,40,10,540,0,x,10,260,310,x,630,3920,60,10,20,x,140,10
GOR,H,London ,10980,1668200,x,40,40,190,460,50,780,0,10,40,340,630,x,930,6990,120,30,80,30,210,10
GOR,J,South East,8130,1815200,x,20,20,230,120,30,570,x,x,10,470,340,0,910,5140,40,20,20,20,150,10
GOR,K,South West,5000,1053600,x,10,10,140,120,20,260,0,x,10,230,170,0,450,3340,60,10,20,10,120,20
LA,201,City of London,15,900,0,0,0,0,x,0,0,0,0,0,x,x,0,0,8,0,0,0,0,0,0
LA,202,Camden,265,39200,x,x,x,x,13,x,28,0,0,0,21,x,0,15,158,x,x,6,x,10,0
LA,203,Greenwich,589,53100,0,x,x,17,x,x,55,0,0,x,6,39,0,48,397,x,x,10,x,0,0
LA,204,Hackney,304,51300,x,x,x,x,x,x,17,0,0,0,16,x,0,43,194,x,0,x,x,x,6
LA,205,Hammersmith and Fulham,257,31400,x,x,6,x,x,x,21,0,0,0,11,20,0,42,132,11,0,x,0,x,0
LA,206,Islington,316,33700,x,0,0,x,23,0,6,0,0,0,6,0,0,43,228,0,x,x,0,x,0
LA,207,Kensington and Chelsea,156,30100,0,0,x,x,7,0,12,0,0,x,11,x,0,17,81,0,0,x,x,8,0
LA,208,Lambeth,566,53900,0,0,x,14,x,x,51,0,0,x,6,58,0,54,358,0,0,x,x,12,0
LA,209,Lewisham,526,58500,0,0,x,13,32,x,48,0,0,x,31,9,0,31,333,0,x,8,x,7,0
LA,210,Southwark,557,55200,0,0,x,x,13,x,44,0,0,x,11,47,0,35,377,x,x,x,x,6,0
LA,211,Tower Hamlets,351,50200,0,x,0,6,x,x,30,0,0,0,7,18,0,36,225,x,x,x,0,15,0
LA,212,Wandsworth,206,50500,0,0,x,11,0,x,20,0,0,x,x,x,0,16,140,x,x,x,x,x,0
LA,213,Westminster,247,35000,0,0,0,x,x,x,16,0,0,x,x,18,0,36,148,x,0,x,0,9,0
LA,301,Barking & Dagenham,378,48200,x,x,x,0,0,x,7,0,0,0,14,32,0,14,262,20,x,x,0,8,0
LA,302,Barnet,311,77600,0,0,0,x,22,0,30,0,0,0,15,x,0,22,202,x,x,x,x,x,0
LA,303,Bexley,220,51500,0,0,0,6,0,0,x,0,0,0,x,9,0,23,167,x,0,0,0,x,0
LA,304,Brent,369,57100,0,0,x,x,45,x,29,0,0,x,19,0,0,46,202,x,0,x,x,14,0
LA,305,Bromley,285,68200,0,9,0,0,25,x,23,0,x,0,8,11,0,32,164,x,0,x,0,8,0
LA,306,Croydon,1008,80200,0,0,x,9,90,x,50,0,x,x,19,130,0,45,636,7,x,x,0,8,0
LA,307,Ealing,401,67200,x,x,x,x,7,x,29,0,0,0,17,25,0,56,235,x,x,x,x,12,0
LA,308,Enfield,280,70600,0,0,x,9,0,0,12,0,0,x,8,20,0,46,176,0,x,0,x,x,0
LA,309,Haringey,591,49000,0,x,x,x,77,x,45,0,x,x,x,x,0,50,375,x,0,11,x,12,0
LA,310,Harrow,160,49900,0,0,x,x,x,x,17,0,0,x,12,18,0,11,75,0,x,0,0,12,0
LA,311,Havering,198,50600,0,0,0,x,x,0,11,0,0,0,20,7,0,14,128,0,x,0,0,8,0
LA,312,Hillingdon,427,59900,0,0,x,7,0,x,43,0,x,8,22,45,0,10,279,x,x,0,0,6,0
LA,313,Hounslow,357,50400,0,x,0,11,39,x,21,0,x,x,x,x,0,18,244,x,0,x,0,x,0
LA,314,Kingston upon Thames,128,33400,0,0,0,x,x,0,x,0,0,0,x,19,0,14,71,9,0,0,0,x,0
LA,315,Merton,138,42000,x,0,0,x,14,x,12,0,0,x,x,0,0,x,97,0,0,x,x,x,0
LA,316,Newham,560,66100,0,x,x,16,x,x,42,0,x,x,21,45,x,36,367,12,x,x,x,7,0
LA,317,Redbridge,225,64800,0,x,0,x,10,x,24,0,0,0,x,x,0,26,142,0,x,0,0,8,0
LA,318,Richmond upon Thames,96,40800,0,0,0,x,x,0,x,0,0,0,x,0,0,7,70,x,0,x,0,x,0
LA,319,Sutton,148,43300,0,0,0,x,0,0,11,0,0,x,x,7,0,x,117,x,0,0,0,x,0
LA,320,Waltham Forest,340,54300,0,x,x,9,15,x,17,0,0,0,8,22,0,35,203,12,0,x,x,10,0
LA,330,Birmingham,2033,253300,0,x,7,52,34,7,224,0,x,x,191,51,0,233,1172,0,x,11,x,19,16
LA,331,Coventry,588,68100,0,0,0,17,0,x,56,0,0,0,39,18,0,64,359,12,0,0,x,17,0
LA,332,Dudley,613,65700,0,0,0,19,0,0,39,0,0,x,73,17,0,107,345,x,x,x,0,x,0
