geog_l,geog_c,geog_n,StartTotal_2010,StartPlace_Q1_2010,StartPlace_Q2_2010,StartPlace_A3_2010,StartPlace_A4_2010,StartPlace_A5_2010,StartPlace_A6_2010,StartPlace_P1_2010,StartPlace_P2_2010,StartPlace_P3_2010,StartPlace_K1_2010,StartPlace_K2_2010,StartPlace_H5_2010,StartPlace_R1_2010,StartPlace_R2_2010,StartPlace_R3_2010,StartPlace_R5_2010,StartPlace_S1_2010,StartPlace_M1_2010,StartPlace_M2_2010,StartPlace_M3_2010,StartPlace_Z1_2010
National,921,England,27800,2600,18600,x,40,10,70,1200,1200,x,250,2200,660,240,70,180,60,210,x,10,80,90
GOR,A,North East ,1810,180,1350,x,x,x,10,80,10,0,x,140,10,10,x,0,x,10,0,0,0,10
GOR,B,North West,4080,600,2540,0,x,0,10,310,50,0,40,360,20,80,10,x,10,30,0,x,x,10
GOR,D,Yorkshire and The Humber,2590,270,1710,0,x,0,10,150,80,0,30,270,20,10,10,10,x,20,0,x,x,x
GOR,E,East Midlands,1930,130,1380,0,10,0,10,50,100,0,20,160,20,20,x,x,x,20,x,x,x,x
GOR,F,West Midlands,3150,300,2160,x,x,x,10,170,30,x,30,270,70,20,x,10,10,20,0,0,10,20
GOR,G,East of England ,2500,230,1680,0,x,10,x,50,230,x,x,170,30,30,10,20,x,20,0,x,10,10
GOR,H,London ,5590,410,3700,0,x,x,10,130,380,x,80,420,230,40,20,80,10,40,x,x,30,x
GOR,J,South East,3790,390,2410,x,x,0,10,180,250,0,20,250,150,10,10,20,20,30,x,x,10,20
GOR,K,South West,2400,140,1710,x,10,0,x,70,110,0,20,120,110,20,10,20,x,20,0,0,10,20
LA,201,City of London,x,0,x,0,0,x,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,202,Camden,98,x,60,0,0,0,0,x,x,0,x,17,x,0,x,7,0,0,0,0,0,0
LA,203,Greenwich,334,27,235,0,0,0,0,x,21,0,x,26,x,x,x,13,0,0,0,0,x,0
LA,204,Hackney,93,11,74,0,0,0,0,x,x,0,x,x,0,x,0,0,0,0,0,0,0,x
LA,205,Hammersmith and Fulham,86,13,47,0,0,0,0,6,x,0,x,9,0,x,0,x,x,x,0,0,0,0
LA,206,Islington,131,13,89,0,0,0,0,x,x,0,x,x,13,0,x,x,x,x,0,0,0,0
LA,207,Kensington and Chelsea,x,x,x,0,0,0,0,x,x,0,x,8,x,x,0,x,x,x,0,0,0,0
LA,208,Lambeth,262,22,173,0,0,0,0,x,37,0,x,21,0,0,0,x,0,x,x,0,0,0
LA,209,Lewisham,247,14,162,0,0,0,x,16,x,0,x,18,14,0,x,8,x,x,0,0,x,0
LA,210,Southwark,278,23,180,0,0,0,x,8,25,0,11,16,x,0,x,x,x,x,0,0,0,0
LA,211,Tower Hamlets,238,25,157,0,0,0,0,x,16,0,x,25,0,0,x,6,0,x,0,0,0,0
LA,212,Wandsworth,107,12,53,0,0,0,0,8,x,0,8,17,0,x,x,x,0,x,0,0,0,0
LA,213,Westminster,155,7,100,0,0,0,0,x,17,0,x,13,x,x,0,x,x,x,0,0,0,0
LA,301,Barking & Dagenham,221,11,186,0,x,0,0,x,11,0,0,x,0,x,0,x,0,0,0,0,0,0
LA,302,Barnet,136,9,88,0,0,0,0,x,x,0,x,13,10,0,x,x,0,x,0,0,0,0
LA,303,Bexley,147,8,126,0,0,0,0,x,6,0,0,x,0,x,0,0,0,x,0,0,0,0
LA,304,Brent,176,18,98,0,0,0,0,6,0,0,x,17,27,0,0,x,0,x,0,0,x,0
LA,305,Bromley,156,24,99,0,0,0,0,0,x,0,x,7,17,0,0,x,0,x,0,0,x,0
LA,306,Croydon,438,20,261,0,0,0,0,x,72,0,12,24,34,x,x,0,0,x,0,0,x,0
