New_geog_code,geog_l,geog_c,geog_n,All_aged19,LA_nit,Act_HE,Act_OE,Act_TE,Act_Neet_ill,Act_NEET_oth,Acc_P,Acc_FFC,Acc_CH,Acc_SITA,Acc_SL,Acc_OL,Acc_F,Acc_IL,Acc_EA,Acc_BB,Acc_C,Acc_OTH,Acc_SUIT
E92000001,NATIONAL,999,ENGLAND,6290,370,390,1900,1560,270,1790,810,280,610,570,160,100,2560,20,30,200,230,340,5650
E12000001,REGION,A,NORTH EAST,270,10,20,70,90,10,80,50,10,20,30,10,0,110,0,0,10,10,20,260
E12000002,REGION,B,NORTH WEST,890,30,60,240,240,50,280,180,30,70,60,20,10,340,10,0,30,60,50,820
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,640,30,30,160,210,30,180,90,20,40,60,20,0,280,0,0,20,30,30,580
E12000004,REGION,D,EAST MIDLANDS,420,30,10,110,130,20,120,60,20,20,50,10,10,160,0,0,20,10,20,370
E12000005,REGION,E,WEST MIDLANDS,730,50,30,180,190,20,260,120,20,50,70,20,20,280,0,0,30,30,50,650
E12000006,REGION,F,EAST OF ENGLAND,550,30,50,170,120,40,150,70,30,30,40,40,10,250,0,0,10,20,30,500
E12000007,REGION,G,LONDON,1440,110,130,560,260,50,340,90,50,280,100,20,20,640,10,10,40,20,70,1290
E12000007,REGION,H,INNER LONDON,600,20,60,220,140,20,140,40,20,160,50,0,10,230,0,0,20,10,40,560
E12000007,REGION,I,OUTER LONDON,840,90,70,340,130,30,190,50,30,120,60,10,10,400,0,10,20,10,30,740
E12000008,REGION,J,SOUTH EAST,850,70,40,270,170,40,250,90,60,60,110,20,20,310,0,10,30,30,50,730
E12000009,REGION,K,SOUTH WEST,490,20,30,150,140,20,140,60,40,40,50,20,0,190,0,10,10,40,30,450
E09000001,LA,201,City of London,x,0,0,x,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,x
E09000007,LA,202,Camden,30,x,6,12,x,0,6,x,x,9,0,0,0,12,0,0,x,0,x,29
E09000011,LA,203,Greenwich,69,x,x,25,11,x,20,x,x,9,x,x,x,34,x,0,x,0,x,65
E09000012,LA,204,Hackney,27,0,7,9,0,x,10,x,x,12,x,0,0,x,0,0,x,0,x,25
E09000013,LA,205,Hammersmith and Fulham,38,x,x,14,x,x,13,x,x,10,x,x,0,14,0,0,x,0,x,36
E09000019,LA,206,Islington,49,0,x,19,9,x,15,0,0,x,x,0,0,25,0,0,x,7,x,45
E09000020,LA,207,Kensington and Chelsea,22,0,x,6,9,0,6,x,0,14,0,0,0,x,0,x,0,x,x,20
E09000022,LA,208,Lambeth,70,x,6,29,20,x,9,6,0,13,9,0,0,34,0,0,x,x,x,65
E09000023,LA,209,Lewisham,58,0,x,23,15,x,13,x,0,17,8,0,0,26,0,0,x,0,x,54
E09000028,LA,210,Southwark,84,x,x,30,18,7,24,7,x,x,x,0,0,60,0,0,x,0,x,80
E09000030,LA,211,Tower Hamlets,47,x,x,20,18,0,x,x,x,8,6,x,x,14,0,x,x,0,x,44
E09000032,LA,212,Wandsworth,21,0,x,7,6,0,6,x,x,x,0,0,0,12,0,0,x,0,x,21
E09000033,LA,213,Westminster,29,x,x,7,6,x,10,x,x,11,x,0,x,9,0,0,0,0,0,24
E09000002,LA,301,Barking and Dagenham,49,6,19,x,x,x,18,x,x,x,x,x,0,30,0,0,x,0,0,42
E09000003,LA,302,Barnet,45,x,x,21,7,x,12,x,0,x,x,0,x,27,x,0,0,x,x,44
