New_geog_code,geog_l,geog_c,geog_n,CLA_started2011,CLA_taken2011,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
E92000001,NATIONAL,999,ENGLAND,27310,9480,14390,12920,5320,5670,4620,8350,3340,14790,730,1100,2890,4820,940,110,1940,5410,150,20,17320,3270,630,10,480,10,10
E12000001,REGION,A,NORTH EAST,1750,490,910,840,350,460,330,520,80,1010,20,30,220,350,40,0,60,270,10,0,1240,180,30,0,10,0,0
E12000002,REGION,B,NORTH WEST,3940,1630,2030,1910,880,930,790,1080,270,2420,100,150,370,610,140,0,150,1060,20,0,2260,460,90,0,40,10,0
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2740,1190,1460,1280,670,660,460,730,220,1830,70,80,180,380,80,10,120,800,10,0,1470,280,100,0,80,0,0
E12000004,REGION,D,EAST MIDLANDS,1960,560,1020,930,390,430,310,570,260,1030,70,70,220,400,80,0,100,400,20,0,1330,100,40,0,60,0,0
E12000005,REGION,E,WEST MIDLANDS,3040,960,1580,1450,670,660,480,900,320,1730,60,90,380,430,100,10,230,520,10,0,2030,350,90,0,40,0,0
E12000006,REGION,F,EAST OF ENGLAND,2560,820,1340,1220,490,500,420,790,360,1410,90,80,290,490,70,10,130,510,20,0,1720,250,40,0,20,0,0
E12000007,REGION,G,LONDON,4970,1840,2600,2370,710,800,820,1780,860,2440,130,280,430,830,240,30,580,670,20,0,2980,1040,110,0,150,0,0
E12000007,REGION,H,INNER LONDON,2120,970,1100,1020,350,340,370,750,300,1070,50,150,210,360,100,20,170,370,10,0,1070,530,60,0,70,0,0
E12000007,REGION,I,OUTER LONDON,2850,870,1500,1350,360,460,450,1030,560,1370,80,130,220,470,140,20,410,300,10,0,1910,510,50,0,70,0,0
E12000008,REGION,J,SOUTH EAST,3920,1330,2170,1750,710,800,630,1210,560,1690,110,170,450,920,120,10,450,810,30,0,2520,420,70,0,60,0,0
E12000009,REGION,K,SOUTH WEST,2440,640,1270,1170,440,430,390,770,410,1220,80,150,350,410,70,40,130,370,10,0,1770,200,60,0,30,0,0
E09000001,LA,201,City of London,x,x,x,0,x,0,0,x,0,0,0,0,0,x,0,0,x,x,0,0,x,0,0,0,0,0,0
E09000007,LA,202,Camden,152,77,74,78,25,13,19,52,43,58,x,14,18,47,x,x,9,31,0,0,71,41,x,0,x,0,0
E09000011,LA,203,Greenwich,332,124,178,154,45,59,72,120,36,187,13,22,11,52,12,13,22,45,x,0,204,78,0,0,x,0,0
E09000012,LA,204,Hackney,82,35,41,41,17,13,21,26,x,55,0,x,x,13,x,0,x,13,x,0,45,12,9,0,x,0,0
E09000013,LA,205,Hammersmith and Fulham,94,57,50,43,12,19,26,25,11,49,x,8,9,12,x,0,11,41,0,0,36,14,x,0,0,0,0
E09000019,LA,206,Islington,151,57,84,67,33,14,17,69,18,76,x,7,20,20,6,0,18,31,x,0,80,16,x,0,14,0,0
E09000020,LA,207,Kensington and Chelsea,54,14,30,24,6,x,7,23,13,18,x,x,7,8,7,x,9,9,x,0,39,x,x,0,x,0,0
E09000022,LA,208,Lambeth,245,72,129,116,44,27,39,90,45,106,x,17,40,43,13,x,21,27,x,0,161,41,x,0,12,0,0
E09000023,LA,209,Lewisham,186,73,84,102,37,41,31,59,18,90,x,9,13,56,x,x,8,46,x,0,110,21,x,0,x,x,0
E09000028,LA,210,Southwark,299,132,159,140,39,56,63,96,45,151,12,24,30,29,28,6,19,48,0,0,152,83,x,0,15,0,0
E09000030,LA,211,Tower Hamlets,158,90,78,80,27,23,20,64,24,94,x,11,8,15,14,0,11,36,0,0,59,48,6,0,9,0,0
E09000032,LA,212,Wandsworth,101,44,49,51,19,18,17,34,12,46,x,20,19,9,x,0,0,25,0,0,52,10,9,0,x,0,0
E09000033,LA,213,Westminster,99,32,55,44,16,8,16,38,21,39,x,6,7,30,x,0,14,9,0,0,63,22,x,0,x,0,0
E09000002,LA,301,Barking and Dagenham,239,93,123,116,38,54,52,73,22,157,x,8,12,40,7,0,13,24,x,0,143,57,9,x,x,0,0
E09000003,LA,302,Barnet,121,56,56,65,22,14,19,51,15,38,x,x,22,46,x,0,7,20,x,0,62,35,0,0,x,0,0
E09000004,LA,303,Bexley,125,27,53,72,19,14,18,40,34,36,x,x,x,66,x,0,10,x,x,0,97,18,0,0,x,0,0
E09000005,LA,304,Brent,196,82,98,98,24,39,33,59,41,129,6,12,x,12,15,0,19,22,0,0,108,57,x,0,6,0,0
E09000006,LA,305,Bromley,120,28,47,73,28,11,19,37,25,66,6,9,7,13,7,0,12,13,0,0,91,12,x,0,x,0,0
E09000008,LA,306,Croydon,281,29,187,94,21,20,22,119,99,91,9,8,15,17,12,0,129,13,0,0,239,8,8,0,13,0,0
E09000009,LA,307,Ealing,196,37,97,99,23,44,30,56,43,84,x,25,20,37,10,x,12,18,x,0,158,15,x,0,x,0,0
E09000010,LA,308,Enfield,179,73,101,78,19,39,24,74,23,106,6,7,23,13,13,0,11,14,0,0,98,58,x,0,8,0,0
E09000014,LA,309,Haringey,311,189,167,144,43,65,68,107,28,184,9,16,19,46,6,6,25,36,0,0,118,143,10,0,x,0,0
E09000015,LA,310,Harrow,104,47,57,47,7,20,18,37,22,66,x,x,x,11,x,0,13,7,0,0,51,38,x,0,6,0,0
E09000016,LA,311,Havering,109,46,57,52,12,16,14,46,21,55,x,x,8,23,9,0,9,23,0,0,63,20,x,0,0,0,0
E09000017,LA,312,Hillingdon,203,15,111,92,23,25,26,78,51,55,x,x,x,19,23,x,94,6,0,0,182,9,0,0,6,0,0
E09000018,LA,313,Hounslow,137,42,79,58,15,20,18,51,33,64,x,x,13,23,6,0,25,9,x,0,90,25,7,0,x,0,0
E09000021,LA,314,Kingston upon Thames,53,12,31,22,x,9,8,16,15,20,x,x,14,x,x,0,11,10,0,0,39,x,0,0,x,0,0
E09000024,LA,315,Merton,85,33,42,43,6,10,10,41,18,44,x,x,7,14,7,0,9,x,0,0,43,26,x,0,9,0,0
E09000025,LA,316,Newham,183,97,96,87,33,39,28,62,21,101,x,10,16,32,x,0,16,14,x,0,83,74,x,0,x,0,0
E09000026,LA,317,Redbridge,114,21,60,54,16,19,15,43,21,61,x,8,x,29,x,x,6,9,0,0,90,11,x,0,x,0,0
E09000027,LA,318,Richmond upon Thames,45,15,25,20,7,8,8,17,x,15,0,9,6,9,x,0,x,8,0,0,30,7,0,0,0,0,0
E09000029,LA,319,Sutton,87,27,47,40,14,18,18,29,8,27,x,0,31,24,x,0,x,21,0,0,60,x,x,0,0,0,0
E09000031,LA,320,Waltham Forest,125,60,52,73,17,20,21,43,24,69,8,x,16,17,x,0,9,30,0,0,62,29,x,0,x,0,0
E08000025,LA,330,Birmingham,603,254,303,299,148,128,118,172,36,430,9,18,56,41,21,x,26,110,0,0,338,132,12,0,10,0,0
E08000026,LA,331,Coventry,214,59,104,109,53,41,37,68,14,122,x,12,14,38,10,x,11,22,x,0,151,34,x,0,x,0,0
E08000027,LA,332,Dudley,161,68,70,91,41,44,33,39,x,114,x,9,7,23,x,0,x,36,0,0,92,15,17,0,x,0,0
E08000028,LA,333,Sandwell,221,61,120,100,58,49,41,55,17,143,0,x,30,22,11,x,12,31,x,0,156,25,x,0,x,0,0
E08000029,LA,334,Solihull,175,25,105,70,18,25,16,51,65,38,x,6,60,8,9,x,47,18,x,0,148,x,x,0,x,0,0
E08000030,LA,335,Walsall,147,46,74,73,43,33,29,36,6,71,0,x,40,31,x,0,x,21,0,0,98,13,12,0,x,0,0
E08000031,LA,336,Wolverhampton,231,70,119,112,49,67,40,66,9,160,x,7,10,35,6,0,10,43,0,0,158,16,10,x,x,0,0
E08000011,LA,340,Knowsley,57,20,31,26,11,14,13,16,x,22,x,0,x,22,x,0,x,15,0,0,36,x,x,0,x,0,0
E08000012,LA,341,Liverpool,217,86,108,109,60,51,42,48,16,183,x,9,x,7,x,0,14,63,x,0,130,16,x,0,x,0,0
E08000013,LA,342,St. Helens,103,40,55,48,25,32,20,24,x,82,x,x,x,12,x,0,x,38,0,0,63,x,x,0,0,0,0
E08000014,LA,343,Sefton,138,42,71,67,19,27,36,47,9,78,x,9,28,10,6,0,x,32,0,x,93,9,x,0,0,0,0
E08000015,LA,344,Wirral,207,109,108,99,39,56,54,50,8,128,x,x,20,47,6,0,x,96,x,0,96,11,0,0,x,0,0
E08000001,LA,350,Bolton,168,89,78,90,55,45,25,36,7,82,x,11,22,32,6,0,11,72,x,0,77,15,x,0,x,0,0
E08000002,LA,351,Bury,146,55,74,71,33,34,32,39,7,100,x,x,8,14,x,0,16,32,0,0,90,18,x,0,0,0,0
E08000003,LA,352,Manchester,530,199,279,252,90,114,107,171,47,251,15,40,63,85,32,x,41,117,0,0,327,73,8,0,x,x,0
E08000004,LA,353,Oldham,134,85,54,80,23,39,38,30,x,94,x,7,x,18,x,0,6,34,x,0,48,34,15,0,x,0,0
E08000005,LA,354,Rochdale,181,119,87,94,44,51,36,48,x,141,x,x,14,11,x,0,x,55,0,x,60,47,17,0,x,0,0
E08000006,LA,355,Salford,242,115,122,119,55,70,60,50,6,154,x,x,x,76,0,0,x,80,x,0,126,24,9,0,0,0,0
