New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_ceaAdop,CLA_Adop_PL12mnths
E92000001,NATIONAL,999,ENGLAND,26830,3050,2260
E12000001,REGION,A,NORTH EAST,1600,240,180
E12000002,REGION,B,NORTH WEST,3850,510,340
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2550,390,260
E12000004,REGION,D,EAST MIDLANDS,1770,230,190
E12000005,REGION,E,WEST MIDLANDS,2940,360,290
E12000006,REGION,F,EAST OF ENGLAND,2430,280,210
E12000007,REGION,G,LONDON,5680,390,280
E12000007,REGION,H,INNER LONDON,2470,170,130
E12000007,REGION,I,OUTER LONDON,3210,220,150
E12000008,REGION,J,SOUTH EAST,3670,370,310
E12000009,REGION,K,SOUTH WEST,2350,270,210
E09000001,LA,201,City of London,7,0,0
E09000007,LA,202,Camden,142,7,6
E09000011,LA,203,Greenwich,349,27,19
E09000012,LA,204,Hackney,117,7,6
E09000013,LA,205,Hammersmith and Fulham,101,11,8
E09000019,LA,206,Islington,147,x,x
E09000020,LA,207,Kensington and Chelsea,79,6,x
E09000022,LA,208,Lambeth,310,22,17
E09000023,LA,209,Lewisham,232,26,22
E09000028,LA,210,Southwark,338,17,14
E09000030,LA,211,Tower Hamlets,182,10,9
E09000032,LA,212,Wandsworth,107,15,x
E09000033,LA,213,Westminster,137,x,x
E09000002,LA,301,Barking and Dagenham,214,22,18
E09000003,LA,302,Barnet,138,9,x
E09000004,LA,303,Bexley,134,14,9
E09000005,LA,304,Brent,185,7,x
E09000006,LA,305,Bromley,141,12,7
E09000008,LA,306,Croydon,443,9,x
E09000009,LA,307,Ealing,220,12,12
E09000010,LA,308,Enfield,160,14,11
E09000014,LA,309,Haringey,305,16,10
E09000015,LA,310,Harrow,125,6,x
E09000016,LA,311,Havering,110,10,6
E09000017,LA,312,Hillingdon,245,12,6
E09000018,LA,313,Hounslow,157,20,12
E09000021,LA,314,Kingston upon Thames,69,6,x
E09000024,LA,315,Merton,94,x,x
E09000025,LA,316,Newham,262,29,22
E09000026,LA,317,Redbridge,143,9,9
E09000027,LA,318,Richmond upon Thames,55,x,x
E09000029,LA,319,Sutton,74,7,7
