New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_cease16,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_ceaAdop,CLA_ceaAdop2,CLA-ceaDied,CLA_ceataken,CLA_ceaPar,CLA_ceaROG,CLA_ceaSpecG,CLA_ceaSpecG2,CLA_ceaIndLiv,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_cea_OthRea
E92000001,NATIONAL,999,ENGLAND,26830,9950,14390,12450,1410,6380,3720,5380,9950,1680,1360,50,190,10350,1180,1120,620,2410,1060,470,390,5950
E12000001,REGION,A,NORTH EAST,1600,400,800,800,110,490,270,330,400,160,80,0,10,710,120,70,50,100,40,20,10,230
E12000002,REGION,B,NORTH WEST,3850,1270,1990,1860,180,990,650,760,1270,260,250,10,20,1260,240,240,80,210,70,50,50,1110
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2550,900,1440,1110,140,680,370,460,900,190,200,10,30,810,140,130,50,250,70,40,50,590
E12000004,REGION,D,EAST MIDLANDS,1770,640,980,800,120,430,240,340,640,130,100,0,10,680,100,70,30,170,60,40,30,350
E12000005,REGION,E,WEST MIDLANDS,2940,1070,1590,1360,170,760,400,540,1070,150,200,10,20,1160,170,120,50,330,150,60,40,490
E12000006,REGION,F,EAST OF ENGLAND,2430,930,1320,1110,130,560,310,490,930,170,110,10,20,920,100,100,70,260,180,50,30,400
E12000007,REGION,G,LONDON,5680,2340,2990,2690,250,1090,730,1260,2340,250,140,10,50,2520,120,160,150,520,130,60,120,1450
E12000007,REGION,H,INNER LONDON,2470,960,1240,1220,120,500,320,560,960,110,60,10,20,1100,50,80,90,290,20,20,60,580
E12000007,REGION,I,OUTER LONDON,3210,1380,1740,1460,130,590,410,700,1380,140,80,10,30,1420,80,80,60,230,110,40,60,870
E12000008,REGION,J,SOUTH EAST,3670,1480,2060,1600,170,860,470,690,1480,210,160,0,20,1340,110,170,90,250,270,100,30,920
E12000009,REGION,K,SOUTH WEST,2350,920,1220,1130,150,520,270,490,920,160,110,10,20,950,100,60,50,310,90,60,30,410
E09000001,LA,201,City of London,7,x,6,x,x,x,0,0,x,0,0,0,0,x,x,0,0,x,0,0,0,x
E09000007,LA,202,Camden,142,72,68,74,11,17,13,29,72,x,x,0,x,57,8,x,x,0,0,0,x,55
E09000011,LA,203,Greenwich,349,95,201,148,20,79,64,91,95,24,x,x,0,217,x,x,9,x,0,x,x,80
E09000012,LA,204,Hackney,117,45,54,62,x,31,17,19,45,x,x,0,0,49,x,9,6,11,0,0,x,29
E09000013,LA,205,Hammersmith and Fulham,101,36,54,46,x,15,26,21,36,7,x,x,x,29,0,15,x,19,6,x,x,12
E09000019,LA,206,Islington,147,52,82,65,14,30,14,37,52,x,x,0,x,78,0,0,0,36,0,x,x,19
E09000020,LA,207,Kensington and Chelsea,79,39,43,36,x,9,8,20,39,x,x,0,0,26,0,x,x,20,x,0,x,18
E09000022,LA,208,Lambeth,310,120,168,142,10,55,47,78,120,15,7,x,0,162,x,12,8,77,x,x,9,11
E09000023,LA,209,Lewisham,232,80,105,127,17,64,30,41,80,21,x,x,x,83,8,x,10,8,x,x,6,78
E09000028,LA,210,Southwark,338,126,185,153,21,64,49,78,126,7,10,x,x,160,x,7,14,46,x,x,7,72
E09000030,LA,211,Tower Hamlets,182,77,79,103,x,38,17,46,77,x,x,0,0,87,x,x,9,x,x,x,x,64
E09000032,LA,212,Wandsworth,107,37,51,55,x,27,11,26,37,8,6,0,0,44,x,10,x,19,x,x,x,8
E09000033,LA,213,Westminster,137,63,72,65,x,18,19,33,63,x,x,0,x,55,x,x,6,45,x,0,x,12
E09000002,LA,301,Barking and Dagenham,214,59,115,99,12,51,40,52,59,19,x,0,0,126,x,0,x,x,0,0,x,57
E09000003,LA,302,Barnet,138,61,69,69,x,21,14,37,61,7,x,0,x,44,x,x,7,38,x,x,x,21
