New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2011,CLA_2011,CLA_stp2011,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_Miss,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_YJLS,CLA_CPG,CLA_UASC,CLA_Moth,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_1Pla,CLA_2PLa,CLA_3Pla,CLA_P2yrs,CLAA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain 
E92000001,NATIONAL,999,ENGLAND,65520,90920,8870,36470,29050,3660,12020,11830,24160,13860,50340,5620,3090,4530,1530,410,48530,2450,3970,2460,5890,1050,970,110,90,13660,25670,250,5290,20430,170,40,2670,350,39140,1330,310,19080,1490,3970,200,43840,14650,7000,13770,39880,22990,22500,-490
E12000001,REGION,A,NORTH EAST,3820,5340,700,2110,1700,240,800,730,1450,600,3600,80,60,50,40,0,2990,190,180,40,330,40,60,0,0,670,1460,20,380,1270,0,0,20,20,2680,50,20,800,100,180,0,2600,820,400,740,2290,1340,1310,-30
E12000002,REGION,B,NORTH WEST,11350,15020,1360,6200,5160,620,2390,2430,4080,1830,9820,690,290,300,160,90,8190,430,1190,230,920,260,120,10,10,3090,5180,30,920,2120,10,0,120,40,6830,330,60,2750,190,1190,20,7750,2540,1060,2760,7350,3560,3610,50
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,7300,9740,1240,4030,3270,500,1590,1440,2550,1220,6090,600,290,150,100,70,5220,310,680,230,690,80,90,0,0,1710,3200,80,860,1420,30,0,130,40,4800,150,30,1510,130,680,0,4850,1650,800,1660,5030,1950,1710,-250
E12000004,REGION,D,EAST MIDLANDS,4430,6100,570,2460,1980,270,830,750,1600,980,3640,390,170,120,90,30,3300,220,180,220,370,80,50,0,10,770,1670,10,490,1480,20,0,190,30,3150,60,30,980,20,180,10,2990,1010,420,810,2930,1280,1690,410
E12000005,REGION,E,WEST MIDLANDS,8180,10950,850,4510,3680,450,1560,1580,3060,1520,6000,970,510,470,230,20,6130,260,540,200,840,80,80,10,30,1670,3360,60,640,2420,20,0,340,40,4630,80,30,2780,80,540,40,5430,1800,950,1890,4770,3110,3040,-70
E12000006,REGION,F,EAST OF ENGLAND,6400,8710,870,3580,2830,340,1030,1050,2480,1510,5330,460,240,200,130,40,4690,250,260,370,590,110,110,10,10,1130,2500,20,490,2250,10,0,220,40,3750,120,20,1890,350,260,20,4450,1340,610,1400,4210,1930,1740,-190
E12000007,REGION,G,LONDON,10390,15750,920,5910,4480,480,1460,1560,3860,3030,4220,1650,1210,2880,380,50,7600,270,300,630,1140,190,210,50,10,1850,3730,10,460,4270,50,20,1030,100,4540,250,60,4860,330,300,60,6830,2320,1230,2030,3870,6190,4370,-1820
E12000007,REGION,H,INNER LONDON,4600,6950,250,2530,2070,250,650,720,1760,1230,1520,860,360,1640,200,20,3390,140,140,230,490,100,90,20,10,940,1870,0,240,1520,30,10,220,50,1960,160,40,2120,160,140,30,3020,1050,520,970,1320,3110,1220,-1890
E12000007,REGION,I,OUTER LONDON,5780,8790,670,3380,2410,230,810,840,2100,1810,2700,790,850,1240,180,30,4210,130,150,400,650,100,120,30,0,910,1860,0,220,2750,20,10,810,50,2580,90,20,2740,180,150,30,3810,1270,700,1060,2560,3070,3150,80
