New_geog_code,geog_l,geog_c,geog_n,All_aged19,LA_nit,Act_HE,Act_OE,Act_TE,Act_Neet_ill,Act_NEET_oth,Acc_P,Acc_FFC,Acc_CH,Acc_SITA,Acc_SL,Acc_OL,Acc_F,Acc_IL,Acc_EA,Acc_BB,Acc_C,Acc_OTH,Acc_SUIT
E92000001,NATIONAL,999,ENGLAND,6610,390,430,1880,1510,300,2090,800,320,270,660,600,120,130,2640,30,40,220,390,5840
E12000001,REGION,A,NORTH EAST,290,10,30,70,90,10,80,50,10,10,30,50,0,0,120,0,0,10,20,280
E12000002,REGION,B,NORTH WEST,970,40,60,240,250,60,310,190,70,30,70,50,20,10,380,10,0,50,60,850
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,630,40,40,160,180,30,190,90,40,30,40,70,10,10,260,0,0,30,20,550
E12000004,REGION,D,EAST MIDLANDS,430,40,20,110,150,10,110,60,20,20,30,40,0,0,180,0,0,20,20,370
E12000005,REGION,E,WEST MIDLANDS,780,60,40,180,180,50,270,90,40,20,50,50,10,30,330,0,0,20,80,690
E12000006,REGION,F,EAST OF ENGLAND,590,20,30,190,120,30,200,60,20,30,30,60,30,10,250,0,10,20,60,520
E12000007,REGION,G,LONDON,1430,80,140,470,230,40,470,100,30,50,290,100,30,20,610,10,10,40,60,1290
E12000007,REGION,H,INNER LONDON,590,20,70,210,100,10,180,40,20,20,160,50,20,20,170,0,10,20,20,550
E12000007,REGION,I,OUTER LONDON,840,50,70,260,130,30,290,50,10,30,120,50,10,10,440,10,10,20,40,750
E12000008,REGION,J,SOUTH EAST,970,80,40,290,210,50,300,120,50,50,70,140,20,30,310,10,10,30,60,820
E12000009,REGION,K,SOUTH WEST,520,30,20,170,110,30,170,50,50,50,50,50,0,10,190,0,0,10,30,460
E09000001,LA,201,City of London,x,0,0,x,0,0,0,0,x,0,x,0,0,0,x,0,0,0,0,x
E09000007,LA,202,Camden,38,0,x,12,8,0,13,x,0,x,22,x,0,0,x,0,0,x,x,38
E09000011,LA,203,Greenwich,57,x,x,23,x,0,23,7,0,x,x,x,0,0,29,0,0,x,x,51
E09000012,LA,204,Hackney,38,0,x,9,10,0,14,0,0,0,14,x,0,0,15,0,0,x,0,37
E09000013,LA,205,Hammersmith and Fulham,34,x,x,13,x,x,13,x,0,x,19,8,0,0,x,0,0,0,0,33
E09000019,LA,206,Islington,37,x,x,13,11,0,11,0,11,x,0,10,0,0,8,x,0,x,x,33
E09000020,LA,207,Kensington and Chelsea,25,x,0,12,x,0,8,x,0,0,12,0,x,0,x,0,0,x,0,24
E09000022,LA,208,Lambeth,64,0,12,36,x,x,8,x,x,6,12,x,x,x,34,0,0,x,x,62
E09000023,LA,209,Lewisham,50,x,x,14,16,0,17,x,0,x,10,7,0,0,22,0,0,x,x,48
E09000028,LA,210,Southwark,73,0,x,32,7,x,28,9,0,x,x,x,0,x,40,x,x,x,x,66
E09000030,LA,211,Tower Hamlets,55,x,x,20,13,x,14,9,x,x,x,0,10,12,9,0,x,0,x,51
E09000032,LA,212,Wandsworth,20,0,x,7,x,0,7,0,x,0,x,0,0,0,13,0,0,x,0,20
E09000033,LA,213,Westminster,26,x,x,9,x,0,11,x,0,0,11,x,x,x,x,0,0,x,x,22
