New_geog_code,geog_l,geog_c,geog_n,CLA_started2012,CLA_taken2012,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
E92000001,NATIONAL,999,ENGLAND,28220,10100,14880,13340,5880,5770,4760,8420,3400,15670,840,1070,2850,5010,830,80,1880,6020,190,30,17600,3190,700,0,470,10,10
E12000001,REGION,A,NORTH EAST,1920,500,970,950,440,490,360,540,100,1140,30,30,220,410,50,0,50,290,20,0,1410,160,30,0,10,0,0
E12000002,REGION,B,NORTH WEST,3840,1620,2040,1800,890,930,690,1080,260,2400,100,130,390,620,90,0,110,1030,20,0,2170,470,100,0,40,0,0
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2820,1200,1500,1320,760,640,500,730,190,1920,100,70,170,390,70,10,90,810,10,0,1560,270,110,0,50,0,0
E12000004,REGION,D,EAST MIDLANDS,2120,660,1140,990,480,430,320,620,280,1140,70,90,210,430,50,10,130,450,20,0,1400,130,70,0,50,0,0
E12000005,REGION,E,WEST MIDLANDS,3220,1190,1660,1560,710,680,560,960,320,1890,90,90,360,490,110,0,180,700,30,0,1990,370,80,0,40,0,0
E12000006,REGION,F,EAST OF ENGLAND,2620,940,1340,1290,560,510,440,780,340,1560,80,50,300,440,60,0,130,620,30,0,1670,240,50,0,20,0,0
E12000007,REGION,G,LONDON,5050,1890,2700,2350,820,790,810,1670,960,2420,120,310,400,840,250,20,690,840,30,0,2980,910,110,0,180,0,0
E12000007,REGION,H,INNER LONDON,2140,950,1170,980,390,330,320,700,400,1020,40,180,200,390,90,10,220,450,10,0,1100,440,50,0,90,0,0
E12000007,REGION,I,OUTER LONDON,2910,930,1540,1370,430,460,490,970,560,1400,90,130,210,450,160,0,470,390,10,0,1880,480,50,0,90,0,0
E12000008,REGION,J,SOUTH EAST,3960,1340,2140,1820,740,810,680,1210,510,1840,130,160,430,920,90,20,370,830,20,10,2540,410,90,0,60,0,0
E12000009,REGION,K,SOUTH WEST,2660,750,1390,1270,500,490,400,840,430,1360,120,130,380,470,60,20,130,440,20,10,1880,230,70,0,20,0,0
E09000001,LA,201,City of London,x,0,x,0,0,0,0,x,0,0,0,0,0,0,0,0,x,0,0,0,x,0,0,0,0,0,0
E09000007,LA,202,Camden,144,64,76,68,35,14,12,43,40,54,x,28,19,25,x,0,14,41,0,0,79,22,x,0,x,0,0
E09000011,LA,203,Greenwich,269,109,130,139,35,50,62,93,29,153,14,9,16,41,15,x,18,19,x,0,149,87,0,0,11,0,0
E09000012,LA,204,Hackney,141,61,80,62,21,22,31,42,24,80,x,8,9,24,x,0,15,35,0,0,80,20,x,0,x,0,0
E09000013,LA,205,Hammersmith and Fulham,87,30,50,37,17,8,15,26,21,48,0,x,14,8,x,0,15,20,x,0,54,7,0,0,x,0,0
E09000019,LA,206,Islington,140,68,80,60,25,17,19,50,29,69,7,x,11,27,7,0,17,30,x,0,64,34,x,0,8,0,0
E09000020,LA,207,Kensington and Chelsea,71,17,45,26,8,8,x,26,24,16,x,6,9,12,9,x,16,13,0,0,52,x,0,0,x,0,0
E09000022,LA,208,Lambeth,247,86,126,121,46,36,33,87,45,117,x,21,38,36,16,x,13,53,x,0,150,26,6,0,11,0,0
E09000023,LA,209,Lewisham,223,77,133,90,44,36,37,67,39,84,x,14,12,76,11,x,18,50,0,0,132,17,10,0,14,0,0
E09000028,LA,210,Southwark,279,117,155,124,57,50,38,73,61,137,x,27,23,42,13,x,30,50,0,x,149,59,8,0,11,0,0
E09000030,LA,211,Tower Hamlets,168,99,83,85,31,20,15,75,27,84,x,24,8,26,8,x,13,34,0,0,57,63,x,0,12,0,0
E09000032,LA,212,Wandsworth,114,50,60,54,22,23,19,40,10,68,x,17,20,x,x,0,0,35,0,0,59,15,0,0,x,0,0
E09000033,LA,213,Westminster,98,44,46,52,14,21,9,27,27,27,x,8,x,41,x,0,11,19,0,x,45,18,7,0,8,0,0
E09000002,LA,301,Barking and Dagenham,222,104,116,106,37,46,53,58,28,147,x,9,9,23,6,0,23,40,x,0,117,58,x,0,x,0,0
E09000003,LA,302,Barnet,154,67,82,72,29,21,27,56,21,34,x,x,29,71,x,0,11,38,x,0,83,26,x,0,x,0,0
E09000004,LA,303,Bexley,140,48,62,78,19,30,28,38,25,35,6,7,x,76,x,0,7,22,x,0,91,15,10,0,x,0,0
E09000005,LA,304,Brent,205,83,106,99,29,28,33,71,44,121,6,17,x,8,19,0,29,23,0,0,115,54,6,0,7,0,0
E09000006,LA,305,Bromley,131,39,67,64,31,25,18,34,23,64,8,11,x,16,16,0,14,16,0,0,88,17,6,0,x,0,0
