New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_ceaAdop,CLA_Adop_PL12mnths
E92000001,NATIONAL,999,ENGLAND,27350,3450,2480
E12000001,REGION,A,NORTH EAST,1670,280,230
E12000002,REGION,B,NORTH WEST,3910,590,420
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2640,450,290
E12000004,REGION,D,EAST MIDLANDS,1870,280,190
E12000005,REGION,E,WEST MIDLANDS,3000,370,250
E12000006,REGION,F,EAST OF ENGLAND,2690,350,250
E12000007,REGION,G,LONDON,5310,420,300
E12000007,REGION,H,INNER LONDON,2240,210,150
E12000007,REGION,I,OUTER LONDON,3070,210,150
E12000008,REGION,J,SOUTH EAST,3810,430,340
E12000009,REGION,K,SOUTH WEST,2450,280,210
E09000001,LA,201,City of London,x,x,0
E09000007,LA,202,Camden,162,11,7
E09000011,LA,203,Greenwich,310,24,16
E09000012,LA,204,Hackney,108,18,8
E09000013,LA,205,Hammersmith and Fulham,113,10,x
E09000019,LA,206,Islington,139,19,14
E09000020,LA,207,Kensington and Chelsea,61,x,x
E09000022,LA,208,Lambeth,246,22,18
E09000023,LA,209,Lewisham,212,31,23
E09000028,LA,210,Southwark,261,21,14
E09000030,LA,211,Tower Hamlets,204,11,9
E09000032,LA,212,Wandsworth,105,16,11
E09000033,LA,213,Westminster,104,9,8
E09000002,LA,301,Barking and Dagenham,205,22,14
E09000003,LA,302,Barnet,164,17,11
E09000004,LA,303,Bexley,118,x,x
E09000005,LA,304,Brent,231,9,x
E09000006,LA,305,Bromley,117,10,7
E09000008,LA,306,Croydon,416,11,8
E09000009,LA,307,Ealing,205,14,14
E09000010,LA,308,Enfield,157,11,9
E09000014,LA,309,Haringey,296,14,10
E09000015,LA,310,Harrow,103,6,6
E09000016,LA,311,Havering,113,7,x
E09000017,LA,312,Hillingdon,224,17,15
E09000018,LA,313,Hounslow,169,13,11
E09000021,LA,314,Kingston upon Thames,39,x,x
E09000024,LA,315,Merton,94,9,x
E09000025,LA,316,Newham,225,26,20
E09000026,LA,317,Redbridge,109,x,x
E09000027,LA,318,Richmond upon Thames,56,x,x
E09000029,LA,319,Sutton,87,7,6
E09000031,LA,320,Waltham Forest,153,14,8
E08000025,LA,330,Birmingham,664,69,37
E08000026,LA,331,Coventry,259,25,12
E08000027,LA,332,Dudley,129,19,12
E08000028,LA,333,Sandwell,189,17,12
E08000029,LA,334,Solihull,169,7,x
E08000030,LA,335,Walsall,169,34,21
E08000031,LA,336,Wolverhampton,160,20,13
E08000011,LA,340,Knowsley,68,20,10
E08000012,LA,341,Liverpool,289,52,41
E08000013,LA,342,St. Helens,94,10,8
E08000014,LA,343,Sefton,117,12,8
E08000015,LA,344,Wirral,202,23,16
E08000001,LA,350,Bolton,171,48,37
E08000002,LA,351,Bury,122,17,7
E08000003,LA,352,Manchester,501,54,37
E08000004,LA,353,Oldham,139,27,25
E08000005,LA,354,Rochdale,143,21,14
E08000006,LA,355,Salford,203,21,15
E08000007,LA,356,Stockport,123,23,19
E08000008,LA,357,Tameside,143,22,17
E08000009,LA,358,Trafford,94,7,x
E08000010,LA,359,Wigan,141,26,17
E08000016,LA,370,Barnsley,130,24,18
E08000017,LA,371,Doncaster,210,37,26
E08000018,LA,372,Rotherham,150,26,13
E08000019,LA,373,Sheffield,288,46,27
E08000032,LA,380,Bradford,305,55,37
E08000033,LA,381,Calderdale,103,10,x
E08000034,LA,382,Kirklees,192,25,13
E08000035,LA,383,Leeds,406,64,45
E08000036,LA,384,Wakefield,134,28,20
E08000020,LA,390,Gateshead,144,25,20
E08000021,LA,391,Newcastle upon Tyne,188,24,23
E08000022,LA,392,North Tyneside,118,18,14
E08000023,LA,393,South Tyneside,115,30,29
E08000024,LA,394,Sunderland,174,49,39
E06000022,LA,800,Bath and North East Somerset,84,11,9
E06000023,LA,801,"Bristol, City of",283,45,30
E06000024,LA,802,North Somerset,111,6,x
E06000025,LA,803,South Gloucestershire,102,6,x
E06000001,LA,805,Hartlepool,75,14,12
E06000002,LA,806,Middlesbrough,184,20,17
E06000003,LA,807,Redcar and Cleveland,61,9,6
E06000004,LA,808,Stockton-on-Tees,152,17,12
E06000010,LA,810,"Kingston Upon Hull, City of",208,53,27
E06000011,LA,811,East Riding of Yorkshire,139,21,14
E06000012,LA,812,North East Lincolnshire,49,11,10
E06000013,LA,813,North Lincolnshire,72,14,9
E10000023,LA,815,North Yorkshire,163,21,20
E06000014,LA,816,York,87,13,11
E06000032,LA,821,Luton,160,8,x
E06000055,LA,822,Bedford,73,8,8
E06000056,LA,823,Central Bedfordshire,88,x,x
E10000002,LA,825,Buckinghamshire,143,19,15
E06000042,LA,826,Milton Keynes,126,13,12
E10000007,LA,830,Derbyshire,248,52,36
E06000015,LA,831,Derby,178,40,12
E10000009,LA,835,Dorset,120,15,11
E06000029,LA,836,Poole,56,6,x
E06000028,LA,837,Bournemouth,95,17,14
E06000047,LA,840,Durham,247,35,30
E06000005,LA,841,Darlington,109,16,14
E10000011,LA,845,East Sussex,191,18,11
E06000043,LA,846,Brighton and Hove,215,26,19
E10000014,LA,850,Hampshire,464,50,37
E06000044,LA,851,Portsmouth,131,16,11
E06000045,LA,852,Southampton,152,19,17
E10000018,LA,855,Leicestershire,175,20,15
E06000016,LA,856,Leicester,191,22,18
E06000017,LA,857,Rutland,17,x,x
E10000028,LA,860,Staffordshire,259,43,29
E06000021,LA,861,Stoke-on-Trent,168,30,27
E06000054,LA,865,Wiltshire,152,19,13
E06000030,LA,866,Swindon,88,10,x
E06000036,LA,867,Bracknell Forest,40,x,x
E06000040,LA,868,Windsor and Maidenhead,53,6,x
E06000037,LA,869,West Berkshire,59,x,x
E06000038,LA,870,Reading,96,18,13
E06000039,LA,871,Slough,94,16,11
E06000041,LA,872,Wokingham,36,x,x
E10000003,LA,873,Cambridgeshire,169,31,20
E06000031,LA,874,Peterborough,129,11,x
E06000006,LA,876,Halton,66,10,7
E06000007,LA,877,Warrington,126,14,13
E10000008,LA,878,Devon,342,17,15
E06000026,LA,879,Plymouth,159,31,26
E06000027,LA,880,Torbay,109,x,x
E10000012,LA,881,Essex,683,94,57
E06000033,LA,882,Southend-on-Sea,109,27,21
E06000034,LA,883,Thurrock,111,8,x
E06000019,LA,884,Herefordshire,109,11,9
E10000034,LA,885,Worcestershire,202,22,14
E10000016,LA,886,Kent,828,70,55
E06000035,LA,887,Medway,177,16,14
E10000017,LA,888,Lancashire,469,69,44
E06000008,LA,889,Blackburn with Darwen,147,21,15
E06000009,LA,890,Blackpool,117,17,9
E10000024,LA,891,Nottinghamshire,285,43,27
E06000018,LA,892,Nottingham,214,29,18
E06000051,LA,893,Shropshire,107,14,14
E06000020,LA,894,Telford and Wrekin,124,26,25
E06000049,LA,895,Cheshire East,135,23,15
E06000050,LA,896,Cheshire West and Chester,146,19,18
E06000052,LA,908,Cornwall,247,42,34
E10000006,LA,909,Cumbria,152,31,24
E10000013,LA,916,Gloucestershire,200,14,7
E10000015,LA,919,Hertfordshire,482,38,21
