New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2012,CLA_2012,CLA_stp2012,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_Miss,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_Moth,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_1Pla,CLA_2PLa,CLA_3Pla,CLA_P2yrs,CLAA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain 
E92000001,NATIONAL,999,ENGLAND,67050,93020,7460,37020,30030,4190,12430,12700,24150,13580,52050,5960,2820,4510,1290,430,50260,2680,3600,2340,5930,1020,960,140,120,13500,26610,210,7160,19370,50,160,2150,350,39710,1290,270,20630,1300,3600,260,44720,14910,7380,14240,40550,23560,23090,-460
E12000001,REGION,A,NORTH EAST,4110,5690,580,2250,1860,300,840,840,1470,660,3850,90,60,60,40,10,3220,210,160,40,350,60,70,0,10,670,1550,20,520,1350,0,0,20,10,2760,100,10,990,90,160,10,2670,970,480,730,2430,1460,1410,-50
E12000002,REGION,B,NORTH WEST,11360,15110,1250,6200,5160,660,2370,2500,4060,1790,9890,700,250,310,120,100,8310,470,1070,240,870,260,120,10,20,2860,5410,20,1160,1900,0,10,90,50,6970,280,50,2810,160,1070,30,7820,2420,1120,2880,7320,3550,3690,140
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,7530,10040,1070,4180,3350,570,1660,1590,2550,1160,6300,660,300,140,70,70,5540,320,590,160,730,90,90,10,10,1730,3300,70,1040,1360,10,30,90,50,4800,160,30,1790,150,590,10,5020,1750,750,1700,5060,2140,1800,-340
E12000004,REGION,D,EAST MIDLANDS,4740,6510,560,2610,2130,330,920,870,1620,1010,3910,420,150,130,90,40,3570,220,150,240,410,80,50,10,10,720,1720,10,740,1530,0,20,160,30,3360,80,30,1070,30,150,20,3250,1020,460,880,3080,1420,1860,450
E12000005,REGION,E,WEST MIDLANDS,8470,11290,770,4570,3910,510,1640,1670,3080,1570,6310,990,490,470,160,50,6360,360,530,210,830,60,80,20,20,1650,3560,50,910,2280,10,20,260,40,4700,70,20,3050,70,530,50,5620,1900,940,2040,4850,3220,3170,-50
E12000006,REGION,F,EAST OF ENGLAND,6430,8980,660,3550,2880,380,1050,1130,2440,1420,5330,520,220,210,110,40,4830,240,250,290,590,110,90,10,20,1190,2560,20,630,2020,0,10,170,30,3610,100,20,2310,120,250,30,4410,1390,630,1390,4230,1930,1790,-140
E12000007,REGION,G,LONDON,10250,15310,640,5780,4460,590,1430,1630,3790,2810,4230,1710,1050,2860,360,40,7630,300,250,570,1050,180,200,50,20,1830,3700,10,720,3910,20,60,890,70,4580,270,60,4690,350,250,60,6780,2260,1200,2060,3840,6040,4210,-1840
E12000007,REGION,H,INNER LONDON,4560,6700,190,2530,2030,290,640,710,1720,1190,1470,910,360,1640,160,20,3440,120,120,230,440,110,80,20,10,910,1860,0,310,1440,10,30,220,40,1930,160,30,2120,180,120,30,3070,970,520,990,1320,3090,1170,-1920
E12000007,REGION,I,OUTER LONDON,5680,8610,460,3250,2430,300,790,910,2060,1620,2760,800,690,1220,200,30,4190,180,130,340,610,80,120,30,10,920,1830,10,410,2470,10,30,670,30,2650,110,30,2570,170,130,40,3710,1290,680,1070,2520,2950,3040,90
