New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_cease16,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_ceaAdop,CLA_ceaAdop2,CLA-ceaDied,CLA_ceataken,CLA_ceaPar,CLA_ceaROG,CLA_ceaSpecG,CLA_ceaSpecG2,CLA_ceaIndLiv,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_cea_OthRea
E92000001,NATIONAL,999,ENGLAND,27350,10000,14610,12740,1430,6940,3790,5200,10000,1890,1550,40,190,10160,1290,1330,800,2630,1090,470,420,5500
E12000001,REGION,A,NORTH EAST,1670,430,850,830,110,530,300,300,430,170,110,0,10,750,120,80,40,110,30,10,10,240
E12000002,REGION,B,NORTH WEST,3910,1250,2060,1840,160,1170,630,700,1250,330,260,10,30,1220,230,310,120,250,110,50,50,950
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2640,860,1370,1260,160,810,380,440,860,250,200,10,30,880,170,130,70,290,60,40,40,470
E12000004,REGION,D,EAST MIDLANDS,1870,690,1010,860,120,460,230,360,690,140,140,0,10,650,90,80,50,180,100,50,40,340
E12000005,REGION,E,WEST MIDLANDS,3000,1040,1650,1360,170,770,410,600,1040,180,190,0,30,1240,150,150,50,330,140,50,40,460
E12000006,REGION,F,EAST OF ENGLAND,2690,1080,1410,1290,160,680,320,460,1080,190,160,0,10,920,110,140,100,370,200,50,30,410
E12000007,REGION,G,LONDON,5310,2270,2890,2420,220,1010,670,1130,2270,260,160,10,40,2070,180,170,200,460,100,50,130,1480
E12000007,REGION,H,INNER LONDON,2240,900,1200,1040,100,470,280,490,900,140,70,0,10,880,80,80,90,180,20,20,60,600
E12000007,REGION,I,OUTER LONDON,3070,1370,1690,1380,120,540,390,640,1370,120,90,10,30,1190,110,90,110,270,90,40,70,880
E12000008,REGION,J,SOUTH EAST,3810,1400,2100,1710,180,930,520,760,1400,230,200,10,30,1450,120,220,120,370,210,100,50,710
E12000009,REGION,K,SOUTH WEST,2450,970,1270,1170,140,580,320,430,970,150,130,0,10,980,110,60,60,290,140,60,20,440
E09000001,LA,201,City of London,x,x,x,0,x,x,0,0,x,x,0,0,0,x,0,0,0,x,0,0,0,0
E09000007,LA,202,Camden,162,87,84,78,8,21,15,31,87,8,x,0,0,53,x,11,6,0,0,0,x,76
E09000011,LA,203,Greenwich,310,105,148,162,6,64,57,78,105,14,10,x,0,152,17,x,10,x,x,x,7,83
E09000012,LA,204,Hackney,108,43,49,59,x,22,17,23,43,16,x,0,0,40,x,6,0,6,0,x,x,33
E09000013,LA,205,Hammersmith and Fulham,113,48,61,52,x,24,17,20,48,8,x,x,0,21,9,14,11,23,6,x,x,12
E09000019,LA,206,Islington,139,51,70,69,7,30,21,30,51,11,8,0,x,46,7,x,7,19,0,x,x,30
E09000020,LA,207,Kensington and Chelsea,61,31,38,23,x,12,x,13,31,x,x,0,0,18,0,x,x,13,x,x,x,12
E09000022,LA,208,Lambeth,246,108,143,103,12,54,26,46,108,12,10,x,x,98,8,18,x,73,0,x,14,x
E09000023,LA,209,Lewisham,212,74,116,96,13,54,36,35,74,23,8,0,x,55,13,x,10,10,x,x,6,77
E09000028,LA,210,Southwark,261,115,142,119,11,58,24,53,115,9,12,x,0,98,10,x,13,x,x,x,7,102
E09000030,LA,211,Tower Hamlets,204,66,107,97,14,39,24,61,66,7,x,x,0,111,x,x,13,x,x,x,x,54
E09000032,LA,212,Wandsworth,105,27,60,45,8,29,18,23,27,10,6,0,0,44,8,x,7,10,x,x,6,x
E09000033,LA,213,Westminster,104,49,56,48,x,22,x,27,49,x,7,0,x,44,0,x,x,22,x,0,x,19
E09000002,LA,301,Barking and Dagenham,205,54,111,94,x,60,46,40,54,17,x,0,x,100,8,x,11,0,0,0,0,58
E09000003,LA,302,Barnet,164,64,84,80,12,32,26,30,64,13,x,0,0,55,11,6,13,32,x,x,x,21
E09000004,LA,303,Bexley,118,57,49,69,x,22,9,26,57,0,x,x,x,50,0,x,x,7,11,x,x,35
E09000005,LA,304,Brent,231,102,117,114,10,41,26,52,102,0,9,x,x,98,16,13,10,50,0,15,7,10
E09000006,LA,305,Bromley,117,50,63,54,9,25,8,25,50,x,7,0,0,45,9,x,x,x,x,x,x,38
E09000008,LA,306,Croydon,416,302,298,118,10,33,26,45,302,11,0,x,x,74,x,12,x,x,0,0,7,305
E09000009,LA,307,Ealing,205,96,101,104,x,31,33,42,96,7,7,0,x,67,7,11,8,0,0,x,7,85
E09000010,LA,308,Enfield,157,51,82,75,x,37,25,39,51,7,x,0,x,80,6,x,14,0,x,x,x,34
E09000014,LA,309,Haringey,296,102,157,139,11,54,49,80,102,13,x,0,x,165,6,7,6,0,0,0,6,88
E09000015,LA,310,Harrow,103,53,54,49,8,18,6,18,53,6,0,0,x,40,x,x,x,13,10,x,x,24
E09000016,LA,311,Havering,113,50,62,51,x,19,10,30,50,7,0,0,x,51,x,11,0,20,11,x,x,7
E09000017,LA,312,Hillingdon,224,97,144,80,8,34,27,58,97,x,14,0,x,101,6,x,x,33,29,x,x,25
E09000018,LA,313,Hounslow,169,83,84,85,x,25,27,30,83,12,x,x,x,68,x,x,6,61,0,x,x,7
