New_geog_code,geog_l,geog_c,geog_n,All_aged19,LA_nit,Act_HE,Act_OE,Act_TE,Act_Neet_ill,Act_NEET_oth,Acc_P,Acc_FFC,Acc_CH,Acc_SITA,Acc_SL,Acc_OL,Acc_F,Acc_IL,Acc_EA,Acc_BB,Acc_C,Acc_OTH,Acc_SUIT
E92000001,NATIONAL,999,ENGLAND,6930,520,400,2030,1630,340,2020,890,330,310,740,660,140,140,2560,40,30,210,330,6090
E12000001,REGION,A,NORTH EAST,340,10,30,80,130,20,80,50,10,10,30,60,0,10,130,0,0,10,10,330
E12000002,REGION,B,NORTH WEST,960,40,50,260,270,60,290,180,70,40,80,60,20,20,350,10,0,40,70,850
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,650,40,40,200,130,30,200,80,50,30,60,60,10,10,250,10,0,30,50,570
E12000004,REGION,D,EAST MIDLANDS,440,50,10,100,140,30,110,50,20,20,20,40,0,0,200,0,0,10,20,380
E12000005,REGION,E,WEST MIDLANDS,750,60,50,200,160,40,250,120,30,40,50,70,10,20,280,10,0,20,30,650
E12000006,REGION,F,EAST OF ENGLAND,750,40,50,200,170,40,260,90,40,50,50,60,30,20,290,10,0,20,40,670
E12000007,REGION,G,LONDON,1490,120,130,550,270,40,380,120,40,60,310,120,20,20,550,0,10,50,40,1310
E12000007,REGION,H,INNER LONDON,620,30,50,240,130,10,160,50,10,30,170,60,10,10,170,0,0,30,10,560
E12000007,REGION,I,OUTER LONDON,870,90,80,310,140,30,220,60,30,30,140,60,10,10,380,0,10,20,30,750
E12000008,REGION,J,SOUTH EAST,960,120,30,280,230,50,270,110,40,50,80,140,30,30,290,10,10,20,40,800
E12000009,REGION,K,SOUTH WEST,600,40,20,160,130,40,200,90,40,30,60,50,20,10,220,0,0,20,40,530
E09000001,LA,201,City of London,x,0,x,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,x
E09000007,LA,202,Camden,37,x,x,9,8,x,15,x,0,0,12,6,0,x,x,0,0,x,0,36
E09000011,LA,203,Greenwich,67,x,x,20,14,x,22,x,0,x,6,7,x,6,30,0,0,x,0,63
E09000012,LA,204,Hackney,36,0,x,20,11,0,x,x,0,x,29,x,0,0,x,0,0,0,0,36
E09000013,LA,205,Hammersmith and Fulham,34,x,0,13,7,x,11,x,0,x,15,x,0,0,x,0,0,x,0,30
E09000019,LA,206,Islington,38,0,0,17,x,0,17,x,x,x,0,8,x,0,18,0,0,x,x,38
E09000020,LA,207,Kensington and Chelsea,17,x,x,x,x,x,x,0,0,x,6,x,x,0,x,0,x,x,0,15
E09000022,LA,208,Lambeth,73,x,x,29,20,x,16,x,x,x,6,6,0,0,43,0,0,x,x,65
E09000023,LA,209,Lewisham,60,x,x,22,21,x,12,x,0,x,12,10,0,x,22,0,0,x,0,52
E09000028,LA,210,Southwark,82,x,x,32,16,0,29,18,0,x,10,x,0,0,34,0,0,x,0,75
E09000030,LA,211,Tower Hamlets,48,x,9,22,10,0,6,x,x,x,18,6,0,x,x,0,x,0,x,43
E09000032,LA,212,Wandsworth,22,0,x,8,9,x,x,0,x,x,0,0,0,0,18,0,0,x,x,22
E09000033,LA,213,Westminster,27,x,x,14,x,0,6,x,0,0,11,x,x,0,x,0,x,x,0,23
E09000002,LA,301,Barking and Dagenham,39,x,x,15,x,0,14,x,0,x,0,x,0,0,26,0,0,0,0,36
E09000003,LA,302,Barnet,39,0,7,7,10,x,14,x,x,0,x,x,x,x,16,0,0,x,x,37
E09000004,LA,303,Bexley,24,0,x,10,x,x,x,x,x,x,0,0,0,0,18,0,0,x,x,24
E09000005,LA,304,Brent,56,x,7,20,9,x,16,x,x,6,8,0,x,x,30,0,0,x,x,54
E09000006,LA,305,Bromley,30,x,x,7,x,x,13,x,0,x,6,x,0,0,7,0,0,x,0,26
E09000008,LA,306,Croydon,228,52,21,80,30,10,35,6,x,x,x,0,0,x,148,0,x,x,x,172
E09000009,LA,307,Ealing,49,x,x,24,9,0,12,x,0,0,21,11,0,0,7,0,0,x,0,46
E09000010,LA,308,Enfield,28,0,x,7,12,0,7,x,x,0,7,x,0,0,12,0,0,x,x,26
E09000014,LA,309,Haringey,65,10,16,16,9,x,13,x,x,x,22,x,0,x,9,x,0,x,x,51
E09000015,LA,310,Harrow,30,6,x,7,x,0,10,x,x,x,6,0,0,0,8,0,0,x,x,24
E09000016,LA,311,Havering,25,x,0,7,8,0,8,x,0,x,0,x,0,0,16,x,0,0,0,21
E09000017,LA,312,Hillingdon,62,x,8,35,x,x,11,7,x,x,10,x,x,0,27,0,0,0,x,55
E09000018,LA,313,Hounslow,53,x,0,19,7,x,20,7,x,x,9,x,x,0,15,0,x,0,x,43
E09000021,LA,314,Kingston upon Thames,19,x,x,6,x,x,x,x,x,0,x,6,0,x,x,0,0,0,x,15
