New_geog_code,geog_l,geog_c,geog_n,CLA_started2013,CLA_taken2013,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR,,,,,,,,,
E92000001,NATIONAL,999,ENGLAND,28830,11100,15390,13440,6150,5760,4880,8350,3690,16190,740,970,2980,5160,980,50,1760,6730,240,40,16980,3460,650,10,690,20,10,,,,,,,,,
E12000001,REGION,A,NORTH EAST,1850,480,980,880,440,470,350,490,100,1080,30,30,190,430,50,0,40,280,20,0,1350,170,10,0,20,0,0,,,,,,,,,
E12000002,REGION,B,NORTH WEST,4380,2050,2280,2100,1010,1020,810,1180,350,2750,90,120,460,680,150,10,130,1330,30,0,2250,570,120,0,70,10,0,,,,,,,,,
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2550,1140,1380,1170,720,580,400,650,200,1770,70,70,150,350,90,0,60,800,20,0,1330,230,100,0,80,0,0,,,,,,,,,
E12000004,REGION,D,EAST MIDLANDS,2100,750,1120,980,500,430,370,530,270,1190,60,60,230,380,60,0,110,540,40,0,1290,130,40,0,60,0,0,,,,,,,,,
E12000005,REGION,E,WEST MIDLANDS,3520,1570,1880,1640,760,780,600,1000,390,2050,80,100,400,630,120,0,150,960,20,0,1880,520,70,0,70,0,0,,,,,,,,,
E12000006,REGION,F,EAST OF ENGLAND,2430,940,1300,1120,540,490,370,710,330,1460,80,50,280,410,60,10,100,660,30,10,1460,210,40,0,20,0,0,,,,,,,,,
E12000007,REGION,G,LONDON,5270,2010,2820,2450,850,750,840,1740,1090,2530,110,290,490,820,290,20,720,870,30,10,2970,1020,80,0,260,0,0,,,,,,,,,
E12000007,REGION,H,INNER LONDON,2270,950,1170,1100,400,320,350,730,480,1090,40,160,230,380,130,10,220,450,20,0,1180,430,40,0,140,0,0,,,,,,,,,
E12000007,REGION,I,OUTER LONDON,2990,1070,1640,1350,450,430,480,1010,610,1450,60,130,250,440,160,10,500,410,10,10,1790,600,40,0,120,0,0,,,,,,,,,
E12000008,REGION,J,SOUTH EAST,3920,1300,2150,1770,800,720,670,1190,550,1850,110,140,440,950,110,0,330,790,40,10,2540,370,100,0,70,0,0,,,,,,,,,
E12000009,REGION,K,SOUTH WEST,2820,850,1490,1330,540,520,480,870,420,1510,120,100,370,530,60,10,120,510,10,10,1930,240,90,0,30,0,0,,,,,,,,,
