New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_ceaAdop,CLA_Adop_PL12mnths
E92000001,NATIONAL,999,ENGLAND,28460,3980,2740
E12000001,REGION,A,NORTH EAST,1780,290,210
E12000002,REGION,B,NORTH WEST,4040,650,440
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2700,510,320
E12000004,REGION,D,EAST MIDLANDS,2020,330,220
E12000005,REGION,E,WEST MIDLANDS,3140,500,310
E12000006,REGION,F,EAST OF ENGLAND,2630,370,250
E12000007,REGION,G,LONDON,5540,490,330
E12000007,REGION,H,INNER LONDON,2460,210,140
E12000007,REGION,I,OUTER LONDON,3080,270,190
E12000008,REGION,J,SOUTH EAST,3890,540,400
E12000009,REGION,K,SOUTH WEST,2720,320,250
E09000001,LA,201,City of London,x,0,0
E09000007,LA,202,Camden,153,18,13
E09000011,LA,203,Greenwich,296,26,13
E09000012,LA,204,Hackney,173,10,7
E09000013,LA,205,Hammersmith and Fulham,94,13,x
E09000019,LA,206,Islington,171,18,15
E09000020,LA,207,Kensington and Chelsea,107,7,x
E09000022,LA,208,Lambeth,292,20,12
E09000023,LA,209,Lewisham,248,23,20
E09000028,LA,210,Southwark,303,20,14
E09000030,LA,211,Tower Hamlets,169,14,8
E09000032,LA,212,Wandsworth,109,17,10
E09000033,LA,213,Westminster,135,8,6
E09000002,LA,301,Barking and Dagenham,247,21,14
E09000003,LA,302,Barnet,167,14,10
E09000004,LA,303,Bexley,143,25,21
E09000005,LA,304,Brent,210,19,16
E09000006,LA,305,Bromley,144,17,9
E09000008,LA,306,Croydon,344,24,8
E09000009,LA,307,Ealing,242,10,9
E09000010,LA,308,Enfield,169,19,15
E09000014,LA,309,Haringey,234,14,10
E09000015,LA,310,Harrow,113,6,6
E09000016,LA,311,Havering,100,8,7
E09000017,LA,312,Hillingdon,194,17,13
E09000018,LA,313,Hounslow,165,14,12
E09000021,LA,314,Kingston upon Thames,72,10,7
E09000024,LA,315,Merton,85,x,x
E09000025,LA,316,Newham,270,31,16
E09000026,LA,317,Redbridge,119,x,x
E09000027,LA,318,Richmond upon Thames,48,x,x
E09000029,LA,319,Sutton,66,10,7
E09000031,LA,320,Waltham Forest,156,19,13
E08000025,LA,330,Birmingham,725,88,44
E08000026,LA,331,Coventry,247,40,18
E08000027,LA,332,Dudley,151,30,18
E08000028,LA,333,Sandwell,185,49,35
E08000029,LA,334,Solihull,166,13,9
E08000030,LA,335,Walsall,173,26,20
E08000031,LA,336,Wolverhampton,165,36,17
E08000011,LA,340,Knowsley,88,10,x
E08000012,LA,341,Liverpool,256,55,44
E08000013,LA,342,St. Helens,81,18,14
E08000014,LA,343,Sefton,104,14,8
E08000015,LA,344,Wirral,194,17,11
E08000001,LA,350,Bolton,152,43,29
E08000002,LA,351,Bury,128,22,17
E08000003,LA,352,Manchester,536,56,39
E08000004,LA,353,Oldham,129,28,17
E08000005,LA,354,Rochdale,167,38,18
E08000006,LA,355,Salford,213,27,17
E08000007,LA,356,Stockport,137,26,17
E08000008,LA,357,Tameside,148,27,20
E08000009,LA,358,Trafford,112,16,9
E08000010,LA,359,Wigan,127,33,17
E08000016,LA,370,Barnsley,104,28,16
E08000017,LA,371,Doncaster,210,25,12
E08000018,LA,372,Rotherham,144,36,22
E08000019,LA,373,Sheffield,314,50,37
E08000032,LA,380,Bradford,272,58,33
E08000033,LA,381,Calderdale,120,23,14
E08000034,LA,382,Kirklees,204,27,13
E08000035,LA,383,Leeds,478,88,61
E08000036,LA,384,Wakefield,142,29,20
E08000020,LA,390,Gateshead,165,17,12
E08000021,LA,391,Newcastle upon Tyne,182,37,31
E08000022,LA,392,North Tyneside,133,27,18
E08000023,LA,393,South Tyneside,119,37,33
E08000024,LA,394,Sunderland,184,35,21
E06000022,LA,800,Bath and North East Somerset,88,8,6
E06000023,LA,801,"Bristol, City of",269,23,20
E06000024,LA,802,North Somerset,101,6,x
E06000025,LA,803,South Gloucestershire,143,25,14
E06000001,LA,805,Hartlepool,68,8,6
E06000002,LA,806,Middlesbrough,189,19,16
E06000003,LA,807,Redcar and Cleveland,66,13,10
E06000004,LA,808,Stockton-on-Tees,165,19,10
E06000010,LA,810,"Kingston Upon Hull, City of",173,52,29
E06000011,LA,811,East Riding of Yorkshire,124,13,x
E06000012,LA,812,North East Lincolnshire,75,19,9
E06000013,LA,813,North Lincolnshire,72,14,12
E10000023,LA,815,North Yorkshire,186,34,27
E06000014,LA,816,York,80,14,10
E06000032,LA,821,Luton,148,17,6
E06000055,LA,822,Bedford,109,6,6
E06000056,LA,823,Central Bedfordshire,97,6,x
E10000002,LA,825,Buckinghamshire,108,23,13
E06000042,LA,826,Milton Keynes,116,21,13
E10000007,LA,830,Derbyshire,308,75,55
E06000015,LA,831,Derby,170,36,16
E10000009,LA,835,Dorset,127,18,17
E06000029,LA,836,Poole,80,15,12
E06000028,LA,837,Bournemouth,152,25,21
E06000047,LA,840,Durham,310,42,26
E06000005,LA,841,Darlington,86,8,8
E10000011,LA,845,East Sussex,202,47,38
E06000043,LA,846,Brighton and Hove,219,48,35
E10000014,LA,850,Hampshire,464,62,44
