New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_cease16,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_ceaAdop,CLA_ceaAdop2,CLA-ceaDied,CLA_ceataken,CLA_ceaPar,CLA_ceaROG,CLA_ceaSpecG,CLA_ceaSpecG2,CLA_ceaIndLiv,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_cea_OthRea
E92000001,NATIONAL,999,ENGLAND,28460,9990,15220,13240,1810,7610,4140,4910,9990,2130,1860,60,170,10080,1640,1590,1150,2730,1180,540,360,4990
E12000001,REGION,A,NORTH EAST,1780,430,980,810,150,610,330,270,430,180,110,0,10,760,160,100,70,90,20,20,10,260
E12000002,REGION,B,NORTH WEST,4040,1210,2120,1920,200,1260,680,680,1210,320,330,10,40,1290,260,300,170,240,160,60,30,840
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2700,750,1470,1230,220,900,420,410,750,270,240,10,10,880,240,190,110,210,40,40,50,420
E12000004,REGION,D,EAST MIDLANDS,2020,770,1090,930,150,550,260,290,770,180,150,0,10,620,110,140,60,190,120,50,30,360
E12000005,REGION,E,WEST MIDLANDS,3140,1130,1640,1500,200,840,440,530,1130,250,250,10,10,1090,170,170,100,320,190,60,30,490
E12000006,REGION,F,EAST OF ENGLAND,2630,1000,1420,1210,170,700,330,430,1000,180,180,10,10,880,160,140,120,420,170,60,20,280
E12000007,REGION,G,LONDON,5540,2260,3000,2540,300,1070,760,1150,2260,300,190,10,40,2210,180,200,240,480,150,70,130,1340
E12000007,REGION,H,INNER LONDON,2460,990,1310,1160,150,490,320,510,990,140,70,10,20,990,90,100,120,190,60,20,70,600
E12000007,REGION,I,OUTER LONDON,3080,1270,1700,1380,160,580,440,630,1270,160,120,10,20,1220,100,100,120,290,90,60,70,740
E12000008,REGION,J,SOUTH EAST,3890,1410,2090,1800,220,1030,570,660,1410,280,260,0,20,1330,220,210,190,440,230,120,40,560
E12000009,REGION,K,SOUTH WEST,2720,1010,1420,1300,200,670,360,490,1010,170,150,10,20,1030,140,140,90,340,110,60,30,450
E09000001,LA,201,City of London,x,x,x,x,0,0,0,0,x,0,0,0,0,0,0,0,0,x,0,0,0,x
E09000007,LA,202,Camden,153,53,75,78,14,36,14,36,53,10,8,x,x,76,0,x,x,0,0,x,x,45
E09000011,LA,203,Greenwich,296,102,159,137,14,51,51,78,102,16,10,x,x,155,6,9,x,x,6,x,x,78
E09000012,LA,204,Hackney,173,78,95,78,9,31,24,31,78,10,0,0,x,69,7,x,14,x,0,x,x,63
E09000013,LA,205,Hammersmith and Fulham,94,38,47,47,8,17,16,15,38,10,x,0,x,14,7,14,6,16,14,0,0,6
E09000019,LA,206,Islington,171,81,95,76,10,30,14,36,81,10,8,x,0,38,x,12,x,16,0,x,x,70
E09000020,LA,207,Kensington and Chelsea,107,45,59,48,6,11,22,23,45,x,x,0,x,43,x,x,x,26,0,x,x,17
E09000022,LA,208,Lambeth,292,117,142,150,15,47,46,67,117,13,7,0,x,125,18,18,8,80,x,0,13,6
E09000023,LA,209,Lewisham,248,107,130,118,12,48,31,50,107,16,7,x,0,104,12,6,12,12,35,x,12,25
E09000028,LA,210,Southwark,303,135,161,142,24,72,23,49,135,13,7,0,x,111,15,0,26,0,0,x,10,117
E09000030,LA,211,Tower Hamlets,169,63,78,91,15,28,16,47,63,x,9,x,0,87,x,0,11,0,0,0,x,51
E09000032,LA,212,Wandsworth,109,28,59,50,10,29,13,29,28,10,7,0,0,47,8,7,x,6,x,x,x,10
E09000033,LA,213,Westminster,135,56,69,66,x,28,17,31,56,6,x,0,x,47,x,8,7,28,x,x,x,21
E09000002,LA,301,Barking and Dagenham,247,74,125,122,18,53,42,60,74,16,x,x,0,147,x,7,11,15,21,x,x,13
E09000003,LA,302,Barnet,167,52,87,80,15,30,28,42,52,11,x,0,x,57,11,x,18,32,0,x,x,27
E09000004,LA,303,Bexley,143,52,76,67,x,32,21,33,52,x,22,x,0,56,x,9,x,x,x,x,0,40
E09000005,LA,304,Brent,210,84,114,96,10,44,34,38,84,x,14,x,x,74,14,7,13,34,x,20,14,7
E09000006,LA,305,Bromley,144,57,76,68,9,29,20,29,57,x,12,0,x,39,21,x,x,0,x,7,x,43
E09000008,LA,306,Croydon,344,223,255,89,x,40,29,47,223,24,0,0,x,82,x,9,12,x,x,x,7,200
E09000009,LA,307,Ealing,242,83,126,116,11,59,37,52,83,9,x,0,x,78,17,13,16,0,0,x,x,102
E09000010,LA,308,Enfield,169,51,87,82,6,37,40,35,51,8,11,0,0,75,7,0,11,0,x,0,x,53
E09000014,LA,309,Haringey,234,86,142,92,8,52,38,50,86,13,x,0,x,100,x,21,10,0,0,0,9,75
E09000015,LA,310,Harrow,113,55,73,40,6,17,11,24,55,x,x,x,0,44,x,0,x,31,11,x,x,9
E09000016,LA,311,Havering,100,40,62,38,7,22,13,18,40,8,0,x,x,53,x,7,x,18,x,x,x,0
E09000017,LA,312,Hillingdon,194,86,99,95,6,36,20,46,86,13,x,0,x,77,x,x,7,34,25,x,x,22
E09000018,LA,313,Hounslow,165,72,79,86,15,33,22,23,72,11,x,0,0,81,0,x,x,57,x,x,x,x
E09000021,LA,314,Kingston upon Thames,72,36,37,35,x,16,13,x,36,x,8,0,0,12,x,7,x,6,x,x,x,25
E09000024,LA,315,Merton,85,38,45,40,x,8,7,29,38,x,x,0,0,43,0,x,0,21,0,x,x,7
E09000025,LA,316,Newham,270,101,150,120,11,60,49,49,101,18,13,0,x,124,x,8,x,0,x,0,0,97
E09000026,LA,317,Redbridge,119,54,60,59,x,25,14,24,54,x,x,0,x,55,0,10,x,24,0,x,6,15
E09000027,LA,318,Richmond upon Thames,48,16,24,24,x,6,9,14,16,x,x,0,x,23,0,x,x,x,0,x,0,12
E09000029,LA,319,Sutton,66,28,31,35,x,16,8,9,28,x,9,0,x,23,x,x,x,11,6,0,0,9
E09000031,LA,320,Waltham Forest,156,69,84,72,13,30,16,28,69,12,7,0,x,47,x,x,x,0,0,0,x,72
E08000025,LA,330,Birmingham,725,243,368,357,57,180,112,133,243,18,70,x,x,286,60,30,22,33,22,8,9,164
E08000026,LA,331,Coventry,247,64,127,120,19,73,47,44,64,31,9,0,x,87,13,10,21,8,6,x,x,51
E08000027,LA,332,Dudley,151,53,72,79,7,44,20,27,53,23,7,0,0,50,x,10,x,0,0,x,0,56
E08000028,LA,333,Sandwell,185,53,105,80,8,72,28,24,53,30,19,x,x,61,16,8,x,25,11,0,x,x
E08000029,LA,334,Solihull,166,96,101,65,7,26,13,24,96,x,12,0,0,47,x,x,x,88,0,x,x,8
E08000030,LA,335,Walsall,173,59,77,96,9,48,25,32,59,24,x,x,0,72,9,11,x,8,26,7,x,7
E08000031,LA,336,Wolverhampton,165,43,79,86,8,48,31,35,43,16,20,0,0,74,7,10,x,16,x,6,x,7
E08000011,LA,340,Knowsley,88,30,53,35,6,25,17,10,30,x,x,0,x,20,x,x,9,6,0,x,0,32
E08000012,LA,341,Liverpool,256,93,134,122,12,73,48,30,93,54,x,0,7,59,13,20,x,x,x,0,x,93
E08000013,LA,342,St. Helens,81,22,43,38,6,33,12,8,22,0,18,0,x,27,x,8,0,7,0,x,x,10
E08000014,LA,343,Sefton,104,33,57,47,x,31,20,15,33,7,7,0,x,30,7,16,7,9,0,x,0,19
E08000015,LA,344,Wirral,194,66,113,81,8,44,33,43,66,x,15,0,x,68,x,28,0,16,31,x,x,26
E08000001,LA,350,Bolton,152,39,82,70,x,60,25,25,39,40,x,0,x,43,14,x,8,x,19,x,x,12
E08000002,LA,351,Bury,128,32,65,63,8,44,25,19,32,22,0,x,x,51,12,x,x,11,x,0,0,24
E08000003,LA,352,Manchester,536,187,283,253,21,128,91,109,187,x,54,0,x,208,18,38,21,43,32,7,0,112
E08000004,LA,353,Oldham,129,32,57,72,9,42,23,23,32,20,8,0,x,56,x,7,0,9,x,x,x,17
E08000005,LA,354,Rochdale,167,39,82,85,11,62,28,27,39,20,18,x,0,72,13,x,x,x,x,x,x,22
E08000006,LA,355,Salford,213,62,106,107,9,74,37,31,62,18,9,0,0,47,9,34,6,x,0,x,0,86
E08000007,LA,356,Stockport,137,56,73,64,7,35,18,21,56,24,x,x,0,34,10,x,6,7,x,x,x,44
E08000008,LA,357,Tameside,148,33,83,65,8,59,17,31,33,11,16,0,x,57,x,10,16,10,x,x,x,12
E08000009,LA,358,Trafford,112,48,54,58,x,18,18,24,48,12,x,0,x,47,0,x,x,28,0,x,0,15
E08000010,LA,359,Wigan,127,36,75,52,x,48,20,20,36,x,32,0,0,46,x,13,0,8,6,0,x,14
E08000016,LA,370,Barnsley,104,32,53,51,11,35,16,10,32,23,x,0,x,18,15,x,8,x,7,x,0,16
E08000017,LA,371,Doncaster,210,62,121,89,22,65,41,20,62,9,16,x,0,54,32,14,16,x,x,x,x,55
E08000018,LA,372,Rotherham,144,35,79,65,13,54,23,19,35,26,10,x,0,50,16,x,x,13,x,x,x,18
E08000019,LA,373,Sheffield,314,93,171,143,29,94,50,48,93,33,17,x,x,112,49,8,9,29,7,x,6,37
E08000032,LA,380,Bradford,272,77,145,127,17,105,45,28,77,24,34,0,0,66,15,44,11,11,x,x,x,60
E08000033,LA,381,Calderdale,120,34,62,58,11,35,14,26,34,16,7,0,0,39,7,7,6,8,6,6,x,15
E08000034,LA,382,Kirklees,204,56,113,91,25,63,26,34,56,0,27,x,0,73,7,23,16,44,x,0,x,8
E08000035,LA,383,Leeds,478,136,249,229,38,153,72,79,136,70,18,x,6,147,32,28,18,11,x,8,x,134
E08000036,LA,384,Wakefield,142,35,81,61,6,56,26,19,35,28,x,x,0,52,6,13,11,25,0,0,x,x
E08000020,LA,390,Gateshead,165,43,84,81,9,54,33,26,43,13,x,0,x,70,25,11,x,x,0,x,0,30
E08000021,LA,391,Newcastle upon Tyne,182,64,100,82,6,57,23,32,64,37,0,0,0,71,x,6,x,x,x,0,0,61
E08000022,LA,392,North Tyneside,133,24,71,62,9,42,33,25,24,16,11,0,x,63,10,6,x,x,x,0,x,15
E08000023,LA,393,South Tyneside,119,27,57,62,6,50,25,11,27,33,x,0,0,36,12,11,x,18,0,x,0,0
E08000024,LA,394,Sunderland,184,50,98,86,9,61,35,29,50,x,33,0,x,94,x,12,0,11,x,x,x,22
E06000022,LA,800,Bath and North East Somerset,88,34,49,39,6,21,9,18,34,x,x,0,0,37,x,x,x,20,0,x,0,14
E06000023,LA,801,"Bristol, City of",269,120,137,132,17,74,27,31,120,9,14,x,x,71,8,19,12,10,x,x,x,113
E06000024,LA,802,North Somerset,101,39,50,51,6,14,19,23,39,6,0,0,x,26,9,x,7,12,x,x,x,28
E06000025,LA,803,South Gloucestershire,143,49,77,66,x,35,22,32,49,25,0,0,x,56,11,11,x,33,x,x,x,0
E06000001,LA,805,Hartlepool,68,13,34,34,7,23,12,13,13,7,x,0,0,30,11,x,x,x,0,x,0,x
E06000002,LA,806,Middlesbrough,189,38,96,93,27,64,34,26,38,12,7,0,x,93,11,11,12,x,x,x,0,39
E06000003,LA,807,Redcar and Cleveland,66,21,36,30,9,20,10,6,21,11,x,0,0,17,11,0,x,6,x,x,x,12
E06000004,LA,808,Stockton-on-Tees,165,29,102,63,13,63,32,28,29,12,7,x,0,69,28,10,11,6,x,0,x,14
E06000010,LA,810,"Kingston Upon Hull, City of",173,40,97,76,x,63,34,32,40,x,51,0,0,48,12,13,x,x,0,0,x,39
E06000011,LA,811,East Riding of Yorkshire,124,26,64,60,9,42,20,27,26,x,11,0,0,59,18,8,x,12,x,x,0,8
E06000012,LA,812,North East Lincolnshire,75,24,42,33,6,25,8,12,24,0,19,0,0,23,0,x,x,0,0,0,7,20
E06000013,LA,813,North Lincolnshire,72,12,38,34,9,31,11,9,12,13,x,0,0,23,14,8,x,7,0,x,x,0
E10000023,LA,815,North Yorkshire,186,62,103,83,18,53,24,29,62,14,20,0,x,80,12,6,6,28,x,7,6,x
E06000014,LA,816,York,80,28,52,28,x,23,12,13,28,7,7,0,0,31,6,x,0,7,x,x,x,7
E06000032,LA,821,Luton,148,63,71,77,8,26,12,39,63,10,7,x,x,58,x,x,7,x,x,x,0,52
E06000055,LA,822,Bedford,109,32,54,55,6,32,15,24,32,6,0,0,x,56,x,8,x,x,0,x,0,29
E06000056,LA,823,Central Bedfordshire,97,34,46,51,x,34,10,14,34,6,0,x,0,19,16,12,0,9,x,x,0,29
E10000002,LA,825,Buckinghamshire,108,46,54,54,8,27,21,6,46,14,9,x,0,19,x,6,x,x,x,10,x,35
E06000042,LA,826,Milton Keynes,116,38,52,64,6,30,19,23,38,12,9,0,x,38,x,9,6,10,6,x,x,16
E10000007,LA,830,Derbyshire,308,134,166,142,15,86,41,32,134,62,13,0,0,84,22,8,x,25,38,x,9,41
E06000015,LA,831,Derby,170,65,96,74,19,47,19,20,65,27,9,0,0,52,12,x,x,18,x,21,x,21
E10000009,LA,835,Dorset,127,49,66,61,6,25,11,36,49,15,x,0,x,52,x,x,x,16,7,8,x,15
E06000029,LA,836,Poole,80,18,47,33,x,27,10,23,18,x,12,0,0,37,11,0,x,10,x,x,x,x
E06000028,LA,837,Bournemouth,152,42,80,72,17,47,28,18,42,21,x,x,x,62,15,6,x,18,0,0,0,19
E06000047,LA,840,Durham,310,64,184,126,36,108,56,46,64,31,11,x,x,128,36,16,13,13,x,6,x,49
E06000005,LA,841,Darlington,86,24,50,36,12,24,13,13,24,x,6,x,x,43,x,9,x,x,x,x,0,10
E10000011,LA,845,East Sussex,202,57,101,101,10,75,34,26,57,15,32,0,x,46,9,16,29,29,x,8,x,14
E06000043,LA,846,Brighton and Hove,219,57,128,91,16,66,41,39,57,13,35,0,x,81,x,22,6,x,0,x,0,52
E10000014,LA,850,Hampshire,464,179,250,214,20,111,59,95,179,18,44,0,x,176,34,20,10,79,43,19,6,14
E06000044,LA,851,Portsmouth,117,38,74,43,x,37,20,20,38,11,x,0,0,35,16,12,x,9,x,x,x,16
E06000045,LA,852,Southampton,173,48,99,74,14,59,25,27,48,15,13,0,x,47,15,x,25,x,6,x,0,40
E10000018,LA,855,Leicestershire,169,63,90,79,11,48,22,25,63,8,11,x,0,60,10,15,9,15,24,0,x,15
E06000016,LA,856,Leicester,220,85,111,109,8,60,23,44,85,19,10,x,x,66,11,19,6,14,0,x,x,64
E06000017,LA,857,Rutland,8,x,x,x,0,x,x,x,x,0,x,0,0,x,0,0,0,x,0,0,0,0
E10000028,LA,860,Staffordshire,275,129,137,138,18,64,24,40,129,25,22,0,x,82,10,18,7,x,69,6,6,26
E06000021,LA,861,Stoke-on-Trent,211,53,103,108,16,63,42,37,53,6,39,x,x,57,16,20,x,x,0,0,0,61
E06000054,LA,865,Wiltshire,174,62,91,83,9,38,35,30,62,x,12,0,x,55,8,16,x,18,8,7,x,45
E06000030,LA,866,Swindon,142,61,61,81,x,29,18,29,61,x,x,0,x,50,x,12,8,8,x,x,x,40
E06000036,LA,867,Bracknell Forest,48,18,23,25,x,10,8,8,18,x,0,0,0,26,x,x,x,x,x,0,0,6
E06000040,LA,868,Windsor and Maidenhead,46,17,25,21,x,9,x,18,17,0,x,0,x,15,x,x,x,x,0,7,0,6
E06000037,LA,869,West Berkshire,35,15,15,20,x,10,x,7,15,x,x,0,0,13,0,x,x,0,x,x,0,6
E06000038,LA,870,Reading,95,24,44,51,12,29,16,14,24,15,x,0,x,28,9,11,x,x,0,0,0,21
E06000039,LA,871,Slough,96,29,46,50,7,24,21,15,29,7,x,0,x,46,x,x,6,12,0,0,x,13
E06000041,LA,872,Wokingham,29,11,16,13,x,8,x,x,11,x,x,0,0,9,x,x,x,x,0,x,0,6
E10000003,LA,873,Cambridgeshire,163,77,95,68,9,35,17,25,77,25,x,0,0,47,x,x,x,23,8,x,x,45
E06000031,LA,874,Peterborough,137,38,71,66,16,43,15,25,38,14,x,0,0,46,11,11,9,7,0,x,x,30
E06000006,LA,876,Halton,49,13,28,21,x,15,7,11,13,x,7,0,0,22,0,x,x,x,0,0,0,11
E06000007,LA,877,Warrington,100,21,47,53,x,34,19,21,21,0,8,0,x,6,12,14,8,0,0,0,0,50
E10000008,LA,878,Devon,408,186,207,201,35,80,36,71,186,20,11,x,6,184,8,16,x,72,32,11,x,42
E06000026,LA,879,Plymouth,153,55,91,62,13,50,14,21,55,21,14,0,x,50,7,x,x,9,x,x,x,37
E06000027,LA,880,Torbay,101,41,55,46,8,25,12,15,41,9,x,0,x,45,x,x,x,10,10,0,0,11
E10000012,LA,881,Essex,601,249,348,253,29,153,74,96,249,29,41,0,0,199,39,46,25,143,35,19,x,21
