New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2013,CLA_2013,CLA_stp2013,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_Miss,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_Moth,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_1Pla,CLA_2PLa,CLA_3Pla,CLA_P2yrs,CLA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain 
E92000001,NATIONAL,999,ENGLAND,68110,95170,5220,37510,30600,4310,12360,13260,24450,13730,53030,6090,2620,4470,1390,500,50900,3350,3260,2190,6000,1210,930,150,110,11540,28640,150,9240,18190,320,30,1860,340,39620,1280,380,21850,1460,3260,260,45160,15390,7540,14490,40090,24400,23950,#VALUE!
E12000001,REGION,A,NORTH EAST,4220,5910,340,2270,1950,320,820,870,1540,680,3920,110,50,60,50,30,3260,270,140,60,360,70,60,0,0,460,1780,10,630,1330,10,0,20,20,2840,110,20,1020,90,140,10,2800,950,470,790,2420,1530,1490,-40
E12000002,REGION,B,NORTH WEST,11840,15690,1080,6440,5400,720,2400,2630,4170,1930,10260,720,310,340,130,90,8640,520,1060,240,920,280,130,10,40,2410,5980,10,1560,1830,40,10,60,50,6980,270,60,3220,190,1060,60,7990,2650,1200,2890,7420,3850,3910,60
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,7420,10030,770,4120,3310,510,1610,1530,2590,1190,6250,620,270,140,60,90,5400,420,540,160,730,70,100,0,10,1230,3610,50,1280,1210,40,0,60,40,4790,140,40,1740,160,540,10,4870,1840,710,1800,4900,2100,1850,-250
E12000004,REGION,D,EAST MIDLANDS,4860,6790,420,2670,2190,340,970,970,1650,930,4020,450,150,130,70,50,3630,340,120,170,420,120,50,10,10,620,1850,10,980,1380,30,0,120,30,3280,80,40,1290,50,120,10,3250,1130,480,970,3030,1480,1990,510
E12000005,REGION,E,WEST MIDLANDS,8950,11920,400,4850,4100,540,1750,1850,3210,1590,6740,1000,480,460,190,80,6660,390,580,340,770,80,80,10,30,1650,3970,40,1140,2110,40,0,180,40,4720,90,40,3300,190,580,40,5990,1970,990,2070,5090,3430,3330,-100
E12000006,REGION,F,EAST OF ENGLAND,6300,8780,340,3460,2840,390,1000,1130,2380,1420,5260,520,180,200,110,30,4750,330,190,250,590,90,90,10,10,1100,2600,10,790,1790,10,0,130,30,3550,90,20,2330,110,190,30,4170,1440,700,1300,4000,1950,1860,-100
E12000007,REGION,G,LONDON,10090,15350,350,5650,4440,570,1390,1680,3660,2800,4180,1740,880,2770,460,60,7550,360,160,520,1040,230,190,40,0,1640,3720,10,930,3680,110,10,840,80,4510,280,90,4630,370,160,40,6770,2120,1200,2020,3710,5990,4190,-1800
E12000007,REGION,H,INNER LONDON,4440,6780,80,2420,2020,280,620,730,1640,1180,1450,900,330,1560,180,20,3340,160,80,210,440,120,80,20,0,750,1850,0,420,1360,60,0,200,50,1860,160,50,2090,180,80,20,3020,890,530,950,1240,3020,1120,-1900
E12000007,REGION,I,OUTER LONDON,5650,8570,270,3230,2430,290,770,950,2020,1620,2730,850,550,1210,280,30,4210,200,80,310,600,110,110,20,0,890,1860,0,520,2330,50,0,640,40,2650,120,50,2550,200,80,20,3750,1230,670,1070,2460,2970,3070,100
E12000008,REGION,J,SOUTH EAST,8820,12530,680,4980,3840,580,1530,1660,3160,1890,7340,630,250,280,260,50,6800,460,280,270,720,120,110,60,0,1480,3180,10,1290,2830,30,10,410,30,5480,120,40,2670,170,280,60,5690,2050,1070,1650,5660,2640,3650,1010
E12000009,REGION,K,SOUTH WEST,5600,8170,830,3080,2520,340,900,950,2100,1310,5060,300,50,100,60,40,4220,270,190,190,460,140,130,0,10,950,1960,0,630,2040,20,10,50,30,3480,110,30,1650,130,190,20,3630,1250,720,1000,3890,1430,1680,260
E09000001,LA,201,City of London,7,10,0,6,x,0,0,x,x,x,x,x,x,x,0,0,7,0,0,0,0,0,0,0,0,0,x,0,0,x,0,0,x,0,x,0,0,6,0,0,0,6,0,x,x,0,7,0,x
E09000007,LA,202,Camden,262,405,x,149,113,20,36,39,102,65,96,62,34,64,x,x,173,11,16,0,45,8,7,x,0,61,107,0,19,74,x,0,10,0,105,0,x,136,0,16,x,151,61,50,50,80,169,37,x
E09000011,LA,203,Greenwich,575,860,x,300,275,26,81,125,232,111,304,97,23,139,12,0,457,33,x,30,45,x,0,x,0,75,235,0,52,212,x,0,11,0,148,11,0,340,68,x,x,416,109,50,145,140,399,154,x
E09000012,LA,204,Hackney,320,488,8,160,160,18,46,59,119,78,101,52,11,146,10,0,257,7,x,20,23,7,0,x,0,47,120,0,25,122,x,x,9,0,191,17,x,96,6,x,x,237,47,36,63,87,225,90,x
E09000013,LA,205,Hammersmith and Fulham,236,330,7,129,107,12,30,36,82,76,82,57,x,67,26,0,166,16,x,x,31,10,x,0,0,32,98,0,29,72,x,0,18,0,121,x,x,77,32,x,0,166,50,19,41,60,160,25,x
E09000019,LA,206,Islington,310,477,0,154,156,24,28,47,120,91,126,81,x,85,9,x,243,9,8,12,30,x,x,x,0,70,128,0,22,88,x,0,27,10,134,7,x,130,24,8,x,216,58,36,52,87,209,74,x
E09000020,LA,207,Kensington and Chelsea,98,203,x,60,38,x,6,8,37,43,25,35,x,26,7,0,62,x,x,x,17,x,9,0,0,8,44,0,x,43,x,0,15,0,60,x,x,25,6,x,0,73,15,10,26,20,77,29,x
E09000022,LA,208,Lambeth,501,772,0,295,206,35,76,77,182,131,112,105,14,248,22,0,376,15,x,43,45,11,6,x,0,98,175,x,59,155,13,0,21,10,21,104,8,361,x,x,x,323,114,63,103,112,373,163,x
E09000023,LA,209,Lewisham,494,728,x,260,234,28,69,79,196,122,162,100,22,195,13,x,394,10,6,28,38,10,x,x,0,88,191,0,31,176,8,0,8,10,170,7,6,260,42,6,x,338,97,59,119,201,280,248,x
E09000028,LA,210,Southwark,565,855,0,315,250,42,88,115,183,137,193,93,17,239,19,x,427,20,15,35,17,37,12,x,0,115,224,0,80,134,12,0,19,10,315,11,12,208,x,15,x,365,123,77,103,149,394,96,x
E09000030,LA,211,Tower Hamlets,303,457,x,167,136,17,36,31,123,96,91,65,113,26,7,x,229,10,x,19,26,x,13,0,0,45,117,0,20,115,6,0,17,10,201,x,x,97,0,x,0,207,62,34,58,72,221,34,x
E09000032,LA,212,Wandsworth,211,309,33,109,102,14,26,35,80,56,71,53,8,76,x,x,149,x,6,14,18,17,x,0,0,28,92,0,30,59,x,0,x,0,136,x,x,60,x,6,0,153,28,28,49,79,127,55,x
E09000033,LA,213,Westminster,188,319,7,101,87,8,29,34,66,51,47,56,7,48,26,x,140,7,x,x,24,7,x,0,0,24,104,x,11,46,x,0,9,0,93,8,x,70,13,x,0,134,33,21,62,39,142,16,x
E09000002,LA,301,Barking and Dagenham,420,655,0,196,224,26,71,92,148,83,251,46,19,84,15,x,339,13,12,34,x,17,x,0,0,84,111,0,44,179,x,x,22,0,264,0,0,144,0,12,0,302,79,39,86,171,236,99,x
E09000003,LA,302,Barnet,310,463,0,183,127,21,33,45,123,88,137,63,14,69,18,9,220,6,x,0,67,8,6,0,0,58,122,x,23,101,x,0,6,0,151,x,x,150,0,x,0,207,63,40,57,110,194,109,x
E09000004,LA,303,Bexley,256,389,38,129,127,20,48,47,92,49,201,17,x,27,8,x,193,13,x,24,16,x,x,0,0,52,86,x,24,91,x,x,7,0,182,x,x,66,x,x,0,155,64,37,41,143,100,191,91
E09000005,LA,304,Brent,346,541,6,203,143,17,39,50,134,106,80,72,48,135,10,x,250,8,9,x,58,8,8,x,0,61,137,0,17,124,7,0,23,0,168,x,8,155,x,9,x,200,94,52,53,142,193,205,12
E09000006,LA,305,Bromley,277,414,81,161,116,13,40,57,91,76,199,33,x,36,x,x,197,7,x,21,28,6,12,x,0,35,117,0,24,99,x,0,13,0,175,0,x,94,0,x,x,178,62,37,49,122,146,168,22
E09000008,LA,306,Croydon,735,1063,12,498,237,25,68,84,249,309,213,100,155,183,84,0,568,18,6,86,37,11,7,x,0,93,134,0,34,463,11,0,305,10,330,24,7,350,16,6,x,502,146,87,113,461,254,501,247
E09000009,LA,307,Ealing,398,633,11,215,183,20,54,84,145,95,117,83,81,113,x,x,281,19,10,12,59,6,10,x,0,70,151,0,48,122,7,0,17,0,168,x,x,180,32,10,x,265,90,43,89,141,237,119,x
E09000010,LA,308,Enfield,300,460,0,162,138,18,48,41,116,77,145,27,8,83,35,x,224,11,x,26,21,6,x,x,0,55,109,0,37,97,x,0,29,0,129,x,0,134,27,x,x,184,78,38,54,142,143,178,35
