New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_cease16,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_ceaAdop,CLA_ceaAdop2,CLA_ceaDied,CLA_ceataken,CLA_ceaPar,CLA_ceaROG,CLA_ceaSpecG,CLA_ceaSpecG2,CLA_ceaIndLiv,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_cea_OthRea
E92000001,NATIONAL,999,ENGLAND,30430,10310,16290,14140,2320,8500,4420,4890,10310,2650,2400,50,150,10300,1690,1740,1590,2650,1030,570,640,4970
E12000001,REGION,A,NORTH EAST,1990,490,1010,980,170,660,350,330,490,280,120,0,10,700,170,120,110,120,30,20,30,320
E12000002,REGION,B,NORTH WEST,4380,1340,2310,2060,280,1310,690,750,1340,380,390,10,30,1350,260,340,230,240,200,60,90,800
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2830,840,1560,1270,250,950,400,390,840,300,330,0,10,950,160,180,150,220,50,30,70,370
E12000004,REGION,D,EAST MIDLANDS,2260,730,1210,1050,200,700,320,330,730,230,250,10,10,670,120,170,110,180,90,60,50,320
E12000005,REGION,E,WEST MIDLANDS,3470,1190,1820,1650,250,1010,490,530,1190,260,330,10,20,1170,210,230,120,310,180,60,60,520
E12000006,REGION,F,EAST OF ENGLAND,2720,990,1420,1300,210,760,360,390,990,280,230,10,10,810,190,110,170,440,120,50,30,290
E12000007,REGION,G,LONDON,5870,2340,3200,2670,390,1190,840,1110,2340,360,210,10,30,2290,200,210,360,530,120,100,230,1230
E12000007,REGION,H,INNER LONDON,2490,1020,1340,1150,200,510,330,430,1020,170,100,10,10,940,70,90,150,220,40,20,110,570
E12000007,REGION,I,OUTER LONDON,3380,1320,1860,1520,190,680,510,680,1320,190,110,0,20,1350,130,110,210,320,80,80,120,660
E12000008,REGION,J,SOUTH EAST,4020,1410,2220,1800,320,1090,580,610,1410,350,340,0,30,1330,230,210,230,340,220,130,60,560
E12000009,REGION,K,SOUTH WEST,2890,980,1540,1360,250,820,400,450,980,230,210,10,10,1040,150,160,130,270,50,60,20,550
E09000001,LA,201,City of London,x,x,x,0,x,x,0,0,x,0,0,0,0,x,0,0,0,x,0,0,0,x
E09000007,LA,202,Camden,158,49,81,77,20,38,21,30,49,10,11,x,0,63,x,10,13,0,0,0,x,43
E09000011,LA,203,Greenwich,312,95,163,149,20,74,66,57,95,25,14,0,x,164,7,11,10,x,x,x,6,68
E09000012,LA,204,Hackney,157,57,81,76,10,28,24,38,57,7,9,0,x,62,x,10,9,x,x,x,7,46
E09000013,LA,205,Hammersmith and Fulham,160,66,96,64,14,27,23,30,66,12,9,0,0,47,x,7,12,26,x,x,9,25
E09000019,LA,206,Islington,157,69,70,87,14,30,17,27,69,13,x,x,0,28,x,11,11,x,0,x,x,82
E09000020,LA,207,Kensington and Chelsea,76,46,51,25,x,8,x,14,46,x,0,0,0,28,x,0,x,29,0,0,7,6
E09000022,LA,208,Lambeth,303,124,169,134,22,51,48,58,124,13,8,0,x,122,13,26,15,87,0,0,8,10
E09000023,LA,209,Lewisham,235,94,133,102,12,57,34,38,94,20,8,0,x,91,15,x,11,36,29,x,16,x
E09000028,LA,210,Southwark,273,100,146,127,33,70,39,31,100,21,12,x,x,90,18,x,17,x,0,0,13,91
E09000030,LA,211,Tower Hamlets,190,92,101,89,12,29,17,40,92,x,12,0,x,71,x,x,10,x,x,x,7,80
E09000032,LA,212,Wandsworth,138,50,64,74,12,31,22,23,50,7,x,x,0,59,x,x,14,9,x,6,10,18
E09000033,LA,213,Westminster,105,56,53,52,x,19,11,15,56,6,x,0,x,36,x,x,6,18,x,x,x,20
E09000002,LA,301,Barking and Dagenham,272,72,123,149,18,61,60,61,72,16,x,x,x,147,15,8,20,32,19,x,x,x
E09000003,LA,302,Barnet,167,68,97,70,12,33,16,38,68,x,7,0,0,50,7,7,13,40,x,x,10,25
E09000004,LA,303,Bexley,170,49,79,91,17,34,35,35,49,x,14,0,x,60,x,11,18,12,x,x,x,42
E09000005,LA,304,Brent,241,103,148,93,15,27,32,64,103,x,10,0,x,99,16,6,12,24,8,x,23,37
E09000006,LA,305,Bromley,186,66,102,84,17,41,24,38,66,x,9,0,0,63,16,13,15,7,x,x,8,47
E09000008,LA,306,Croydon,350,201,234,116,13,48,37,51,201,19,x,0,x,67,8,x,28,x,x,51,15,143
E09000009,LA,307,Ealing,260,85,134,126,10,68,43,54,85,17,8,0,x,91,21,17,15,x,0,x,x,82
E09000010,LA,308,Enfield,184,78,100,84,11,32,20,43,78,11,9,0,0,87,x,x,9,x,0,x,13,45
E09000014,LA,309,Haringey,262,107,146,116,14,66,40,35,107,33,x,x,0,102,0,6,19,x,0,x,16,75
E09000015,LA,310,Harrow,140,46,72,68,10,27,20,37,46,x,7,x,0,69,0,8,6,14,6,x,x,20
E09000016,LA,311,Havering,129,40,66,63,7,30,25,27,40,15,0,0,0,76,x,x,x,20,0,x,x,x
E09000017,LA,312,Hillingdon,199,106,118,81,x,37,24,27,106,16,x,0,0,57,x,0,18,45,18,x,9,25
E09000018,LA,313,Hounslow,150,65,77,73,7,32,12,34,65,x,7,0,0,66,7,x,6,54,x,0,x,0
E09000021,LA,314,Kingston upon Thames,67,27,35,32,x,19,10,7,27,6,x,0,0,21,x,x,x,6,0,x,x,18
E09000024,LA,315,Merton,107,43,64,43,x,22,16,22,43,9,x,0,x,52,x,x,x,23,x,0,x,7
E09000025,LA,316,Newham,273,112,142,131,25,53,33,50,112,17,11,0,x,143,x,10,13,0,0,0,6,69
E09000026,LA,317,Redbridge,140,57,77,63,x,28,20,31,57,6,x,0,x,69,x,x,7,17,x,0,6,21
E09000027,LA,318,Richmond upon Thames,50,17,31,19,x,13,6,10,17,x,0,0,x,20,x,x,x,0,0,x,x,11
E09000029,LA,319,Sutton,72,29,37,35,x,14,13,12,29,10,x,0,0,28,x,x,x,9,13,0,0,x
E09000031,LA,320,Waltham Forest,179,73,103,76,6,43,26,31,73,12,9,x,x,61,11,x,16,0,0,0,x,60
E08000025,LA,330,Birmingham,758,236,372,386,55,221,112,134,236,11,109,x,x,262,57,32,30,21,12,19,8,191
E08000026,LA,331,Coventry,330,100,160,170,23,107,43,57,100,19,33,0,x,121,15,9,19,11,14,x,10,73
E08000027,LA,332,Dudley,156,44,80,76,7,44,27,34,44,11,13,0,x,66,10,9,0,0,0,x,0,42
E08000028,LA,333,Sandwell,245,66,135,110,25,73,45,36,66,21,20,0,7,106,22,7,8,33,14,x,x,x
E08000029,LA,334,Solihull,124,71,70,54,6,21,16,10,71,x,12,0,0,23,6,13,x,56,x,x,x,8
E08000030,LA,335,Walsall,176,58,100,76,12,49,25,32,58,13,13,x,x,71,13,17,6,20,x,x,6,9
E08000031,LA,336,Wolverhampton,224,61,115,109,11,77,35,40,61,30,20,0,0,107,x,7,17,32,0,x,6,x
E08000011,LA,340,Knowsley,89,24,42,47,x,24,14,24,24,8,x,x,x,27,11,x,7,x,x,0,x,23
E08000012,LA,341,Liverpool,342,101,189,153,24,94,58,65,101,42,7,x,x,82,27,46,28,x,x,0,19,80
E08000013,LA,342,St. Helens,148,31,81,67,10,48,33,26,31,0,18,0,x,36,9,34,10,13,0,x,x,17
E08000014,LA,343,Sefton,181,51,95,86,12,61,30,27,51,24,21,0,0,50,7,13,6,x,0,0,x,54
E08000015,LA,344,Wirral,201,78,107,94,9,54,27,33,78,0,39,0,x,55,13,23,x,15,34,0,x,14
E08000001,LA,350,Bolton,167,43,74,93,7,70,24,23,43,52,7,0,x,33,11,9,9,7,18,x,x,13
E08000002,LA,351,Bury,127,34,58,69,11,44,15,23,34,11,10,0,x,52,0,8,11,15,0,x,0,13
E08000003,LA,352,Manchester,560,177,292,268,39,148,97,99,177,8,60,0,x,270,23,16,14,x,52,10,15,88
E08000004,LA,353,Oldham,150,42,76,74,10,51,19,28,42,22,10,0,0,58,8,11,x,12,6,0,0,18
E08000005,LA,354,Rochdale,159,53,84,75,8,47,25,26,53,13,15,x,x,57,6,x,9,7,x,x,x,41
E08000006,LA,355,Salford,210,77,117,93,13,42,38,40,77,9,13,0,0,83,x,19,x,x,0,0,8,69
E08000007,LA,356,Stockport,119,43,62,57,11,36,14,15,43,19,x,0,0,38,6,6,9,x,x,x,x,28
E08000008,LA,357,Tameside,128,46,81,47,x,44,16,20,46,15,17,0,0,48,x,x,x,x,13,0,x,20
E08000009,LA,358,Trafford,113,39,60,53,7,27,16,24,39,8,x,0,x,51,x,x,x,20,x,7,x,7
E08000010,LA,359,Wigan,160,47,91,69,x,48,31,30,47,9,27,0,0,45,6,10,6,19,6,x,x,28
E08000016,LA,370,Barnsley,92,34,46,46,x,37,6,10,34,x,12,0,0,25,10,0,8,x,6,x,x,18
E08000017,LA,371,Doncaster,233,84,134,99,18,62,34,35,84,25,12,0,0,49,21,14,30,17,x,x,7,53
E08000018,LA,372,Rotherham,130,40,68,62,14,45,14,17,40,24,12,0,0,39,14,x,x,22,x,x,x,10
E08000019,LA,373,Sheffield,264,87,157,107,21,81,36,39,87,35,18,0,0,147,19,x,6,14,x,6,8,x
E08000032,LA,380,Bradford,326,99,186,140,23,107,52,45,99,30,30,0,x,118,12,27,11,x,0,0,8,84
E08000033,LA,381,Calderdale,87,27,55,32,12,29,6,13,27,13,10,x,0,23,x,x,x,9,x,0,x,13
E08000034,LA,382,Kirklees,274,68,153,121,23,95,54,34,68,6,50,0,x,85,21,26,25,38,7,x,7,x
E08000035,LA,383,Leeds,438,122,235,203,45,159,64,48,122,69,41,0,x,121,19,46,18,15,6,x,6,92
E08000036,LA,384,Wakefield,171,43,96,75,19,74,25,10,43,38,x,x,x,51,6,22,7,26,x,x,x,x
E08000020,LA,390,Gateshead,206,44,99,107,20,59,45,38,44,26,7,0,x,90,18,20,x,26,x,x,0,9
E08000021,LA,391,Newcastle upon Tyne,219,84,119,100,x,69,31,30,84,58,0,0,0,55,6,15,0,x,0,x,0,81
E08000022,LA,392,North Tyneside,126,24,73,53,10,39,23,30,24,18,7,0,0,59,9,7,x,x,x,x,x,16
E08000023,LA,393,South Tyneside,147,31,73,74,12,59,26,19,31,27,10,0,0,36,17,10,11,18,0,x,x,14
E08000024,LA,394,Sunderland,212,55,112,100,20,71,38,28,55,x,33,x,x,78,18,x,13,7,0,0,x,49
E06000022,LA,800,Bath and North East Somerset,71,28,36,35,x,20,12,8,28,x,x,0,x,32,x,x,x,13,0,x,0,11
E06000023,LA,801,"Bristol, City of",325,119,163,162,36,92,40,38,119,23,26,x,0,82,16,22,24,29,x,14,x,81
E06000024,LA,802,North Somerset,128,46,78,50,x,35,20,22,46,19,x,0,0,41,x,12,x,9,x,x,6,24
E06000025,LA,803,South Gloucestershire,85,38,45,40,7,25,x,10,38,9,0,0,0,32,x,15,0,23,x,0,0,0
E06000001,LA,805,Hartlepool,79,23,30,49,6,19,11,20,23,10,x,0,0,31,10,x,x,9,0,0,0,13
E06000002,LA,806,Middlesbrough,206,47,102,104,20,57,42,40,47,20,x,0,0,78,32,8,17,x,x,0,7,38
E06000003,LA,807,Redcar and Cleveland,75,12,37,38,11,30,8,14,12,18,x,0,0,17,8,x,x,x,x,x,x,11
E06000004,LA,808,Stockton-on-Tees,174,29,78,96,19,63,29,34,29,12,16,0,0,71,19,13,10,x,x,0,7,21
E06000010,LA,810,"Kingston Upon Hull, City of",216,52,123,93,12,82,35,35,52,x,57,0,0,74,15,17,x,x,0,0,6,37
E06000011,LA,811,East Riding of Yorkshire,159,48,73,86,12,53,22,24,48,x,30,0,0,62,15,x,x,21,x,x,x,12
E06000012,LA,812,North East Lincolnshire,107,22,61,46,15,39,20,11,22,x,27,0,0,35,x,x,6,0,x,0,x,24
E06000013,LA,813,North Lincolnshire,82,20,40,42,11,30,7,14,20,23,x,0,0,24,7,x,7,7,x,x,x,0
E10000023,LA,815,North Yorkshire,170,65,92,78,11,44,17,33,65,18,10,0,x,68,x,x,12,24,x,7,6,12
E06000014,LA,816,York,80,33,39,41,x,14,10,18,33,x,14,0,x,30,0,x,x,11,x,x,x,8
E06000032,LA,821,Luton,166,51,81,85,14,38,26,37,51,6,7,0,0,80,9,x,11,0,x,x,x,42
E06000055,LA,822,Bedford,78,33,37,41,12,18,11,x,33,8,x,0,0,23,x,x,x,0,x,x,0,30
E06000056,LA,823,Central Bedfordshire,101,26,46,55,9,40,15,11,26,14,x,0,x,28,7,18,x,x,11,0,0,10
E10000002,LA,825,Buckinghamshire,129,47,73,56,9,30,25,18,47,23,7,0,0,40,x,x,11,7,x,9,0,20
E06000042,LA,826,Milton Keynes,155,52,84,71,16,40,19,28,52,11,16,0,x,49,9,7,12,19,x,x,x,21
E10000007,LA,830,Derbyshire,296,105,156,140,30,98,43,20,105,70,12,x,0,77,21,x,12,23,22,8,7,42
E06000015,LA,831,Derby,185,66,95,90,15,54,27,23,66,34,19,0,0,51,11,x,6,9,x,26,6,20
E10000009,LA,835,Dorset,171,69,98,73,8,44,22,28,69,12,x,0,0,78,12,6,x,8,x,x,x,40
E06000029,LA,836,Poole,81,30,42,39,x,23,x,19,30,x,x,0,0,38,0,x,6,16,0,x,x,7
E06000028,LA,837,Bournemouth,125,37,63,62,12,50,12,14,37,22,0,0,0,47,8,x,x,17,x,0,0,23
E06000047,LA,840,Durham,287,77,160,127,21,99,55,35,77,50,23,0,0,87,16,17,14,19,x,x,x,47
E06000005,LA,841,Darlington,106,24,52,54,14,39,15,14,24,10,11,0,0,47,x,x,8,6,x,0,0,15
E10000011,LA,845,East Sussex,211,62,124,87,19,69,35,26,62,18,39,0,x,55,x,16,17,6,x,6,x,44
E06000043,LA,846,Brighton and Hove,179,58,95,84,22,56,20,23,58,11,27,0,x,65,x,10,x,0,0,6,x,45
E10000014,LA,850,Hampshire,426,167,230,196,36,89,60,74,167,26,30,0,x,148,26,27,12,43,62,29,10,12
E06000044,LA,851,Portsmouth,148,45,80,68,16,44,21,22,45,20,6,0,x,37,7,9,18,10,x,x,6,30
E06000045,LA,852,Southampton,184,50,101,83,9,56,38,31,50,0,30,0,x,52,27,x,14,x,x,x,6,45
E10000018,LA,855,Leicestershire,240,78,130,110,25,71,27,39,78,24,24,0,x,78,15,13,17,20,10,x,x,32
E06000016,LA,856,Leicester,198,69,96,102,10,69,20,30,69,30,10,x,x,41,11,18,7,23,x,x,13,38
E06000017,LA,857,Rutland,17,7,8,9,x,0,x,x,7,0,0,0,0,6,0,x,x,x,x,x,0,0
E10000028,LA,860,Staffordshire,364,134,201,163,34,118,52,26,134,61,26,0,x,83,24,36,15,13,68,x,6,24
E06000021,LA,861,Stoke-on-Trent,173,63,94,79,13,54,19,24,63,21,7,0,x,39,8,30,x,x,x,0,0,62
E06000054,LA,865,Wiltshire,220,59,120,100,21,74,36,30,59,x,36,x,x,68,9,24,8,19,x,x,0,46
E06000030,LA,866,Swindon,133,53,76,57,12,29,8,31,53,12,x,0,0,48,6,x,x,x,0,x,x,51
E06000036,LA,867,Bracknell Forest,48,10,21,27,11,12,7,8,10,10,0,0,0,25,x,x,x,x,0,0,0,x
E06000040,LA,868,Windsor and Maidenhead,47,13,27,20,x,10,15,8,13,x,11,0,0,12,8,x,0,x,0,x,0,x
E06000037,LA,869,West Berkshire,68,25,42,26,x,18,8,12,25,x,x,0,0,31,0,8,x,0,x,15,0,x
E06000038,LA,870,Reading,95,21,51,44,6,26,20,22,21,9,17,0,x,28,x,12,x,0,0,x,0,16
E06000039,LA,871,Slough,104,33,55,49,7,35,16,13,33,11,6,0,0,33,7,6,10,x,x,0,x,21
E06000041,LA,872,Wokingham,35,15,20,15,x,8,7,x,15,x,0,0,0,8,x,x,6,0,x,x,0,11
E10000003,LA,873,Cambridgeshire,212,91,116,96,15,44,25,37,91,28,x,x,0,83,16,x,8,26,x,x,x,34
E06000031,LA,874,Peterborough,150,58,82,68,17,47,14,14,58,20,7,0,x,29,14,x,13,20,11,6,6,18
E06000006,LA,876,Halton,60,18,34,26,x,17,6,17,18,x,x,0,0,26,x,8,x,7,x,0,x,x
E06000007,LA,877,Warrington,87,25,41,46,7,24,15,16,25,x,21,0,0,x,x,6,x,0,0,0,x,53
E10000008,LA,878,Devon,351,141,179,172,30,78,48,54,141,15,27,x,x,141,16,15,12,51,7,13,0,50
E06000026,LA,879,Plymouth,185,62,99,86,17,51,36,19,62,27,13,0,0,61,7,9,13,x,x,x,0,45
E06000027,LA,880,Torbay,155,32,74,81,15,52,28,28,32,16,10,0,x,76,9,7,9,15,x,0,0,8
E10000012,LA,881,Essex,500,204,259,241,25,135,75,61,204,74,38,x,x,151,21,16,14,136,22,8,8,10
E06000033,LA,882,Southend-on-Sea,106,25,57,49,11,31,16,23,25,x,20,0,0,42,11,x,x,11,x,0,x,x
