New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2014,CLA_2014,CLA_stp2014,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_Miss,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_Moth,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_1Pla,CLA_2PLa,CLA_3Pla,CLA_P2yrs,CLA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain ,,,
E92000001,NATIONAL,999,ENGLAND,68840,97950,3550,38040,30800,3880,11440,13920,25140,14460,53440,6140,2540,4620,1530,570,51340,3580,3210,2250,6360,1050,840,160,50,7940,32000,60,9260,19230,310,50,1970,300,39490,1190,330,22650,1750,3210,210,46150,15170,7520,14840,41250,26090,25480,..,,,
E12000001,REGION,A,NORTH EAST,4250,6180,280,2310,1940,320,740,900,1580,720,3910,100,80,70,60,40,3340,260,120,40,370,60,60,0,0,240,1920,0,600,1490,10,0,20,20,2870,90,10,1000,160,120,10,2870,950,440,840,2510,1650,1610,-30,,,
E12000002,REGION,B,NORTH WEST,12260,16470,710,6750,5520,700,2400,2880,4350,1930,10560,780,340,350,140,100,8920,590,1190,230,950,270,100,10,10,1950,6730,10,1610,1930,40,10,40,40,7040,270,50,3470,230,1190,20,8470,2610,1190,3020,7840,4290,4280,-20,,,
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,7360,10090,470,4060,3310,430,1450,1680,2600,1190,6160,630,240,130,70,130,5380,440,540,140,710,70,70,10,0,800,4010,10,1190,1310,30,10,50,30,4820,150,30,1640,180,540,10,4970,1670,720,1900,5000,2190,1910,-280,,,
E12000004,REGION,D,EAST MIDLANDS,4950,7090,410,2740,2210,300,860,1050,1710,1020,4060,470,140,160,100,30,3660,370,120,200,490,60,40,10,0,500,2040,10,890,1500,20,0,140,30,3110,90,30,1510,80,120,20,3310,1120,520,960,3150,1600,2120,520,,,
E12000005,REGION,E,WEST MIDLANDS,9130,12470,240,4930,4200,520,1680,2000,3280,1640,6940,1020,450,480,160,70,6780,440,580,320,810,80,90,10,20,1070,4650,30,1210,2140,30,10,130,40,4720,130,40,3400,220,580,30,6170,2030,930,2120,5250,3600,3510,-90,,,
E12000006,REGION,F,EAST OF ENGLAND,6350,8970,190,3530,2820,330,950,1180,2400,1500,5250,510,170,250,130,50,4760,380,120,300,630,60,80,10,0,650,2880,10,870,1920,20,10,160,30,3520,110,20,2400,150,120,10,4200,1490,660,1320,4140,2140,2060,-80,,,
E12000007,REGION,G,LONDON,10110,15700,320,5720,4390,480,1220,1610,3760,3040,4190,1690,840,2800,540,60,7580,330,140,560,1100,230,150,30,0,1210,3950,0,890,3910,140,10,950,50,4650,130,100,4710,340,140,30,6840,2050,1220,1960,3760,6220,4470,-1750,,,
E12000007,REGION,H,INNER LONDON,4370,6750,110,2410,1960,230,520,690,1630,1300,1380,860,340,1570,190,20,3250,170,70,230,480,100,60,10,0,540,1910,0,410,1430,80,0,220,30,1980,50,60,2040,150,70,10,2920,890,560,930,1200,3110,1200,-1910,,,
E12000007,REGION,I,OUTER LONDON,5740,8940,210,3300,2440,250,700,920,2130,1740,2810,830,500,1230,340,40,4340,160,70,320,620,130,80,20,0,680,2040,0,480,2480,60,10,730,20,2670,80,40,2670,190,70,20,3920,1160,660,1030,2570,3110,3270,160,,,
E12000008,REGION,J,SOUTH EAST,8990,12790,370,5040,3940,490,1410,1680,3320,2090,7470,640,240,280,290,60,6800,500,250,300,850,100,140,50,0,950,3610,0,1340,3040,30,10,450,40,5380,100,40,2910,260,250,50,5800,2090,1090,1730,5770,2900,3750,850,,,
E12000009,REGION,K,SOUTH WEST,5450,8200,560,2980,2470,300,740,940,2140,1330,4900,320,40,110,50,30,4120,280,150,170,460,120,120,20,10,560,2210,0,670,1990,10,0,40,30,3370,130,30,1610,140,150,30,3520,1170,760,990,3840,1500,1770,270,,,
E09000001,LA,201,City of London,7,11,0,6,x,0,0,x,x,x,x,x,x,x,0,0,x,0,0,x,0,0,0,0,0,0,x,0,0,x,0,0,x,0,0,0,0,7,0,0,0,x,x,0,x,0,7,0,x,,,
E09000007,LA,202,Camden,225,378,0,139,86,8,22,28,97,70,80,55,24,64,x,0,157,9,10,0,41,x,x,0,0,19,115,0,14,73,x,0,10,0,99,0,x,113,0,10,0,141,46,38,45,65,160,43,x,,,
E09000011,LA,203,Greenwich,540,832,x,298,242,26,66,119,222,107,280,103,22,126,8,x,434,16,x,27,47,11,0,x,0,52,277,0,20,186,x,x,14,0,146,7,x,332,48,x,x,396,92,52,159,134,405,129,x,,,
