New_geog_code,geog_l,geog_c,geog_n,All_aged1920&21,Act_HE,Act_OE,Act_TE,Act_NEET_ill,Act_NEET_oth,Act_NEET_preg,LA_Noinf,ChildDied,Acc_SUIT,Acc_P,Acc_CH,Acc_SITA,Acc_SL,Acc_GA,Acc_Dep,Acc_OL,Acc_ResNk,Acc_NFA,Acc_F,Acc_IL,Acc_EA,Acc_BB,Acc_Cust,Acc_FFC,Acc_OTH,LA_Noinf,ChildDied
E92000001,NATIONAL,999,ENGLAND,27220,1740,5070,5500,1700,7180,1450,4500,90,21120,2690,910,2430,1380,30,40,560,230,180,460,10710,110,120,850,970,990,4480,90
E12000001,REGION,A,NORTH EAST,1140,70,180,310,80,250,100,140,0,960,140,30,60,110,0,0,10,10,0,20,480,0,0,30,40,50,140,0
E12000002,REGION,B,NORTH WEST,3520,240,590,740,270,950,250,470,10,2780,510,100,220,140,0,0,90,70,30,30,1400,20,0,150,180,90,470,10
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2350,140,340,610,150,640,140,320,10,1900,250,80,120,100,0,0,70,10,10,50,1020,10,0,90,120,90,320,10
E12000004,REGION,D,EAST MIDLANDS,1850,60,330,440,120,570,60,280,0,1450,180,70,80,120,0,0,10,10,10,10,900,10,0,60,50,70,270,0
E12000005,REGION,E,WEST MIDLANDS,3020,150,540,520,210,800,190,590,10,2280,320,120,190,110,0,0,50,20,10,40,1150,20,10,80,100,200,590,10
E12000006,REGION,F,EAST OF ENGLAND,2780,220,420,560,170,890,110,400,10,2180,270,110,180,110,0,0,120,10,30,50,1140,10,10,90,120,140,390,10
E12000007,REGION,G,LONDON,5900,560,1560,1030,250,1450,240,800,20,4800,370,160,1100,260,10,10,80,60,20,80,2350,10,30,190,150,190,820,20
E12000007,REGION,H,INNER LONDON,2450,240,630,500,100,620,70,290,10,2040,190,80,520,110,0,0,50,20,10,40,830,10,10,120,60,110,280,10
E12000007,REGION,I,OUTER LONDON,3450,330,930,520,150,830,170,520,10,2760,180,80,580,140,10,10,30,40,20,40,1530,0,20,70,90,80,530,10
E12000008,REGION,J,SOUTH EAST,4070,170,680,710,270,890,200,1140,10,2700,370,150,270,310,10,10,60,30,40,100,1230,20,30,90,130,110,1120,10
E12000009,REGION,K,SOUTH WEST,2590,110,440,580,180,750,160,370,10,2070,280,100,210,130,0,0,70,10,20,80,1040,10,20,70,90,70,370,10
E09000001,LA,201,City of London,10,x,x,x,x,x,0,x,0,7,0,0,x,0,0,0,0,0,0,0,x,0,0,0,x,0,x,0
E09000007,LA,202,Camden,171,14,39,60,10,38,0,10,0,161,19,x,67,9,0,0,x,0,0,6,32,0,x,10,0,12,10,0
E09000011,LA,203,Greenwich,244,32,47,25,13,72,18,36,x,200,18,x,37,x,x,0,x,0,x,11,107,0,0,10,8,x,36,x
E09000012,LA,204,Hackney,143,20,39,34,6,35,x,x,0,135,15,x,50,x,x,x,x,0,x,0,33,x,0,9,8,10,x,0
E09000013,LA,205,Hammersmith and Fulham,123,11,27,15,x,46,9,10,x,100,12,x,41,6,0,0,6,7,0,0,34,0,0,x,x,x,9,x
E09000019,LA,206,Islington,194,11,73,33,x,68,0,6,x,187,9,8,25,16,0,0,x,x,0,0,92,x,0,9,17,x,6,x
E09000020,LA,207,Kensington and Chelsea,102,11,20,30,x,26,x,10,x,89,x,x,44,x,0,0,x,0,0,0,26,0,x,x,0,x,10,x
E09000022,LA,208,Lambeth,273,23,121,63,11,46,0,8,x,236,11,7,39,22,x,0,x,0,0,x,146,0,x,19,x,9,8,x
E09000023,LA,209,Lewisham,224,12,49,75,10,37,16,25,0,199,12,x,28,18,0,0,x,0,0,x,111,0,x,11,9,x,25,0
E09000028,LA,210,Southwark,320,22,88,36,7,122,x,42,x,260,35,8,31,13,0,0,0,0,x,9,125,x,x,20,x,27,42,x
E09000030,LA,211,Tower Hamlets,176,14,39,55,x,38,8,19,0,119,21,x,41,9,0,0,12,x,x,15,28,x,x,x,x,9,18,0
E09000032,LA,212,Wandsworth,87,13,21,14,x,32,0,x,0,84,x,x,x,0,0,0,0,0,0,x,65,0,0,7,x,0,x,0
E09000033,LA,213,Westminster,122,12,37,20,x,32,x,14,x,105,11,x,43,x,0,0,9,0,0,0,29,0,0,x,0,x,14,x
E09000002,LA,301,Barking and Dagenham,164,14,58,12,11,44,x,24,0,132,30,x,0,30,0,0,0,0,x,x,71,0,0,x,0,0,24,0
E09000003,LA,302,Barnet,142,18,38,13,x,49,14,x,0,124,8,x,7,x,0,x,x,0,x,0,89,x,0,x,x,11,x,0
E09000004,LA,303,Bexley,119,9,21,46,8,23,8,x,0,112,x,x,0,x,0,0,0,0,0,x,92,0,0,x,8,x,x,0
E09000005,LA,304,Brent,219,66,33,54,9,56,0,x,0,153,x,x,21,17,0,0,0,10,0,x,98,0,0,0,0,19,47,0
E09000006,LA,305,Bromley,151,7,35,27,16,29,19,17,x,125,13,12,22,7,0,0,0,0,x,x,59,0,7,x,x,x,17,x
E09000008,LA,306,Croydon,805,59,230,87,18,189,16,203,x,590,13,x,6,x,x,x,9,10,0,14,529,x,x,7,6,x,193,x
E09000009,LA,307,Ealing,225,15,65,63,9,36,24,13,0,202,14,13,70,15,0,0,x,0,0,0,77,0,x,8,0,9,13,0
E09000010,LA,308,Enfield,126,12,48,26,x,36,0,0,0,118,18,x,32,x,0,0,0,x,0,0,50,0,0,x,8,7,0,0
E09000014,LA,309,Haringey,254,41,35,35,22,58,9,54,0,184,17,10,43,9,0,0,x,x,x,6,67,x,0,10,8,21,54,0
E09000015,LA,310,Harrow,130,x,41,25,6,30,x,21,0,124,9,x,43,8,x,6,0,10,0,x,33,0,0,0,7,x,6,0
E09000016,LA,311,Havering,94,9,x,11,x,29,8,27,x,61,7,x,x,x,0,0,x,0,x,0,41,0,0,x,x,0,27,x
E09000017,LA,312,Hillingdon,263,30,90,26,13,46,14,44,0,212,16,9,59,11,0,0,9,0,0,x,94,0,x,x,x,10,44,0
E09000018,LA,313,Hounslow,187,x,40,23,7,35,21,54,x,114,7,x,64,x,x,0,0,x,x,0,30,0,x,x,x,x,54,x
E09000021,LA,314,Kingston upon Thames,89,6,23,13,x,16,x,22,x,63,6,x,14,8,0,0,0,x,0,x,24,0,0,x,x,x,22,x
E09000024,LA,315,Merton,96,11,21,13,x,16,6,27,0,63,x,x,x,15,0,0,0,0,0,0,36,0,x,x,x,0,27,0
E09000025,LA,316,Newham,252,31,42,32,13,44,13,77,0,175,20,21,64,7,0,0,x,0,0,x,37,0,0,x,10,9,77,0
E09000026,LA,317,Redbridge,120,10,40,16,7,31,x,10,x,104,6,x,76,x,0,0,0,x,0,0,11,0,0,x,7,0,10,x
E09000027,LA,318,Richmond upon Thames,40,x,10,6,7,7,x,x,0,36,x,x,19,0,0,x,0,0,0,0,10,x,0,x,x,x,x,0
E09000029,LA,319,Sutton,77,7,24,19,x,18,x,x,0,74,x,0,20,x,0,x,0,x,0,x,40,0,0,x,x,x,x,0
E09000031,LA,320,Waltham Forest,159,8,59,17,x,65,x,x,0,148,x,7,82,x,0,0,0,x,x,0,34,0,0,7,12,x,x,0
E08000025,LA,330,Birmingham,644,31,117,88,66,167,58,114,x,526,79,45,20,14,0,0,x,x,0,17,251,11,0,26,14,46,114,x
E08000026,LA,331,Coventry,187,7,30,30,12,67,17,24,0,141,22,8,19,x,x,0,x,x,x,x,72,0,x,15,8,x,24,0
E08000027,LA,332,Dudley,157,8,13,29,x,43,8,54,0,102,17,0,6,x,0,0,x,0,0,x,53,0,0,x,17,x,55,0
E08000028,LA,333,Sandwell,148,8,28,35,x,45,0,26,x,110,31,0,17,13,0,0,0,0,0,x,43,x,0,x,0,9,26,x
E08000029,LA,334,Solihull,305,19,90,41,x,80,15,57,0,233,16,x,37,15,x,x,0,0,x,x,146,x,0,x,0,18,57,0
E08000030,LA,335,Walsall,135,x,16,29,14,42,16,13,0,104,19,x,20,0,0,0,0,x,x,0,50,x,0,7,15,0,13,0
E08000031,LA,336,Wolverhampton,111,x,14,16,12,30,12,22,x,84,8,0,9,x,0,0,x,0,0,x,50,0,0,x,x,x,22,x
E08000011,LA,340,Knowsley,79,x,9,23,x,35,x,0,0,77,26,x,x,x,0,0,0,0,0,0,27,x,0,x,7,7,0,0
