New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_ceaAdop
E92000001,NATIONAL,999,ENGLAND,31100,5330
E12000001,REGION,A,NORTH EAST,1900,370
E12000002,REGION,B,NORTH WEST,4600,890
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2920,680
E12000004,REGION,D,EAST MIDLANDS,2330,510
E12000005,REGION,E,WEST MIDLANDS,3580,640
E12000006,REGION,F,EAST OF ENGLAND,2980,530
E12000007,REGION,G,LONDON,5960,530
E12000007,REGION,H,INNER LONDON,2500,240
E12000007,REGION,I,OUTER LONDON,3460,290
E12000008,REGION,J,SOUTH EAST,4070,740
E12000009,REGION,K,SOUTH WEST,2780,450
E09000001,LA,201,City of London,x,0
E09000007,LA,202,Camden,121,12
E09000011,LA,203,Greenwich,287,17
E09000012,LA,204,Hackney,161,9
E09000013,LA,205,Hammersmith and Fulham,118,12
E09000019,LA,206,Islington,178,11
E09000020,LA,207,Kensington and Chelsea,66,6
E09000022,LA,208,Lambeth,327,22
E09000023,LA,209,Lewisham,268,33
E09000028,LA,210,Southwark,281,39
E09000030,LA,211,Tower Hamlets,218,21
E09000032,LA,212,Wandsworth,140,9
E09000033,LA,213,Westminster,94,14
E09000002,LA,301,Barking and Dagenham,273,32
E09000003,LA,302,Barnet,181,17
E09000004,LA,303,Bexley,158,24
E09000005,LA,304,Brent,266,12
E09000006,LA,305,Bromley,154,20
E09000008,LA,306,Croydon,384,29
E09000009,LA,307,Ealing,219,10
E09000010,LA,308,Enfield,183,18
E09000014,LA,309,Haringey,250,25
E09000015,LA,310,Harrow,122,x
E09000016,LA,311,Havering,193,10
E09000017,LA,312,Hillingdon,256,11
E09000018,LA,313,Hounslow,177,22
E09000021,LA,314,Kingston upon Thames,58,12
E09000024,LA,315,Merton,105,8
E09000025,LA,316,Newham,271,23
E09000026,LA,317,Redbridge,118,12
E09000027,LA,318,Richmond upon Thames,57,9
E09000029,LA,319,Sutton,109,8
E09000031,LA,320,Waltham Forest,159,17
E08000025,LA,330,Birmingham,764,109
E08000026,LA,331,Coventry,359,70
E08000027,LA,332,Dudley,196,37
E08000028,LA,333,Sandwell,183,36
E08000029,LA,334,Solihull,135,17
E08000030,LA,335,Walsall,216,38
E08000031,LA,336,Wolverhampton,234,52
E08000011,LA,340,Knowsley,130,14
E08000012,LA,341,Liverpool,381,54
E08000013,LA,342,St. Helens,135,30
E08000014,LA,343,Sefton,167,22
E08000015,LA,344,Wirral,204,22
E08000001,LA,350,Bolton,175,54
E08000002,LA,351,Bury,145,29
E08000003,LA,352,Manchester,566,67
E08000004,LA,353,Oldham,180,33
E08000005,LA,354,Rochdale,177,51
E08000006,LA,355,Salford,210,43
E08000007,LA,356,Stockport,154,32
E08000008,LA,357,Tameside,152,26
E08000009,LA,358,Trafford,96,10
E08000010,LA,359,Wigan,141,49
E08000016,LA,370,Barnsley,118,38
E08000017,LA,371,Doncaster,179,37
E08000018,LA,372,Rotherham,158,42
E08000019,LA,373,Sheffield,275,42
E08000032,LA,380,Bradford,301,75
E08000033,LA,381,Calderdale,96,20
E08000034,LA,382,Kirklees,236,43
E08000035,LA,383,Leeds,488,122
E08000036,LA,384,Wakefield,205,51
E08000020,LA,390,Gateshead,217,34
E08000021,LA,391,Newcastle upon Tyne,254,48
E08000022,LA,392,North Tyneside,146,21
E08000023,LA,393,South Tyneside,140,31
E08000024,LA,394,Sunderland,216,47
E06000022,LA,800,Bath and North East Somerset,70,14
E06000023,LA,801,"Bristol, City of",308,39
E06000024,LA,802,North Somerset,109,17
E06000025,LA,803,South Gloucestershire,79,12
E06000001,LA,805,Hartlepool,87,14
E06000002,LA,806,Middlesbrough,169,31
E06000003,LA,807,Redcar and Cleveland,74,20
E06000004,LA,808,Stockton-on-Tees,146,31
E06000010,LA,810,"Kingston Upon Hull, City of",218,49
E06000011,LA,811,East Riding of Yorkshire,145,41
E06000012,LA,812,North East Lincolnshire,162,36
E06000013,LA,813,North Lincolnshire,63,16
E10000023,LA,815,North Yorkshire,180,52
E06000014,LA,816,York,91,16
E06000032,LA,821,Luton,192,25
E06000055,LA,822,Bedford,138,34
E06000056,LA,823,Central Bedfordshire,120,19
