New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_ceaAdop,CLA_ceaAdop2,CLA_ceaDied,CLA_ceataken,CLA_ceaParPlan,CLA_ceaParNPlan,CLA_ceaNoPar,CLA_ceaROG,CLA_ceaSpecG,CLA_ceaSpecG2,CLA_ceaIndLiv,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_ceaRemEnd,CLA_ceaAgeAssmt,CLA_ceaAbroad,CLA_cea_OthRea
E92000001,NATIONAL,999,ENGLAND,31100,16890,14200,2370,8410,4480,5010,10830,2840,2490,40,160,8100,1710,810,1020,1630,1890,2820,890,600,550,160,240,60,5080
E12000001,REGION,A,NORTH EAST,1900,980,910,190,640,300,300,470,230,130,x,x,610,50,50,110,130,110,120,30,20,30,x,x,x,280
E12000002,REGION,B,NORTH WEST,4600,2490,2110,330,1370,730,780,1400,470,420,10,40,1010,340,50,130,320,340,280,130,60,90,10,x,x,880
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2920,1610,1310,260,950,450,400,860,330,350,10,10,690,100,90,190,210,150,240,60,50,60,20,x,x,370
E12000004,REGION,D,EAST MIDLANDS,2330,1260,1080,190,670,380,340,760,330,180,x,x,530,90,80,60,130,160,270,90,30,40,10,10,10,300
E12000005,REGION,E,WEST MIDLANDS,3580,1880,1700,260,1020,570,570,1170,280,350,x,10,1100,140,60,130,220,170,260,140,70,50,10,20,x,570
E12000006,REGION,F,EAST OF ENGLAND,2980,1590,1380,200,810,390,440,1140,260,270,x,10,630,140,120,120,120,200,480,90,80,40,x,20,10,370
E12000007,REGION,G,LONDON,5960,3300,2660,380,1130,790,1100,2560,320,210,10,40,1750,360,110,100,210,420,570,210,100,170,70,150,20,1140
E12000007,REGION,H,INNER LONDON,2500,1370,1130,180,460,290,440,1120,150,80,x,20,650,160,40,40,90,170,180,80,x,100,30,120,10,570
E12000007,REGION,I,OUTER LONDON,3460,1930,1530,190,660,500,660,1440,170,120,10,30,1100,210,70,60,120,250,390,130,90,70,40,20,10,570
E12000008,REGION,J,SOUTH EAST,4070,2300,1770,320,1080,520,620,1520,380,360,x,20,1010,270,150,100,170,210,380,110,150,60,20,20,x,650
E12000009,REGION,K,SOUTH WEST,2780,1490,1290,250,750,350,480,950,230,220,x,10,790,210,90,90,120,130,230,50,40,10,x,20,x,530
E09000001,LA,201,City of London,x,x,0,0,0,0,x,x,0,0,0,0,0,x,0,0,0,0,x,0,0,0,0,0,0,0
E09000007,LA,202,Camden,121,73,48,7,16,14,23,61,6,6,0,x,29,x,x,0,10,x,x,0,0,7,x,0,x,47
E09000011,LA,203,Greenwich,287,157,130,17,59,63,43,105,6,11,x,0,93,33,6,x,12,33,14,8,0,x,x,x,x,59
E09000012,LA,204,Hackney,161,84,77,9,22,17,31,82,9,0,x,0,26,24,0,x,10,14,6,0,x,9,0,0,0,57
E09000013,LA,205,Hammersmith and Fulham,118,65,53,10,19,10,25,54,x,8,0,x,20,x,11,x,x,6,12,6,x,8,0,0,0,33
E09000019,LA,206,Islington,178,104,74,16,26,18,28,90,6,x,0,x,30,0,0,x,7,15,14,9,x,11,0,0,0,75
E09000020,LA,207,Kensington and Chelsea,66,34,32,7,12,6,10,31,x,x,0,x,21,x,x,x,x,0,11,0,x,x,x,x,0,11
E09000022,LA,208,Lambeth,327,187,140,27,58,44,59,139,17,x,x,x,87,42,7,6,11,23,83,13,x,9,x,0,x,13
E09000023,LA,209,Lewisham,268,137,131,26,62,39,33,108,21,12,0,x,101,0,0,x,x,23,18,50,x,15,13,0,0,0
E09000028,LA,210,Southwark,281,155,126,15,65,40,48,113,23,16,0,x,67,23,x,x,13,12,x,0,0,6,x,0,x,104
E09000030,LA,211,Tower Hamlets,218,117,101,10,36,29,46,97,x,16,0,x,57,20,10,x,x,15,8,0,x,x,0,x,x,73
E09000032,LA,212,Wandsworth,140,74,66,7,24,18,30,61,6,x,0,0,29,13,6,x,7,13,x,x,x,10,0,34,0,10
E09000033,LA,213,Westminster,94,53,41,x,12,x,19,51,11,x,0,0,19,x,x,0,0,x,12,x,0,x,x,x,x,31
E09000002,LA,301,Barking and Dagenham,273,149,124,23,71,49,63,67,28,x,0,x,134,16,x,0,7,28,17,18,x,x,0,x,x,7
E09000003,LA,302,Barnet,181,107,74,13,35,17,36,80,x,12,0,0,43,16,x,x,6,12,37,x,x,7,x,0,0,27
E09000004,LA,303,Bexley,158,67,91,7,46,24,34,47,x,23,0,0,31,7,8,9,x,20,12,x,0,0,0,x,0,36
E09000005,LA,304,Brent,266,131,135,11,43,47,58,107,0,12,x,0,128,9,x,0,7,23,20,9,0,x,7,x,0,41
E09000006,LA,305,Bromley,154,89,65,14,31,18,22,69,12,8,x,x,42,x,0,x,14,9,9,x,x,6,10,7,0,25
E09000008,LA,306,Croydon,384,259,125,16,57,39,56,216,18,11,0,12,56,7,0,14,15,19,35,x,61,10,x,0,x,118
E09000009,LA,307,Ealing,219,112,107,16,43,30,49,81,6,x,0,0,58,28,0,12,13,15,x,0,x,8,0,0,0,68
E09000010,LA,308,Enfield,183,109,74,10,29,22,34,88,8,10,0,x,52,16,x,8,x,8,15,33,x,7,6,x,0,10
E09000014,LA,309,Haringey,250,139,111,20,55,25,35,115,25,0,0,0,66,14,x,0,13,22,x,x,0,8,x,0,x,93
E09000015,LA,310,Harrow,122,72,50,11,24,18,22,47,x,x,x,0,37,17,x,0,x,8,23,x,x,x,0,x,x,9
E09000016,LA,311,Havering,193,99,94,15,36,36,48,58,10,0,0,0,114,x,0,x,6,12,33,x,x,x,x,0,0,x
