New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2015,CLA_2015,CLA_stp2015,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain 
E92000001,NATIONAL,999,ENGLAND,69540,99230,2820,38530,31010,3710,10120,14310,26140,15270,53600,6170,2660,4920,1700,500,52050,3320,3510,2280,6570,1080,670,70,7930,34100,20,7320,19850,40,290,2030,38630,1340,370,23480,2140,3510,70,42020,27520,26590,0
E12000001,REGION,A,NORTH EAST,4290,6110,250,2340,1950,280,670,930,1630,780,3970,90,70,80,50,30,3430,190,130,60,410,40,30,x,270,2040,0,430,1540,x,10,20,2910,80,20,930,220,130,x,2630,1660,1620,-40
E12000002,REGION,B,NORTH WEST,12490,16920,480,6820,5670,650,2300,3010,4560,1980,10700,820,360,340,150,130,8960,600,1420,230,950,230,90,20,2030,7470,0,1210,1730,x,40,50,6820,280,40,3570,340,1420,20,7960,4530,4380,-160
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,7260,10070,360,3930,3330,420,1210,1690,2670,1270,6170,620,240,120,70,40,5370,400,510,160,700,60,50,0,890,4150,x,870,1330,x,20,50,4550,130,30,1880,170,510,0,4930,2330,2060,-270
E12000004,REGION,D,EAST MIDLANDS,5130,7340,360,2880,2250,320,800,1050,1830,1130,4180,460,160,180,100,40,3780,290,170,240,530,90,40,10,610,2200,x,680,1610,0,20,140,2990,100,40,1760,70,170,10,3310,1820,2200,390
E12000005,REGION,E,WEST MIDLANDS,9370,12790,180,5030,4340,530,1550,2120,3440,1730,7010,1110,490,540,160,70,6960,470,600,240,910,110,60,30,1090,4960,10,1070,2200,x,30,130,4630,190,40,3600,280,600,30,5490,3880,3690,-200
E12000006,REGION,F,EAST OF ENGLAND,6140,8990,150,3460,2680,320,710,1160,2460,1480,4950,500,200,300,150,40,4700,300,120,290,600,70,60,0,550,2980,x,700,1880,x,20,190,3260,70,30,2410,250,120,0,3990,2150,2120,-30
E12000007,REGION,G,LONDON,10000,15660,320,5790,4210,410,950,1570,3800,3260,4190,1570,840,2800,540,60,7480,310,160,560,1090,260,140,0,950,3990,0,770,4170,10,120,970,4500,170,100,4680,400,160,0,3740,6250,4620,-1630
E12000007,REGION,H,INNER LONDON,4220,6590,100,2380,1840,190,380,660,1640,1340,1360,790,330,1530,190,20,3160,150,70,210,440,130,50,0,370,1880,0,350,1550,x,70,230,1850,80,50,1960,200,70,0,1180,3040,1330,-1710
E12000007,REGION,I,OUTER LONDON,5780,9070,220,3410,2370,220,570,920,2160,1910,2820,780,510,1270,350,40,4320,170,80,350,640,130,80,0,570,2110,0,410,2630,x,50,730,2640,90,40,2720,200,80,0,2560,3210,3290,70
E12000008,REGION,J,SOUTH EAST,9310,13170,280,5300,4020,490,1210,1790,3530,2300,7460,690,250,440,430,40,7050,500,250,370,930,100,110,10,920,3940,x,1080,3340,20,20,440,5480,200,30,3090,250,250,10,6070,3240,4030,790
E12000009,REGION,K,SOUTH WEST,5560,8180,450,2990,2570,290,710,990,2220,1340,4970,310,50,130,60,40,4320,250,150,140,460,130,110,x,610,2370,0,520,2050,x,x,40,3500,120,50,1560,170,150,x,3900,1660,1870,210
E09000001,LA,201,City of London,8,11,0,x,x,0,0,x,x,x,x,x,x,0,0,0,8,0,0,0,0,0,0,0,0,x,0,0,x,0,0,x,0,0,0,8,0,0,0,0,8,0,-8
E09000007,LA,202,Camden,190,303,0,116,74,6,17,19,88,60,72,47,x,54,x,0,129,x,8,x,40,x,x,0,19,100,0,8,63,0,0,8,79,x,x,96,x,8,0,70,120,52,-68
E09000011,LA,203,Greenwich,519,792,7,284,235,18,67,106,200,128,266,92,21,122,x,x,420,15,x,31,42,x,0,0,47,267,0,x,164,x,x,18,148,8,x,294,59,x,0,132,387,140,-247
E09000012,LA,204,Hackney,345,499,x,175,170,17,38,52,142,96,97,65,19,156,8,0,264,14,x,x,43,14,x,0,34,141,0,30,129,0,11,17,117,12,12,183,13,8,0,67,278,111,-167
E09000013,LA,205,Hammersmith and Fulham,185,298,x,103,82,8,11,26,75,65,62,38,x,57,15,x,134,7,x,8,9,19,x,0,21,91,0,x,61,x,x,22,69,12,x,85,13,x,0,38,147,26,-121
E09000019,LA,206,Islington,352,517,0,194,158,14,20,38,135,145,156,71,8,110,x,x,269,x,x,13,52,11,0,0,37,132,0,11,162,x,x,44,155,13,x,157,17,x,0,101,251,64,-187
