New_geog_code,geog_l,geog_c,geog_n,All_aged1920&21,Act_HE,Act_OE,Act_TE,Act_NEET_ill,Act_NEET_oth,Act_NEET_preg,LA_NoActinf,Acc_SUIT,Acc_P,Acc_CH,Acc_SITA,Acc_SL,Acc_GA,Acc_Dep,Acc_OL,Acc_ResNk,Acc_NFA,Acc_F,Acc_IL,Acc_EA,Acc_BB,Acc_Cust,Acc_FFC,Acc_OTH,LA_NoAccinf
E92000001,NATIONAL,999,ENGLAND,26330,1700,4820,6070,2100,6660,1590,3390,21010,2940,980,2480,1460,40,50,470,240,260,520,10310,110,110,950,1200,1050,3160
E12000001,REGION,A,NORTH EAST,1220,70,190,300,110,270,110,170,1010,150,20,90,90,0,0,10,x,10,20,520,x,x,30,70,40,170
E12000002,REGION,B,NORTH WEST,3340,270,510,770,340,840,270,340,2730,520,140,170,170,x,x,80,30,40,40,1360,10,x,140,190,100,330
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2190,130,370,660,200,490,170,180,1890,280,100,130,130,x,0,50,x,10,40,960,10,x,90,130,80,180
E12000004,REGION,D,EAST MIDLANDS,1880,70,330,510,160,490,80,240,1510,200,90,100,100,x,x,10,x,10,20,870,10,x,80,60,100,230
E12000005,REGION,E,WEST MIDLANDS,3000,170,480,590,250,790,200,530,2230,310,100,170,100,x,10,40,20,30,70,1180,10,10,120,140,170,520
E12000006,REGION,F,EAST OF ENGLAND,2740,170,450,630,220,800,140,330,2160,300,110,200,160,0,x,90,30,30,60,1070,10,10,80,130,140,320
E12000007,REGION,G,LONDON,5610,510,1370,1090,250,1470,220,700,4550,380,150,1150,270,20,30,60,110,30,70,2120,20,40,250,210,190,520
E12000007,REGION,H,INNER LONDON,2350,240,510,490,90,680,80,250,1910,170,60,590,100,10,10,20,20,10,40,740,x,10,130,80,120,240
E12000007,REGION,I,OUTER LONDON,3260,270,860,600,150,790,140,450,2640,210,90,560,170,10,20,40,90,30,20,1390,20,30,120,130,70,280
E12000008,REGION,J,SOUTH EAST,3750,190,700,880,320,840,240,580,2840,420,150,310,310,10,x,90,50,50,130,1200,20,30,110,160,150,560
E12000009,REGION,K,SOUTH WEST,2610,110,430,650,260,680,160,320,2100,380,120,160,140,x,x,50,10,40,70,1030,10,10,70,110,90,320
E09000001,LA,201,City of London,6,x,x,x,0,x,0,0,6,0,0,x,0,0,0,0,0,0,0,x,0,0,0,x,0,0
E09000007,LA,202,Camden,158,16,28,35,14,51,0,14,128,22,x,64,7,0,0,x,0,0,6,19,0,x,11,0,7,14
E09000011,LA,203,Greenwich,226,22,36,48,19,57,13,31,169,24,6,41,x,0,x,x,x,x,x,77,0,0,13,14,7,31
E09000012,LA,204,Hackney,143,18,29,53,x,35,x,x,119,11,x,48,x,x,x,x,x,x,0,38,x,0,8,x,11,6
E09000013,LA,205,Hammersmith and Fulham,136,12,37,25,x,43,x,12,111,8,x,53,x,0,x,0,x,x,x,28,0,x,7,x,9,12
E09000019,LA,206,Islington,176,12,56,39,12,49,x,x,166,11,9,36,10,x,0,8,0,0,0,73,0,0,x,14,6,x
E09000020,LA,207,Kensington and Chelsea,102,x,33,15,0,30,x,16,72,8,0,46,x,0,0,x,0,0,0,8,0,0,x,8,6,16
E09000022,LA,208,Lambeth,272,31,57,63,x,108,0,x,235,14,x,52,8,0,0,0,0,0,x,135,x,0,27,14,8,8
E09000023,LA,209,Lewisham,231,19,37,81,6,47,16,25,183,13,x,48,12,0,0,x,x,x,x,93,0,x,16,11,x,25
E09000028,LA,210,Southwark,291,17,64,44,x,105,x,55,221,25,x,24,12,x,0,0,0,0,13,109,x,0,12,x,27,55
E09000030,LA,211,Tower Hamlets,166,19,35,39,x,41,19,x,142,26,7,37,9,0,x,0,10,0,7,48,0,0,x,x,6,8
E09000032,LA,212,Wandsworth,90,x,25,13,11,29,0,x,79,x,x,x,0,0,0,0,0,0,6,61,0,x,x,x,x,x
E09000033,LA,213,Westminster,114,10,40,20,x,33,0,x,96,6,0,64,x,x,x,x,x,0,0,17,0,0,7,x,x,x
E09000002,LA,301,Barking and Dagenham,169,12,76,x,x,44,0,29,135,17,x,0,65,0,0,0,0,0,7,45,0,0,x,x,0,29
E09000003,LA,302,Barnet,147,15,38,20,x,42,x,16,121,6,x,7,x,0,0,0,0,x,x,84,11,0,x,x,6,16
E09000004,LA,303,Bexley,122,9,36,45,x,15,x,7,109,12,x,x,0,0,0,0,0,0,x,86,x,0,x,6,x,7
E09000005,LA,304,Brent,210,31,38,46,16,39,7,33,172,9,12,30,x,x,x,0,0,x,x,113,0,x,x,x,x,24
E09000006,LA,305,Bromley,154,8,37,29,18,28,10,24,114,9,10,29,10,0,0,x,x,x,0,42,0,x,6,6,x,24
E09000008,LA,306,Croydon,666,48,220,93,16,124,12,153,547,31,x,x,15,x,6,x,34,6,x,464,x,x,16,28,12,30
E09000009,LA,307,Ealing,214,17,46,69,11,48,12,11,179,19,8,56,11,x,0,x,x,x,0,73,0,x,16,x,6,11
E09000010,LA,308,Enfield,140,12,32,22,7,56,11,0,123,17,6,33,x,0,0,0,7,x,0,48,0,0,7,9,7,0
E09000014,LA,309,Haringey,231,43,29,31,20,45,10,53,162,10,8,40,6,x,0,x,x,x,x,65,x,x,12,12,13,53
E09000015,LA,310,Harrow,122,12,30,32,x,26,x,12,102,x,8,31,x,x,x,x,x,0,x,39,0,x,x,6,8,9
E09000016,LA,311,Havering,77,x,14,21,10,13,10,x,68,x,x,x,8,0,x,0,x,0,0,48,0,0,x,x,x,x
E09000017,LA,312,Hillingdon,244,29,94,36,7,35,11,32,204,14,x,36,11,0,0,12,0,0,x,113,0,0,8,x,6,32
E09000018,LA,313,Hounslow,190,10,31,31,9,59,19,31,132,11,0,77,x,x,x,x,29,x,x,26,0,10,x,8,x,7
E09000021,LA,314,Kingston upon Thames,80,7,20,12,x,18,x,14,60,6,x,16,10,0,0,0,0,0,x,21,0,0,6,x,x,14
E09000024,LA,315,Merton,91,7,13,21,x,23,x,17,67,11,0,26,x,0,x,6,x,x,x,17,x,0,x,x,0,12
E09000025,LA,316,Newham,231,30,34,35,10,66,20,36,186,11,9,78,26,0,0,x,0,0,x,38,x,x,7,x,16,36
E09000026,LA,317,Redbridge,109,13,24,27,x,24,x,14,88,7,0,66,x,0,0,x,0,0,x,x,0,0,x,x,x,14
E09000027,LA,318,Richmond upon Thames,44,x,10,11,x,10,6,x,42,x,x,18,0,0,0,0,0,0,0,14,0,0,x,x,0,x
E09000029,LA,319,Sutton,85,x,26,x,x,30,0,14,67,x,x,17,x,0,0,0,0,0,x,36,0,x,x,6,x,14
E09000031,LA,320,Waltham Forest,168,7,40,21,x,94,0,x,140,x,11,67,x,0,0,0,x,x,x,37,0,0,13,19,x,x
E08000025,LA,330,Birmingham,635,36,102,107,65,181,52,92,504,74,41,17,16,0,0,x,0,x,18,264,x,0,37,21,47,92
E08000026,LA,331,Coventry,201,11,38,34,13,69,21,15,150,22,x,21,7,x,0,16,9,x,x,66,x,x,12,14,x,14
E08000027,LA,332,Dudley,128,x,12,40,x,36,10,18,105,13,x,x,7,0,0,0,x,x,0,54,0,0,x,19,10,18
E08000028,LA,333,Sandwell,148,17,32,27,36,12,0,24,105,17,0,29,0,0,0,0,9,0,x,46,0,0,x,x,12,24
E08000029,LA,334,Solihull,261,18,51,59,8,89,17,19,204,17,x,24,13,0,6,x,0,11,6,142,x,0,x,0,13,19
E08000030,LA,335,Walsall,129,7,24,24,8,35,16,15,106,14,x,15,x,0,0,0,0,x,0,54,x,0,x,12,x,15
E08000031,LA,336,Wolverhampton,112,x,19,23,13,25,x,16,91,16,0,11,x,0,0,x,0,0,6,41,0,0,x,9,x,16
E08000011,LA,340,Knowsley,76,7,6,26,x,18,9,x,65,16,x,x,x,0,0,x,0,0,0,23,0,0,x,13,x,6
E08000012,LA,341,Liverpool,263,22,62,30,27,84,19,19,215,57,x,11,11,x,x,0,12,x,x,104,x,0,13,23,x,16
E08000013,LA,342,St. Helens,56,x,8,13,10,12,7,x,48,10,x,x,x,0,0,x,x,x,0,20,0,0,x,x,x,x
E08000014,LA,343,Sefton,113,8,14,26,x,36,20,x,101,27,x,x,7,0,0,x,x,0,0,50,0,0,x,x,x,x
E08000015,LA,344,Wirral,213,x,29,50,32,51,x,40,160,35,x,26,x,0,0,x,x,x,x,74,x,0,8,6,6,40
E08000001,LA,350,Bolton,117,13,10,26,14,28,12,14,93,17,x,x,x,0,0,x,x,x,x,52,x,0,6,9,x,14
E08000002,LA,351,Bury,98,10,14,20,9,32,x,x,86,30,x,x,x,0,0,x,x,0,0,33,0,0,x,6,8,8
E08000003,LA,352,Manchester,511,57,80,82,32,132,42,86,365,83,15,41,21,0,0,17,x,11,x,151,x,x,27,41,8,86
E08000004,LA,353,Oldham,87,x,14,27,x,31,0,0,82,15,x,x,6,0,0,x,0,0,7,43,x,0,x,x,x,0
E08000005,LA,354,Rochdale,92,6,16,20,7,25,7,11,72,23,x,6,6,0,0,0,0,x,0,31,x,x,x,x,x,11
E08000006,LA,355,Salford,175,8,53,76,7,24,7,0,167,23,12,x,x,0,0,0,0,0,x,106,x,0,7,18,0,0
E08000007,LA,356,Stockport,121,x,19,36,19,34,x,x,114,19,11,x,15,0,0,0,0,x,x,54,x,0,x,0,12,x
E08000008,LA,357,Tameside,104,x,x,26,10,24,8,25,72,16,x,x,x,0,0,x,x,x,0,39,0,0,x,7,x,25
