New_geog_code,geog_l,geog_c,geog_n,CLA_12mths,CLA_10over,CLA_convicted,CLA_submisuse,CLA_subint,CLA_suboffint,CLA_immunisation,CLA_teethcheck,CLA_healthassmt,CLA_5under,CLA_devassmt,CLA_5to16,CLA_SDQ,CLA_SDQnormal,CLA_SDQborderline,CLA_SDQconcern
E92000001,NATIONAL,999,ENGLAND,48090,31820,1650,1810,880,680,42240,41250,43140,7480,6690,36140,25960,12960,3340,9660
E12000001,REGION,A,NORTH EAST,2960,1950,120,110,70,30,2750,2590,2800,460,420,2270,1650,810,210,630
E12000002,REGION,B,NORTH WEST,9100,5370,270,320,180,80,8220,7800,8270,1820,1620,6850,5520,3010,670,1840
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,5350,3290,190,160,60,70,5000,4630,4980,970,930,4050,2740,1300,360,1080
E12000004,REGION,D,EAST MIDLANDS,3380,2200,120,130,40,70,2970,2800,2940,540,420,2500,1230,510,150,570
E12000005,REGION,E,WEST MIDLANDS,6740,4130,130,200,90,100,5670,5700,5910,1270,1120,5020,3260,1700,400,1160
E12000006,REGION,F,EAST OF ENGLAND,4310,3080,120,140,50,70,3900,3690,3760,520,480,3310,2540,1220,330,990
E12000007,REGION,G,LONDON,6410,4840,280,370,180,130,5470,5720,5800,650,600,4720,3870,2080,480,1310
E12000007,REGION,H,INNER LONDON,2810,2120,140,210,110,60,2370,2480,2600,300,280,2080,1680,930,200,550
E12000007,REGION,I,OUTER LONDON,3600,2720,140,160,70,70,3100,3240,3210,360,320,2640,2200,1150,280,760
E12000008,REGION,J,SOUTH EAST,6190,4270,260,240,90,130,5090,5330,5460,850,790,4630,3060,1370,440,1250
E12000009,REGION,K,SOUTH WEST,3660,2690,170,140,110,20,3180,3000,3230,400,300,2800,2080,950,290,840
E09000001,LA,201,City of London,x,x,0,0,0,0,x,x,x,0,0,x,x,x,0,0
E09000007,LA,202,Camden,136,116,9,22,14,8,126,126,133,10,10,110,104,56,10,38
E09000011,LA,203,Greenwich,371,256,11,23,6,17,335,340,346,41,39,296,257,129,25,103
E09000012,LA,204,Hackney,237,168,x,21,8,13,203,205,211,34,34,175,137,64,18,55
E09000013,LA,205,Hammersmith and Fulham,124,98,6,x,x,x,121,99,119,10,10,94,85,61,6,18
E09000019,LA,206,Islington,197,157,7,22,22,0,192,176,194,14,14,145,123,64,21,38
E09000020,LA,207,Kensington and Chelsea,59,51,x,6,x,x,56,57,59,x,x,35,30,20,x,x
E09000022,LA,208,Lambeth,320,221,15,49,22,15,260,302,264,50,42,233,164,114,18,32
E09000023,LA,209,Lewisham,344,260,20,26,17,9,305,285,314,38,37,265,233,115,28,90
E09000028,LA,210,Southwark,363,257,18,21,7,x,268,308,335,48,48,266,179,87,26,66
E09000030,LA,211,Tower Hamlets,186,146,8,21,7,x,164,163,171,16,14,137,79,45,8,26
E09000032,LA,212,Wandsworth,124,96,13,6,x,0,113,105,114,12,12,91,73,39,7,27
E09000033,LA,213,Westminster,114,88,x,x,0,0,104,87,114,9,9,83,66,37,13,16
E09000002,LA,301,Barking and Dagenham,288,188,x,0,0,0,252,280,254,41,37,228,180,81,30,69
E09000003,LA,302,Barnet,195,157,x,x,0,0,184,174,189,19,18,144,141,76,17,48
E09000004,LA,303,Bexley,164,119,x,0,0,0,154,147,159,18,18,130,79,34,10,35
E09000005,LA,304,Brent,198,155,12,8,0,8,157,175,192,14,12,148,110,56,12,42
E09000006,LA,305,Bromley,170,122,8,x,x,x,160,161,151,18,11,134,127,64,14,49
E09000008,LA,306,Croydon,494,435,26,12,x,x,457,471,378,25,18,317,262,171,33,58
E09000009,LA,307,Ealing,261,196,12,25,16,9,196,249,256,21,21,208,184,109,23,52
E09000010,LA,308,Enfield,210,157,x,18,14,x,178,189,189,33,33,144,124,67,12,45
E09000014,LA,309,Haringey,354,249,20,7,x,x,255,323,326,37,29,270,224,127,21,76
E09000015,LA,310,Harrow,97,68,9,10,8,0,67,86,80,16,16,62,57,29,x,x
E09000016,LA,311,Havering,121,87,x,7,x,6,104,107,93,9,9,95,89,37,14,38
E09000017,LA,312,Hillingdon,186,140,6,0,0,0,159,151,168,14,13,128,86,43,18,25
E09000018,LA,313,Hounslow,205,167,7,13,x,6,183,176,190,15,15,141,130,69,21,40
E09000021,LA,314,Kingston upon Thames,71,54,x,0,0,0,54,64,53,8,8,54,44,27,x,x
E09000024,LA,315,Merton,87,68,x,x,x,x,75,83,82,8,8,59,48,25,x,x
E09000025,LA,316,Newham,250,207,12,0,0,0,197,235,236,16,16,175,175,96,18,61
E09000026,LA,317,Redbridge,134,89,12,x,x,x,107,123,119,21,18,99,98,58,14,26
E09000027,LA,318,Richmond upon Thames,47,39,6,11,11,0,43,39,38,x,0,34,21,9,x,x
E09000029,LA,319,Sutton,128,92,x,x,x,x,104,71,101,16,13,88,52,24,x,x
E09000031,LA,320,Waltham Forest,172,135,9,15,x,9,131,153,167,15,15,126,106,45,18,43
E08000025,LA,330,Birmingham,1366,869,41,30,18,12,1297,1239,1298,242,242,1005,851,494,94,263
E08000026,LA,331,Coventry,397,283,18,28,11,17,337,366,376,49,49,301,227,107,22,98
E08000027,LA,332,Dudley,614,354,13,25,16,9,572,560,492,137,125,461,383,205,49,129
