New_geog_code,geog_l,geog_c,geog_n,CLA_started2016,CLA_taken2016,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
E92000001,NATIONAL,999,ENGLAND,32050,11780,18250,13800,5720,5640,5540,9380,5760,17440,730,1030,2890,5050,1010,70,3830,7180,350,60,19400,3720,520,10,770,30,10
E12000001,REGION,A,NORTH EAST,2090,510,1140,950,460,500,440,530,170,1280,30,20,230,400,60,x,60,320,30,x,1530,150,10,0,40,x,0
E12000002,REGION,B,NORTH WEST,4600,2260,2430,2170,990,980,940,1220,460,2960,80,100,380,790,110,10,160,1730,30,x,2230,420,70,x,90,10,x
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2850,1330,1530,1320,660,580,500,780,330,1860,60,70,200,430,90,x,140,930,20,x,1450,340,30,x,60,x,x
E12000004,REGION,D,EAST MIDLANDS,2410,790,1370,1030,490,450,440,650,390,1350,70,100,190,400,70,x,230,590,20,x,1560,160,20,x,50,x,0
E12000005,REGION,E,WEST MIDLANDS,3400,1290,1950,1440,660,630,600,990,520,1900,70,150,310,460,130,x,380,710,40,0,2020,490,50,0,80,x,x
E12000006,REGION,F,EAST OF ENGLAND,2900,1100,1700,1200,520,510,460,770,640,1630,70,50,310,440,60,x,320,690,40,10,1740,310,60,0,40,x,0
E12000007,REGION,G,LONDON,5760,1950,3410,2350,660,680,870,1960,1590,2740,110,280,500,650,350,20,1110,700,60,10,3500,1100,90,x,300,x,x
E12000007,REGION,H,INNER LONDON,2300,820,1330,970,280,250,340,740,690,1090,40,160,210,290,160,10,350,310,40,x,1330,440,40,x,150,x,0
E12000007,REGION,I,OUTER LONDON,3460,1130,2080,1380,380,430,530,1210,900,1650,80,120,290,360,190,10,760,400,20,x,2170,660,50,0,150,0,x
E12000008,REGION,J,SOUTH EAST,5110,1500,3170,1940,720,750,740,1590,1310,1970,150,170,460,950,90,10,1320,870,70,10,3530,460,110,x,60,x,x
E12000009,REGION,K,SOUTH WEST,2950,1060,1550,1400,560,550,560,900,380,1750,80,100,310,520,60,10,110,640,40,20,1830,280,100,0,30,0,0
