New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_cea17,CLA_cea18,CLA_ceaAdop1,CLA_ceaAdop2,CLA_ceaDied,CLA_ceataken,CLA_ceaParPlan,CLA_ceaParNPlan,CLA_ceaNoPar,CLA_ceaROG,CLA_ceaSpecG1,CLA_ceaSpecG2,CLA_ceaIndLiv1,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_ceaRemEnd,CLA_ceaAgeAssmt,CLA_ceaAbroad,CLA_cea_OthRea
E92000001,NATIONAL,999,ENGLAND,31710,17390,14310,2480,7830,4740,5210,1650,1790,8000,2430,2260,40,270,7740,1740,1400,1120,1950,1880,3380,780,590,500,150,340,80,5080
E12000001,REGION,A,NORTH EAST,2000,1090,910,210,600,360,300,90,150,300,170,100,x,10,700,70,70,180,140,100,170,40,30,20,10,x,0,200
E12000002,REGION,B,NORTH WEST,4600,2450,2150,350,1390,770,740,200,210,920,370,470,x,30,940,250,160,130,360,510,320,110,90,60,20,30,10,720
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2930,1520,1410,270,900,480,420,120,110,630,340,280,10,20,640,130,170,190,250,100,230,60,40,40,20,10,x,410
E12000004,REGION,D,EAST MIDLANDS,2360,1290,1060,200,620,380,340,100,110,630,260,160,x,10,470,80,140,80,190,140,250,110,50,50,10,20,x,340
E12000005,REGION,E,WEST MIDLANDS,3580,1880,1700,230,960,560,590,170,170,890,320,320,10,30,950,130,140,100,230,140,310,100,60,50,10,20,x,660
E12000006,REGION,F,EAST OF ENGLAND,2770,1570,1200,220,690,330,390,190,140,810,230,200,x,10,520,160,110,120,140,160,500,80,70,30,x,50,10,380
E12000007,REGION,G,LONDON,6000,3410,2590,360,980,820,1160,400,420,1860,260,200,x,70,1610,430,210,100,220,350,690,120,110,180,60,150,30,1230
E12000007,REGION,H,INNER LONDON,2500,1400,1100,160,390,320,470,170,170,820,120,90,0,20,650,180,100,30,80,140,230,20,20,90,30,130,20,570
E12000007,REGION,I,OUTER LONDON,3490,2010,1490,200,590,500,700,230,250,1040,150,110,x,40,960,250,110,70,140,210,460,100,100,90,30,20,10,660
E12000008,REGION,J,SOUTH EAST,4630,2670,1960,350,1010,660,740,270,340,1250,300,350,10,100,1170,270,280,130,240,210,670,110,100,40,20,40,10,580
E12000009,REGION,K,SOUTH WEST,2850,1510,1340,290,700,380,520,120,140,710,180,190,x,10,740,230,100,90,190,170,230,50,60,30,x,20,10,560
E09000001,LA,201,City of London,6,x,x,0,0,x,x,0,0,x,0,0,0,0,x,0,0,0,x,0,0,0,0,0,0,0,0,x
E09000007,LA,202,Camden,102,59,43,x,20,9,20,x,x,41,x,x,0,0,24,x,x,0,10,6,0,0,0,x,0,0,x,42
E09000011,LA,203,Greenwich,239,126,113,12,57,47,46,8,13,56,x,18,0,x,73,20,14,7,11,23,23,6,x,x,0,x,x,29
E09000012,LA,204,Hackney,210,122,88,14,33,29,39,17,14,64,12,x,0,0,52,36,x,0,x,11,8,0,0,9,x,x,x,63
E09000013,LA,205,Hammersmith and Fulham,108,63,45,8,11,17,17,9,10,36,x,x,0,x,18,x,9,0,6,9,28,0,0,6,x,x,0,19
E09000019,LA,206,Islington,203,107,96,10,25,17,34,12,12,93,8,x,0,x,21,x,7,x,8,10,x,x,6,10,x,0,0,122
E09000020,LA,207,Kensington and Chelsea,75,46,29,8,x,x,8,7,10,32,x,x,0,x,18,7,x,0,0,x,20,x,0,x,0,x,0,16
E09000022,LA,208,Lambeth,275,149,126,15,55,52,49,13,7,84,22,8,0,x,79,25,8,6,14,15,79,0,x,x,x,0,0,8
E09000023,LA,209,Lewisham,256,152,104,20,58,39,37,18,16,68,8,28,0,x,78,0,10,13,x,23,45,11,x,14,11,x,x,0
E09000028,LA,210,Southwark,267,143,124,30,44,32,47,12,12,90,20,12,0,x,78,20,18,x,x,16,x,x,0,x,x,x,x,82
E09000030,LA,211,Tower Hamlets,209,114,95,8,24,22,56,14,20,65,x,11,0,x,72,17,8,x,x,x,20,0,x,7,0,x,0,54
E09000032,LA,212,Wandsworth,161,100,61,11,19,18,45,16,13,39,x,x,0,x,33,18,24,x,9,8,8,x,x,6,x,13,x,25
E09000033,LA,213,Westminster,111,62,49,x,12,17,13,13,x,43,x,x,0,0,25,x,6,6,x,x,15,x,0,x,x,x,x,30
E09000002,LA,301,Barking and Dagenham,250,135,115,22,54,58,54,9,11,42,22,x,0,x,105,13,13,x,12,21,8,20,x,12,0,x,x,11
E09000003,LA,302,Barnet,176,101,75,12,29,18,38,16,14,49,x,6,x,0,27,16,8,6,11,19,39,x,x,8,x,0,x,22
E09000004,LA,303,Bexley,184,101,83,16,50,37,33,7,8,33,21,9,0,x,55,25,12,8,6,x,13,x,x,x,x,x,0,19
E09000005,LA,304,Brent,219,122,97,11,26,32,42,27,14,67,0,6,0,x,91,8,0,x,15,x,34,0,0,10,x,0,0,42
E09000006,LA,305,Bromley,134,77,57,10,22,22,27,10,9,34,7,8,0,x,39,10,x,x,x,8,x,x,x,x,x,0,x,33
E09000008,LA,306,Croydon,421,290,131,11,51,36,62,28,42,191,x,12,0,10,45,x,x,x,14,23,64,18,59,x,0,x,0,157
E09000009,LA,307,Ealing,237,129,108,6,35,40,62,20,19,55,9,x,0,0,87,33,0,x,6,15,0,0,x,11,0,0,0,70
E09000010,LA,308,Enfield,214,129,85,9,42,21,30,13,22,77,9,x,0,x,50,8,7,18,x,10,59,0,7,12,x,x,0,21
E09000014,LA,309,Haringey,218,125,93,11,36,32,40,10,25,64,17,7,0,0,48,24,x,x,8,10,0,0,0,x,x,0,0,97
E09000015,LA,310,Harrow,129,71,58,13,31,13,28,x,x,34,7,x,x,x,23,26,x,x,x,18,20,x,x,0,x,7,0,7
E09000016,LA,311,Havering,164,95,69,22,20,24,37,11,9,41,7,0,0,x,69,16,x,x,9,7,33,x,x,x,0,0,0,7
E09000017,LA,312,Hillingdon,250,152,98,7,32,38,54,20,24,75,9,6,0,x,57,21,14,x,x,16,49,26,x,8,x,0,0,28
E09000018,LA,313,Hounslow,173,90,83,10,23,18,38,7,8,69,8,x,0,0,66,6,0,0,x,6,60,x,x,x,0,0,0,14
E09000021,LA,314,Kingston upon Thames,80,47,33,x,11,19,12,x,x,25,x,x,0,x,13,8,x,0,x,7,7,x,x,x,x,x,0,21
E09000024,LA,315,Merton,117,60,57,x,21,10,25,x,7,42,8,x,0,0,40,6,x,x,x,0,20,x,x,x,x,0,x,24
E09000025,LA,316,Newham,300,156,144,15,48,32,59,28,17,101,10,7,0,x,102,23,0,0,7,24,0,0,0,14,x,101,x,x
E09000026,LA,317,Redbridge,141,85,56,x,24,26,30,x,11,38,8,7,x,x,25,18,x,0,x,6,14,x,x,x,x,x,x,40
E09000027,LA,318,Richmond upon Thames,50,24,26,x,8,x,12,x,x,18,x,x,0,0,14,x,x,0,x,x,x,0,x,0,0,0,0,25
E09000029,LA,319,Sutton,134,70,64,8,26,20,25,8,7,40,7,x,0,0,33,x,11,x,14,11,11,12,x,0,0,x,0,27
E09000031,LA,320,Waltham Forest,182,103,79,13,23,19,43,18,13,53,x,x,0,x,49,7,8,0,8,12,0,0,x,x,9,x,x,65
E08000025,LA,330,Birmingham,887,440,447,54,208,141,170,41,53,220,12,98,x,8,355,31,7,23,18,46,53,28,24,28,x,x,x,146
E08000026,LA,331,Coventry,285,157,128,27,77,50,47,x,x,60,26,28,x,x,47,11,x,6,10,15,33,x,x,x,0,x,0,98
E08000027,LA,332,Dudley,210,101,109,8,59,36,33,8,8,58,16,19,0,x,34,14,10,x,31,x,x,x,x,x,x,0,x,65
E08000028,LA,333,Sandwell,213,117,96,14,60,40,39,x,x,51,37,x,0,7,19,0,57,9,15,x,29,x,x,6,x,0,0,20
E08000029,LA,334,Solihull,130,78,52,7,27,16,27,6,6,41,0,12,0,0,46,x,6,11,x,x,42,0,x,x,0,x,0,0
E08000030,LA,335,Walsall,163,80,83,x,56,35,18,11,x,33,22,10,0,0,32,10,20,8,17,x,13,7,x,x,x,0,0,14
E08000031,LA,336,Wolverhampton,255,131,124,6,87,50,42,10,15,45,33,29,0,x,97,x,0,0,12,12,39,0,x,x,0,0,0,25
E08000011,LA,340,Knowsley,111,56,55,x,23,15,27,7,x,29,x,x,0,x,23,x,0,6,13,10,x,0,x,x,0,x,0,34
E08000012,LA,341,Liverpool,396,198,198,25,99,84,79,16,14,79,26,10,0,x,41,59,21,x,52,46,x,0,x,x,x,0,x,121
E08000013,LA,342,St. Helens,155,78,77,10,58,33,27,x,x,18,x,49,0,0,32,15,0,x,23,7,15,x,x,x,x,x,0,x
E08000014,LA,343,Sefton,133,64,69,16,25,26,30,x,x,24,7,x,0,x,28,11,0,x,8,20,x,x,x,x,0,0,0,37
E08000015,LA,344,Wirral,200,112,88,10,62,42,29,x,x,46,19,12,0,x,41,x,29,12,24,29,12,7,x,0,0,0,0,7
E08000001,LA,350,Bolton,171,94,77,13,65,32,24,x,x,24,41,x,0,x,43,x,0,x,11,10,7,x,0,0,0,0,0,45
E08000002,LA,351,Bury,103,55,48,10,36,16,9,x,x,26,12,7,0,0,18,10,x,11,8,x,10,x,x,0,0,0,0,16
E08000003,LA,352,Manchester,482,264,218,29,136,52,77,24,37,127,x,83,0,x,105,40,16,11,25,26,69,14,x,9,6,x,x,61
E08000004,LA,353,Oldham,170,86,84,12,64,33,23,11,7,20,27,7,0,x,61,6,0,x,10,7,6,x,x,0,0,0,0,36
E08000005,LA,354,Rochdale,197,113,84,12,78,27,24,x,x,42,26,34,0,x,48,x,0,x,13,15,19,6,x,x,0,0,0,24
E08000006,LA,355,Salford,224,122,102,9,53,52,45,13,15,37,23,7,0,8,76,x,x,x,43,x,18,9,6,6,x,0,0,17
E08000007,LA,356,Stockport,147,80,67,7,43,24,29,7,8,29,9,15,x,0,41,10,8,0,15,10,x,x,0,x,0,9,x,21
E08000008,LA,357,Tameside,117,59,58,8,30,21,15,x,x,31,x,14,0,0,21,12,0,x,8,6,x,7,x,x,0,0,0,33
E08000009,LA,358,Trafford,103,56,47,x,15,20,18,x,7,34,6,x,0,0,21,8,13,x,x,x,26,x,x,0,0,x,x,6
E08000010,LA,359,Wigan,180,104,76,20,67,26,22,x,x,30,16,25,0,7,32,x,0,x,11,35,18,x,x,x,0,0,0,21
E08000016,LA,370,Barnsley,133,59,74,20,43,22,19,7,6,16,x,32,0,x,18,x,11,24,6,x,x,7,x,x,x,x,0,11
E08000017,LA,371,Doncaster,177,95,82,16,55,29,21,11,11,34,30,12,0,0,24,20,0,9,7,x,10,0,x,x,0,x,0,53
E08000018,LA,372,Rotherham,190,103,87,23,59,23,32,11,6,36,33,10,0,x,49,0,0,17,x,12,6,x,0,0,0,0,0,53
E08000019,LA,373,Sheffield,269,158,111,21,84,38,31,12,11,72,60,15,0,x,52,6,49,30,x,x,33,x,x,x,x,x,0,x
E08000032,LA,380,Bradford,344,187,157,14,108,65,55,16,9,77,43,29,x,x,87,x,10,x,29,13,x,x,x,10,0,x,0,107
E08000033,LA,381,Calderdale,108,48,60,12,38,25,x,x,x,18,30,x,0,0,7,9,8,x,19,x,10,x,x,x,x,x,0,9
E08000034,LA,382,Kirklees,230,118,112,30,55,43,31,x,x,53,13,29,x,x,71,6,x,14,21,17,41,6,x,x,0,x,0,x
E08000035,LA,383,Leeds,391,198,193,36,138,63,47,x,x,93,76,28,x,x,66,13,22,x,40,16,25,10,8,x,x,x,0,74
E08000036,LA,384,Wakefield,186,93,93,17,63,32,18,x,x,46,32,18,x,x,38,x,x,6,22,x,21,0,0,x,0,0,0,38
E08000020,LA,390,Gateshead,210,114,96,19,68,43,31,8,9,32,18,8,0,x,107,0,0,27,9,x,28,0,x,0,x,0,0,x
E08000021,LA,391,Newcastle upon Tyne,247,144,103,16,60,41,40,x,77,x,29,0,x,x,90,x,9,7,24,x,31,x,x,9,0,0,0,31
E08000022,LA,392,North Tyneside,176,108,68,17,55,29,28,7,7,33,16,9,0,0,81,x,0,x,18,9,23,7,6,x,0,0,0,0
E08000023,LA,393,South Tyneside,132,82,50,8,45,21,22,x,x,25,13,6,x,0,28,x,14,15,x,17,14,8,x,0,0,0,0,9
E08000024,LA,394,Sunderland,269,145,124,27,78,56,41,18,13,36,0,37,0,0,112,10,13,31,25,x,21,x,x,x,x,x,0,7
E06000022,LA,800,Bath and North East Somerset,49,28,21,x,8,6,7,x,x,17,x,0,0,0,11,x,x,0,x,x,13,x,x,0,0,0,0,x
E06000023,LA,801,"Bristol, City of",381,194,187,37,91,38,63,22,22,108,20,26,0,0,46,53,21,21,23,29,36,x,6,8,x,x,0,83
E06000024,LA,802,North Somerset,124,51,73,8,29,27,23,x,x,28,11,x,0,x,43,x,0,x,11,x,x,x,0,x,0,0,0,36
E06000025,LA,803,South Gloucestershire,101,51,50,10,18,x,18,x,15,29,9,0,0,0,17,9,8,x,6,8,34,x,0,x,x,0,0,x
E06000001,LA,805,Hartlepool,63,35,28,6,12,11,12,x,x,15,x,x,0,0,9,6,15,x,x,0,x,x,x,0,x,x,0,8
E06000002,LA,806,Middlesbrough,161,75,86,18,46,26,30,6,6,29,8,8,0,0,43,6,x,30,6,14,0,x,x,x,0,0,0,38
E06000003,LA,807,Redcar and Cleveland,84,44,40,14,23,14,16,x,x,11,x,x,0,0,20,8,9,14,x,x,6,x,0,0,x,x,0,9
E06000004,LA,808,Stockton-on-Tees,139,71,68,11,38,19,21,7,6,37,12,7,0,0,39,16,6,7,9,x,6,0,0,x,0,0,0,30
E06000010,LA,810,"Kingston Upon Hull, City of",267,136,131,20,79,40,52,12,8,56,x,22,0,x,77,29,31,12,52,0,14,15,0,x,0,x,x,6
E06000011,LA,811,East Riding of Yorkshire,109,55,54,x,24,18,22,11,x,26,x,23,x,x,32,9,0,x,6,x,22,0,x,x,0,0,0,6
E06000012,LA,812,North East Lincolnshire,178,90,88,26,66,40,26,x,x,13,x,33,0,0,43,14,9,44,15,6,x,x,0,x,x,0,0,x
E06000013,LA,813,North Lincolnshire,70,36,34,9,9,12,12,x,x,20,8,x,0,0,21,x,8,x,x,0,18,0,x,x,x,0,0,0
E10000023,LA,815,North Yorkshire,200,111,89,18,56,23,31,13,10,49,x,29,0,x,41,8,13,18,16,14,11,x,9,x,x,0,0,26
E06000014,LA,816,York,80,37,43,x,23,9,17,x,x,17,x,0,x,0,17,x,10,0,6,6,x,x,x,0,0,x,0,23
E06000032,LA,821,Luton,175,90,85,15,52,32,19,13,9,35,17,x,0,x,52,8,0,x,13,17,0,0,x,x,0,x,0,59
E06000055,LA,822,Bedford,123,63,60,11,36,22,19,x,x,24,11,x,0,x,45,10,7,6,x,6,x,0,x,x,0,0,0,22
E06000056,LA,823,Central Bedfordshire,96,58,38,8,26,8,12,x,x,34,x,13,0,0,18,x,0,0,8,x,x,0,0,x,0,x,0,42
E10000002,LA,825,Buckinghamshire,226,114,112,19,57,37,41,6,11,55,27,10,x,x,70,7,x,6,x,18,x,0,8,x,0,0,0,72
E06000042,LA,826,Milton Keynes,189,108,81,14,41,37,30,7,16,44,13,9,0,0,61,19,13,6,7,12,39,x,x,x,0,x,0,x
