New_geog_code,geog_l,geog_c,geog_n,CLA_MissDuringYear,CLA_MissIncs,CLA_MissMoreOnce,CLA_Miss31Mar,CLA_AwayDuringYear,CLA_AwayIncs,CLA_AwayMoreOnce,CLA_Away31Mar
E92000001,NATIONAL,999,ENGLAND,8670,43000,5200,260,4430,17560,2420,50
E12000001,REGION,A,NORTH EAST,560,3370,370,10,220,860,120,x
E12000002,REGION,B,NORTH WEST,1420,9120,960,20,740,2950,410,x
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,870,5120,560,10,490,2470,300,10
E12000004,REGION,D,EAST MIDLANDS,550,2140,300,20,300,1120,140,0
E12000005,REGION,E,WEST MIDLANDS,750,3150,430,30,140,420,60,0
E12000006,REGION,F,EAST OF ENGLAND,850,3680,480,20,370,1400,200,x
E12000007,REGION,G,LONDON,1520,7500,910,60,1170,5380,710,20
E12000007,REGION,H,INNER LONDON,610,2730,360,20,390,1560,230,10
E12000007,REGION,I,OUTER LONDON,910,4770,550,40,780,3820,480,10
E12000008,REGION,J,SOUTH EAST,1480,6390,810,80,760,2530,370,10
E12000009,REGION,K,SOUTH WEST,670,2540,390,20,230,440,90,x
E09000001,LA,201,City of London,x,6,x,0,x,x,x,0
E09000007,LA,202,Camden,47,157,22,x,40,233,32,x
E09000011,LA,203,Greenwich,50,170,28,x,48,220,37,x
E09000012,LA,204,Hackney,75,528,62,x,14,26,x,0
E09000013,LA,205,Hammersmith and Fulham,34,100,19,x,10,20,x,0
E09000019,LA,206,Islington,73,326,46,x,31,84,15,0
E09000020,LA,207,Kensington and Chelsea,27,175,18,x,10,19,6,0
E09000022,LA,208,Lambeth,33,71,14,0,0,0,0,0
E09000023,LA,209,Lewisham,41,70,15,0,69,258,40,0
E09000028,LA,210,Southwark,67,345,41,x,52,253,28,x
E09000030,LA,211,Tower Hamlets,73,286,52,0,74,361,53,x
E09000032,LA,212,Wandsworth,62,487,42,0,31,91,14,x
E09000033,LA,213,Westminster,28,57,6,x,26,102,13,x
E09000002,LA,301,Barking and Dagenham,38,124,25,x,46,280,37,0
E09000003,LA,302,Barnet,52,265,28,x,31,272,17,0
E09000004,LA,303,Bexley,58,364,46,0,53,254,39,0
E09000005,LA,304,Brent,107,848,77,x,76,250,51,0
E09000006,LA,305,Bromley,39,186,23,0,37,168,25,0
E09000008,LA,306,Croydon,103,209,39,x,190,1200,126,10
E09000009,LA,307,Ealing,84,494,62,x,54,313,35,0
E09000010,LA,308,Enfield,10,16,x,0,11,15,x,0
E09000014,LA,309,Haringey,40,117,21,x,28,111,21,x
E09000015,LA,310,Harrow,31,182,15,0,25,86,16,0
E09000016,LA,311,Havering,28,81,14,0,34,183,21,0
E09000017,LA,312,Hillingdon,50,187,17,8,38,91,12,0
E09000018,LA,313,Hounslow,32,129,15,x,43,209,24,0
