LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_started2017,CLA_taken2017,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_PlaceO,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
1,E92000001,NATIONAL,999,ENGLAND,32810,14490,18380,14420,5980,5990,5800,9390,5640,19060,730,1060,2600,4810,950,50,3540,9710,420,60,17540,3690,650,20,680,30,10
2,E12000001,REGION,A,NORTH EAST,2550,950,1340,1210,540,590,600,660,160,1640,40,70,200,440,70,x,90,700,70,x,1570,160,20,0,30,x,x
15,E12000002,REGION,B,NORTH WEST,5150,2870,2700,2440,1020,1130,1050,1390,550,3490,90,100,340,840,90,x,200,2300,40,0,2200,470,50,x,80,x,x
39,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,3220,1600,1780,1440,730,670,580,840,400,2170,60,80,200,420,80,x,210,1210,10,x,1550,350,30,x,70,0,0
55,E12000004,REGION,D,EAST MIDLANDS,2400,1000,1300,1100,510,450,440,640,370,1420,90,90,150,380,60,10,210,740,30,10,1350,210,20,x,40,x,0
65,E12000005,REGION,E,WEST MIDLANDS,3460,1620,1980,1480,710,650,590,980,530,2060,70,130,340,420,110,x,330,1040,40,10,1750,460,70,10,80,10,0
80,E12000006,REGION,F,EAST OF ENGLAND,2990,1340,1760,1230,500,530,480,830,650,1800,70,60,250,330,80,0,400,850,40,x,1590,350,100,0,60,10,x
92,E12000007,REGION,G,LONDON,5840,2200,3400,2440,750,700,850,1870,1660,2840,110,260,470,670,330,10,1160,1000,80,x,3360,1010,110,x,270,x,x
93,E12000007,REGION,H,INNER LONDON,2460,990,1450,1010,320,290,350,750,750,1200,50,130,210,320,160,10,380,460,40,x,1320,440,50,x,150,0,x
108,E12000007,REGION,I,OUTER LONDON,3380,1210,1960,1430,430,410,500,1130,910,1640,60,130,260,350,160,x,780,540,40,x,2040,580,60,0,130,x,x
128,E12000008,REGION,J,SOUTH EAST,4500,1870,2610,1890,740,770,740,1330,910,2020,140,170,420,910,100,x,740,1220,70,30,2560,420,160,x,40,x,0
148,E12000009,REGION,K,SOUTH WEST,2700,1050,1510,1190,480,480,470,860,410,1610,80,110,250,400,50,10,200,650,50,10,1610,260,90,x,30,x,0
95,E09000001,LA,201,City of London,6,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0
94,E09000007,LA,202,Camden,103,23,62,41,17,x,x,36,35,28,0,8,7,11,x,x,42,14,x,0,73,7,0,x,7,0,0
