LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_cease2017,CEA_male,CEA_female,CEA_U1,CEA_1to4,CEA_5to9,CEA_10to15,CEA_16,CEA_17,CEA_18over,CEA_Adop1,CEA_Adop2,CEA_Died,CEA_Taken,CEA_ParPlan,CEA_ParNPlan,CEA_NoPar,CEA_CAO,CEA_SGO1,CEA_SGO2,CEA_IndLiv1,CEA_IndLiv2,CEA_Residential,CEA_Custody,CEA_RemEnd,CEA_AgeAssmt,CEA_Abroad,CEA_Other
1,E92000001,NATIONAL,999,ENGLAND,31250,17430,13820,2450,7160,4430,4960,1700,1820,8730,2180,2170,40,550,6930,1570,1480,1200,1970,1720,3700,850,550,410,140,240,80,5470
2,E12000001,REGION,A,NORTH EAST,2150,1120,1040,220,650,420,350,90,160,280,180,120,x,x,670,90,80,220,200,120,180,20,20,30,x,x,x,210
15,E12000002,REGION,B,NORTH WEST,4560,2370,2190,350,1240,760,740,200,200,1070,320,430,10,30,910,180,180,150,380,420,320,180,80,50,10,30,10,880
39,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2830,1550,1270,270,740,430,450,120,110,720,220,260,x,20,630,130,160,160,200,110,320,50,40,50,20,10,10,430
55,E12000004,REGION,D,EAST MIDLANDS,2270,1280,990,210,550,330,320,110,130,620,210,160,x,20,510,70,90,90,180,130,310,70,50,40,x,10,x,340
65,E12000005,REGION,E,WEST MIDLANDS,3290,1830,1460,200,850,460,480,160,190,940,290,350,10,30,740,180,170,100,170,50,370,100,40,60,20,30,10,570
80,E12000006,REGION,F,EAST OF ENGLAND,2920,1670,1250,220,690,380,390,180,170,880,280,210,x,50,490,170,150,140,150,180,410,140,70,30,20,40,10,410
92,E12000007,REGION,G,LONDON,5920,3430,2490,390,870,730,1070,390,420,2050,210,150,x,160,1430,350,250,100,270,330,780,120,120,130,50,50,30,1420
93,E12000007,REGION,H,INNER LONDON,2340,1330,1020,170,350,260,410,160,170,830,90,70,0,30,600,150,120,30,80,120,200,30,30,60,30,20,10,680
108,E12000007,REGION,I,OUTER LONDON,3580,2100,1480,220,520,470,670,230,250,1220,120,80,x,120,830,200,130,60,190,210,580,100,90,70,20,20,20,740
128,E12000008,REGION,J,SOUTH EAST,4630,2770,1850,310,940,540,710,330,320,1470,280,330,x,240,880,230,290,130,240,220,800,120,90,30,10,70,10,670
148,E12000009,REGION,K,SOUTH WEST,2680,1410,1270,280,650,380,450,120,120,700,200,170,x,x,670,170,110,110,190,160,230,50,50,10,x,10,x,520
95,E09000001,LA,201,City of London,x,x,x,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,x,0,x
94,E09000007,LA,202,Camden,98,49,49,12,x,6,16,x,x,56,6,x,0,0,15,7,x,0,x,x,0,0,0,x,x,x,0,56
117,E09000011,LA,203,Greenwich,263,138,125,32,42,42,48,7,11,81,9,13,0,x,88,12,7,x,14,19,45,8,x,x,x,x,x,27
96,E09000012,LA,204,Hackney,212,102,110,12,29,23,51,13,13,71,16,x,0,x,55,26,8,x,7,8,x,0,0,6,x,x,0,73
97,E09000013,LA,205,Hammersmith and Fulham,99,60,39,13,10,14,12,x,x,38,x,x,0,0,20,x,6,x,7,x,19,0,x,x,x,0,0,23
99,E09000019,LA,206,Islington,215,119,96,16,33,19,21,12,20,94,6,8,0,6,19,x,11,x,x,13,x,x,9,7,x,x,0,121
100,E09000020,LA,207,Kensington and Chelsea,79,50,29,x,10,x,14,10,7,31,x,x,0,x,17,x,x,x,0,x,18,x,x,0,x,0,x,20
101,E09000022,LA,208,Lambeth,215,139,76,14,43,21,33,17,12,75,12,x,0,x,54,18,9,0,x,19,22,x,x,7,x,x,x,54
102,E09000023,LA,209,Lewisham,236,134,102,16,46,24,38,15,13,84,x,14,0,0,73,0,11,14,10,15,65,x,10,10,x,x,x,0
104,E09000028,LA,210,Southwark,250,146,104,21,45,27,37,21,14,85,9,11,0,0,59,13,45,x,10,15,16,13,x,7,6,0,0,41
105,E09000030,LA,211,Tower Hamlets,203,105,98,12,32,22,44,19,10,64,x,8,0,0,66,13,13,x,13,13,11,0,0,x,0,0,0,56
106,E09000032,LA,212,Wandsworth,146,84,62,12,18,14,24,8,9,61,10,0,0,0,35,10,x,0,6,8,x,x,x,6,0,9,0,52
107,E09000033,LA,213,Westminster,130,84,46,13,16,17,28,12,7,37,x,x,0,13,28,10,x,0,x,x,x,x,0,x,x,0,6,45
109,E09000002,LA,301,Barking and Dagenham,204,116,88,17,36,28,36,12,8,67,8,6,0,0,44,17,49,x,30,10,x,29,0,6,0,0,0,0
110,E09000003,LA,302,Barnet,176,115,61,16,16,22,40,15,9,58,6,x,0,x,27,10,x,6,12,18,43,x,x,x,x,0,0,30
111,E09000004,LA,303,Bexley,147,77,70,12,23,17,31,x,x,53,8,8,0,0,42,x,18,x,7,x,27,x,8,0,0,0,0,18
112,E09000005,LA,304,Brent,231,138,93,14,21,32,51,25,10,78,0,x,x,14,83,x,0,x,10,7,50,x,0,7,x,x,6,32
113,E09000006,LA,305,Bromley,177,92,85,16,31,33,30,6,12,49,11,9,0,x,41,11,x,9,15,10,x,0,x,x,x,x,0,54
114,E09000008,LA,306,Croydon,479,338,141,17,49,28,85,42,38,220,17,x,x,40,39,8,0,6,x,18,92,12,68,8,0,0,0,163
115,E09000009,LA,307,Ealing,207,105,102,9,24,24,46,12,21,71,6,x,0,x,64,17,0,x,10,14,x,x,0,x,0,0,0,86
116,E09000010,LA,308,Enfield,221,127,94,15,25,30,45,16,16,74,x,x,0,12,45,11,0,x,14,21,54,0,x,11,0,0,0,36
98,E09000014,LA,309,Haringey,179,101,78,11,25,26,26,10,32,49,8,x,0,0,41,27,x,0,6,x,0,0,0,x,0,0,x,82
118,E09000015,LA,310,Harrow,163,95,68,14,17,30,38,13,7,44,x,x,0,x,34,25,x,0,14,12,15,0,0,x,x,6,0,40
119,E09000016,LA,311,Havering,142,80,62,12,33,25,16,9,9,38,7,0,0,x,49,12,x,11,8,8,35,x,0,x,0,0,0,0
120,E09000017,LA,312,Hillingdon,269,164,105,11,35,35,41,19,45,83,9,x,0,29,68,8,14,0,x,9,36,33,0,x,x,x,x,50
121,E09000018,LA,313,Hounslow,180,106,74,6,29,27,25,12,10,71,x,9,0,0,47,16,0,0,x,15,68,x,0,x,0,0,0,12
122,E09000021,LA,314,Kingston upon Thames,55,34,21,x,10,15,7,x,x,15,x,x,0,0,13,0,0,x,x,9,6,0,0,0,0,0,0,13
123,E09000024,LA,315,Merton,113,70,43,x,20,11,25,x,10,38,8,x,x,x,41,6,x,0,x,0,25,0,x,x,0,x,0,13
103,E09000025,LA,316,Newham,275,150,125,17,35,37,62,20,20,84,7,7,0,6,117,19,x,0,7,6,39,0,0,6,x,x,0,54
124,E09000026,LA,317,Redbridge,174,97,77,9,30,29,33,10,11,52,x,x,x,x,47,0,x,x,x,12,30,x,x,x,x,0,x,56
125,E09000027,LA,318,Richmond upon Thames,81,45,36,x,15,x,19,x,0,35,x,x,0,0,9,9,x,x,7,7,0,0,x,0,x,x,0,36
126,E09000029,LA,319,Sutton,127,68,59,7,20,16,22,8,25,29,10,x,0,x,12,21,12,x,x,13,40,x,x,0,x,x,x,x
127,E09000031,LA,320,Waltham Forest,169,95,74,x,42,15,29,10,x,60,7,x,0,x,38,8,x,0,22,7,0,0,0,x,0,x,0,69
66,E08000025,LA,330,Birmingham,724,404,320,32,216,86,115,28,41,206,22,137,0,x,236,23,7,21,6,6,64,13,13,21,x,x,x,142
67,E08000026,LA,331,Coventry,248,136,112,18,63,31,38,11,18,69,18,30,0,6,51,34,x,13,x,x,65,x,x,x,x,8,x,0
