LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2017,CLA_2017,CLA_stp2017,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_InBound,CLA_Outbound,CLA_InLA_LTE20,CLA_OutLA_LTE20,CLA_InLA_GT20,CLA_OutLA_GT20,CLA_InLA_NoInfo,CLA_OutLA_NoInfo,CLA_LAPl,CLA_IntPl,CLA_ExtPl,CLA_NetGain,CLA_RPC_All_Place,CLA_RPC_CARPL,CLA_RPC_CLOSE,CLA_RPC_ALLEG,CLA_RPC_STAND,CLA_RPC_APPRR,CLA_RPC_CREQB,CLA_RPC_CREQO,CLA_RPC_CHILD,CLA_RPC_LAREQ,CLA_RPC_PLACE,CLA_RPC_OTHER
1,E92000001,NATIONAL,999,ENGLAND,72670,102590,1880,40960,31710,3820,9170,14100,28540,17040,54290,6640,3430,5210,2470,630,53420,2520,4370,3090,7890,1080,130,160,10270,40190,x,5440,16470,40,240,4560,38960,900,370,24180,3730,4370,160,43570,29100,37930,15970,3040,10530,2600,2600,71750,43560,28200,x,49540,17240,420,510,600,140,6150,2680,2220,1690,5220,12670
3,E12000001,REGION,A,NORTH EAST,4840,6890,230,2640,2190,330,780,1050,1850,830,4430,130,90,90,80,20,3750,200,270,80,470,50,x,20,800,2500,0,400,1130,0,10,50,3190,50,40,940,340,270,20,3010,1820,2900,1320,80,440,40,60,4750,3010,1740,x,2640,890,50,40,50,x,350,160,100,70,600,320
17,E12000002,REGION,B,NORTH WEST,13230,17630,220,7210,6020,690,2070,3110,5100,2260,11180,880,400,400,200,170,9180,400,1820,400,1170,200,20,50,2150,8790,0,800,1470,x,20,190,6830,220,50,3730,530,1820,50,8500,4730,8010,3290,390,1310,100,120,13280,8500,4780,50,8210,2300,70,110,160,20,990,420,330,100,850,2870
42,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,7720,10410,150,4230,3480,490,1100,1580,3020,1530,6290,700,270,180,210,70,5710,270,550,260,800,100,10,x,1250,4650,x,590,1200,10,20,200,4730,70,40,1740,580,550,x,5190,2530,4830,1380,200,1080,160,70,7420,5190,2230,x,5560,2310,30,60,50,40,650,260,250,100,520,1300
59,E12000004,REGION,D,EAST MIDLANDS,5400,7580,330,3030,2380,340,760,1030,2060,1220,4200,530,210,230,150,80,4070,200,190,250,580,80,10,30,920,2700,x,490,1290,0,10,280,3090,70,30,1840,170,190,30,3400,2010,2850,1000,410,850,140,160,5890,3400,2490,490,3000,930,30,40,30,10,420,140,140,230,180,860
70,E12000005,REGION,E,WEST MIDLANDS,9500,12630,130,5320,4180,500,1350,2060,3690,1900,6810,1140,650,540,270,90,7080,370,620,270,1000,120,10,30,1170,5710,0,800,1790,x,30,490,4760,60,40,3580,410,620,30,5500,4000,5020,2400,220,1320,260,280,9490,5500,3990,x,6560,2390,50,100,80,10,780,300,310,280,710,1570
86,E12000006,REGION,F,EAST OF ENGLAND,6460,9270,120,3750,2710,320,660,1130,2620,1730,4970,540,250,350,310,50,4800,240,150,460,720,80,10,10,860,3390,0,550,1640,x,20,520,3300,60,20,2600,330,150,10,4230,2230,3250,860,660,1130,320,240,6490,4230,2260,30,4160,1570,40,30,50,x,550,260,200,100,430,920
99,E12000007,REGION,G,LONDON,9910,15570,240,5880,4030,430,760,1340,3820,3550,3930,1620,1050,2730,530,50,7180,230,170,660,1380,270,30,x,1090,4530,0,510,3660,20,110,1540,4310,140,90,4660,540,170,x,3590,6320,2790,3630,20,1840,780,850,8340,3590,4750,x,7170,2700,40,40,110,10,940,350,300,180,750,1750
100,E12000007,REGION,H,INNER LONDON,4230,6470,100,2470,1760,200,300,580,1640,1510,1220,830,370,1550,240,30,3090,70,90,280,560,130,10,0,500,2080,0,200,1400,x,50,490,1810,50,50,2000,230,90,0,1200,3040,1010,1900,10,800,170,340,2550,1200,1360,x,2880,760,10,10,30,10,340,110,100,70,330,1130
115,E12000007,REGION,I,OUTER LONDON,5680,9100,140,3410,2270,230,460,770,2180,2050,2710,800,680,1180,290,30,4090,160,80,380,810,130,20,x,590,2450,0,310,2260,10,60,1050,2500,90,50,2650,300,80,x,2390,3290,1780,1730,10,1040,610,510,5780,2390,3390,110,4280,1950,30,20,80,10,600,250,200,100,420,620
136,E12000008,REGION,J,SOUTH EAST,9830,14270,180,5720,4110,440,1090,1740,3920,2630,7530,730,400,540,570,70,7230,380,400,530,1160,80,30,10,1300,4880,x,820,2800,10,10,1070,5460,130,40,3280,510,400,10,6300,3530,5040,1350,610,1570,650,610,10400,6290,4110,570,7400,2840,100,70,70,40,990,510,360,290,540,1600
157,E12000009,REGION,K,SOUTH WEST,5790,8350,300,3190,2590,290,610,1050,2460,1390,4950,370,120,160,150,50,4430,230,200,190,600,110,20,10,740,3050,0,500,1490,x,10,220,3310,110,20,1810,340,200,10,3860,1930,3250,740,450,1000,160,200,5690,3850,1840,x,4840,1300,20,30,20,10,470,280,230,350,640,1480
102,E09000001,LA,201,City of London,12,17,0,x,x,0,0,0,x,x,x,0,x,7,0,0,10,0,0,x,x,0,0,0,0,x,0,0,x,0,0,11,0,0,0,12,0,0,0,0,x,0,x,0,0,0,x,0,0,0,x,9,6,0,0,0,0,x,0,x,0,0,0
101,E09000007,LA,202,Camden,198,291,0,130,68,7,12,18,71,90,74,34,21,55,14,0,114,x,x,0,70,x,0,0,19,96,0,x,77,0,x,44,77,7,x,97,10,x,0,83,115,54,61,0,39,29,15,145,83,62,x,108,73,x,x,0,0,11,x,6,0,x,12
124,E09000011,LA,203,Greenwich,496,750,x,274,222,23,43,95,211,124,271,88,13,108,16,0,386,17,6,37,39,11,0,0,34,305,0,35,114,0,8,22,163,6,9,272,40,6,0,132,364,115,202,0,157,x,x,267,132,135,x,322,200,0,x,6,x,45,13,20,x,16,13
103,E09000012,LA,204,Hackney,371,568,0,200,171,14,27,61,152,117,107,70,20,156,18,0,289,10,x,0,61,x,0,0,52,169,0,x,126,0,x,30,121,8,x,216,17,x,0,91,280,79,200,0,62,12,18,190,91,99,x,320,48,x,0,x,0,67,23,14,40,20,96
104,E09000013,LA,205,Hammersmith and Fulham,215,311,x,130,85,6,8,27,83,91,60,36,x,72,29,x,156,x,x,28,17,6,0,0,15,101,0,x,93,0,x,38,139,x,x,49,17,x,0,51,164,41,101,0,34,10,29,79,51,28,x,93,24,0,x,0,0,19,x,9,0,14,25
106,E09000019,LA,206,Islington,340,548,0,211,129,15,29,37,118,141,146,96,11,79,x,x,252,x,8,x,55,15,0,0,39,166,0,12,117,x,x,52,159,7,9,147,10,8,0,106,234,88,126,x,70,x,38,169,106,63,x,264,167,0,x,0,x,22,x,x,9,23,35
107,E09000020,LA,207,Kensington and Chelsea,81,159,x,50,31,x,x,8,27,42,17,25,x,25,x,0,54,0,x,0,20,x,x,0,8,30,0,0,43,0,0,19,46,x,x,23,x,x,0,26,55,18,33,0,11,8,11,83,26,57,x,57,18,0,0,x,x,9,x,x,x,x,17
108,E09000022,LA,208,Lambeth,417,626,0,250,167,17,22,54,161,163,77,78,14,225,23,0,306,6,12,37,36,20,0,0,27,253,0,20,109,0,8,41,120,x,x,260,23,12,0,122,295,106,193,0,77,16,25,337,122,215,x,231,21,x,x,x,x,46,20,13,x,29,92
109,E09000023,LA,209,Lewisham,457,677,40,248,209,31,34,59,184,149,135,100,22,190,x,x,360,x,x,x,68,19,x,0,53,240,0,23,132,0,9,29,175,x,9,223,44,x,0,173,284,150,178,x,96,19,x,463,173,290,6,275,97,0,x,x,0,42,18,11,8,21,70
111,E09000028,LA,210,Southwark,498,739,0,289,209,23,30,89,214,142,137,87,18,234,22,0,381,x,x,39,53,16,0,0,53,283,0,x,136,0,x,39,261,x,x,203,23,x,0,122,376,116,216,0,126,6,34,226,122,104,x,347,30,0,x,x,x,74,19,11,x,18,185
112,E09000030,LA,211,Tower Hamlets,333,524,0,179,154,16,27,48,122,120,90,80,111,33,x,x,240,7,8,41,32,x,x,0,67,129,0,29,106,x,x,21,167,x,x,110,42,8,0,56,277,55,198,0,59,x,x,97,56,41,x,252,137,0,x,x,0,19,7,11,x,7,62
