LA_order,New_geog_code,geog_l,geog_c,geog_n,CL_All_17&18,CL_All_17,CL_All_18,CL_Act_HE17&18,CL_Act_HE17,CL_Act_HE18,CL_Act_OE17&18,CL_Act_OE17,CL_Act_OE18,CL_Act_TE17&18,CL_Act_TE17,CL_Act_TE18,CL_Act_NEET_ill17&18,CL_Act_NEET_ill17,CL_Act_NEET_ill18,CL_Act_NEET_oth17&18,CL_Act_NEET_oth17,CL_Act_NEET_oth18,CL_Act_NEET_preg17&18,CL_Act_NEET_preg17,CL_Act_NEET_preg18,CL_Act_NoInf17&18,CL_Act_NoInf17,CL_Act_NoInf18,CL_Acc_SUIT17&18,CL_Acc_SUIT17,CL_Acc_SUIT18,CL_Acc_NotSUIT17&18,CL_Acc_NotSUIT17,CL_Acc_NotSUIT18,CL_Acc_NoSUITInfo17&18,CL_Acc_NoSUITInfo17,CL_Acc_NoSUITInfo18,CL_Acc_P17&18,CL_Acc_P17,CL_Acc_P18,CL_Acc_CH17&18,CL_Acc_CH17,CL_Acc_CH18,CL_Acc_SITA17&18,CL_Acc_SITA17,CL_Acc_SITA18,CL_Acc_SL17&18,CL_Acc_SL17,CL_Acc_SL18,CL_Acc_GA17&18,CL_Acc_GA17,CL_Acc_GA18,CL_Acc_Dep17&18,CL_Acc_Dep17,CL_Acc_Dep18,CL_Acc_OL17&18,CL_Acc_OL17,CL_Acc_OL18,CL_Acc_NK17&18,CL_Acc_NK17,CL_Acc_NK18,CL_Acc_NFA17&18,CL_Acc_NFA17,CL_Acc_NFA18,CL_Acc_F17&18,CL_Acc_F17,CL_Acc_F18,CL_Acc_IL17&18,CL_Acc_IL17,CL_Acc_IL18,CL_Acc_EA17&18,CL_Acc_EA17,CL_Acc_EA18,CL_Acc_BB17&18,CL_Acc_BB17,CL_Acc_BB18,CL_Acc_Cust17&18,CL_Acc_Cust17,CL_Acc_Cust18,CL_Acc_FFC17&18,CL_Acc_FFC17,CL_Acc_FFC18,CL_Acc_OTH17&18,CL_Acc_OTH17,CL_Acc_OTH18,CL_Acc_NoInf17&18,CL_Acc_NoInf17,CL_Acc_NoInf18,CL_InTouch_IT17&18,CL_InTouch_IT17,CL_InTouch_IT18,CL_InTouch_Refu17&18,CL_InTouch_Refu17,CL_InTouch_Refu18,CL_InTouch_NoServ17&18,CL_InTouch_NoServ17,CL_InTouch_NoServ18,CL_InTouch_Not17&18,CL_InTouch_Not17,CL_InTouch_Not18,CL_Stayput_18,CL_Stayput_FFC_18
1,E92000001,NATIONAL,999,ENGLAND,10710,620,10090,270,10,260,4610,200,4410,1750,100,1650,470,20,460,2450,150,2300,360,20,340,790,120,670,9330,440,8890,530,60,460,760,110,640,1550,280,1260,520,10,510,2360,60,2300,850,20,830,10,x,x,x,0,x,140,10,130,90,10,80,60,x,60,320,10,310,1540,30,1510,30,0,30,30,x,20,310,50,270,1780,0,1780,370,30,350,760,110,640,9830,490,9340,80,10,70,120,30,100,680,100,580,3170,1630
3,E12000001,REGION,A,NORTH EAST,510,50,460,20,x,20,190,20,170,140,10,130,20,x,20,120,10,100,20,x,20,10,x,10,470,50,430,30,x,20,10,x,10,90,30,60,20,x,20,70,x,70,50,x,50,0,0,0,0,0,0,x,0,x,x,x,0,x,x,x,30,x,20,80,x,80,x,0,x,0,0,0,20,x,20,90,0,90,40,x,30,10,x,10,490,50,450,x,0,x,x,x,x,10,0,10,140,70
17,E12000002,REGION,B,NORTH WEST,1340,80,1250,30,x,30,490,20,470,240,20,230,90,x,90,360,20,340,70,x,70,50,10,40,1210,60,1150,80,10,70,50,10,40,280,40,240,80,x,70,200,10,190,90,x,90,0,0,0,0,0,0,20,x,20,x,0,x,10,0,10,20,0,20,210,x,210,10,0,10,x,0,x,40,x,40,270,0,270,50,x,50,50,10,40,1280,70,1210,10,x,10,10,x,10,30,x,30,410,260
42,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,860,50,810,20,0,20,350,20,330,180,10,170,50,0,50,170,10,160,40,x,30,70,10,60,750,30,710,40,10,30,70,10,60,140,20,120,80,0,80,100,x,100,100,x,100,x,0,x,x,0,x,10,x,10,x,0,x,10,0,10,10,0,10,140,x,140,x,0,x,x,0,x,30,10,20,140,0,140,20,x,20,70,10,60,780,40,750,0,0,0,10,x,10,70,10,60,290,130
59,E12000004,REGION,D,EAST MIDLANDS,760,50,710,10,0,10,290,20,270,150,10,140,40,x,30,190,10,180,10,x,10,70,10,60,640,30,610,40,x,30,70,10,60,90,20,70,50,x,50,160,10,160,130,x,130,0,0,0,0,0,0,10,x,x,10,0,10,x,0,x,10,0,10,80,0,80,x,0,x,0,0,0,30,x,20,90,0,90,20,x,20,70,10,60,680,40,640,x,0,x,20,0,20,60,10,50,210,80
70,E12000005,REGION,E,WEST MIDLANDS,1170,70,1100,40,x,40,500,20,480,200,20,180,50,x,50,280,20,260,50,x,50,60,10,50,1050,50,990,60,10,60,60,10,50,200,40,170,40,0,40,230,x,230,80,x,70,0,0,0,0,0,0,x,0,x,x,0,x,x,0,x,50,0,50,190,x,190,0,0,0,x,0,x,40,10,40,190,0,190,70,10,70,60,10,50,1110,60,1050,x,0,x,10,x,x,50,10,40,310,180
86,E12000006,REGION,F,EAST OF ENGLAND,1040,50,990,30,0,30,490,10,470,140,x,140,50,x,50,250,20,240,40,x,40,40,10,30,920,30,890,60,x,60,50,20,30,160,20,140,50,x,50,240,x,240,60,x,60,x,0,x,0,0,0,20,0,20,20,x,20,10,x,10,40,x,40,120,x,120,x,0,x,x,0,x,20,x,20,200,0,200,60,x,50,50,20,30,990,40,950,x,x,x,x,x,x,50,10,40,280,180
99,E12000007,REGION,G,LONDON,2400,110,2280,70,x,70,1160,40,1110,290,10,280,60,0,60,560,30,540,70,x,60,200,30,170,2060,70,1990,110,10,100,180,30,150,230,50,180,70,x,70,880,10,880,100,x,100,x,x,x,x,0,x,10,x,x,40,x,40,x,0,x,30,x,30,300,x,300,x,0,x,x,0,x,100,10,80,410,0,410,40,x,40,180,30,150,2170,80,2090,10,0,10,30,x,30,180,30,150,730,370
100,E12000007,REGION,H,INNER LONDON,970,50,920,40,x,40,450,20,430,130,10,120,30,0,30,230,10,220,30,x,20,60,10,60,850,30,810,60,10,50,50,10,40,100,20,80,20,x,20,420,10,410,40,0,40,0,0,0,0,0,0,x,x,0,20,x,20,0,0,0,10,0,10,50,x,50,0,0,0,0,0,0,50,10,40,180,0,180,30,x,30,50,10,40,900,40,860,x,0,x,20,x,20,50,10,40,280,170
115,E12000007,REGION,I,OUTER LONDON,1430,60,1360,30,0,30,710,20,680,160,x,160,30,0,30,330,20,310,40,0,40,130,20,110,1210,40,1180,60,x,50,130,20,110,130,30,100,40,0,40,460,0,460,60,x,60,x,x,x,x,0,x,10,x,x,20,x,20,x,0,x,20,x,20,260,x,260,x,0,x,x,0,x,50,x,40,220,0,220,10,x,10,130,20,110,1280,40,1240,10,0,10,10,x,10,130,20,110,440,200
