LA_order,New_geog_code,geog_l,geog_c,geog_n,Miss_Miss_DuringYear,Miss_Miss_Incs,Miss_Miss_MoreOnce,Miss_Miss_31Mar,Miss_Away_DuringYear,Miss_Away_Incs,Miss_Away_MoreOnce,Miss_Away_31Mar
1,E92000001,NATIONAL,999,ENGLAND,10700,60720,6660,330,4860,20330,2730,70
2,E12000001,REGION,A,NORTH EAST,590,3490,380,10,290,1320,170,x
15,E12000002,REGION,B,NORTH WEST,1820,12390,1200,40,770,2740,400,10
39,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,1080,6760,690,30,480,2150,280,x
55,E12000004,REGION,D,EAST MIDLANDS,590,2880,340,x,350,1340,200,x
65,E12000005,REGION,E,WEST MIDLANDS,1040,5450,610,40,240,640,120,10
80,E12000006,REGION,F,EAST OF ENGLAND,1070,5850,640,30,250,760,130,10
92,E12000007,REGION,G,LONDON,1990,10880,1300,80,1620,8350,1030,20
93,E12000007,REGION,H,INNER LONDON,820,4640,550,30,610,3540,400,10
108,E12000007,REGION,I,OUTER LONDON,1180,6250,750,50,1000,4810,630,20
128,E12000008,REGION,J,SOUTH EAST,1660,8570,960,90,600,2080,280,10
148,E12000009,REGION,K,SOUTH WEST,860,4440,540,20,270,970,130,x
95,E09000001,LA,201,City of London,x,7,x,0,0,0,0,0
94,E09000007,LA,202,Camden,24,79,15,x,34,207,23,0
117,E09000011,LA,203,Greenwich,69,381,48,x,92,721,64,x
96,E09000012,LA,204,Hackney,75,530,57,x,34,64,14,0
97,E09000013,LA,205,Hammersmith and Fulham,31,127,17,x,11,35,6,0
99,E09000019,LA,206,Islington,93,731,76,x,63,260,45,x
100,E09000020,LA,207,Kensington and Chelsea,24,97,15,0,16,46,9,0
101,E09000022,LA,208,Lambeth,86,410,56,0,73,406,48,0
102,E09000023,LA,209,Lewisham,58,132,27,0,72,342,53,x
104,E09000028,LA,210,Southwark,121,645,84,x,129,987,99,x
105,E09000030,LA,211,Tower Hamlets,78,396,57,0,74,357,43,0
106,E09000032,LA,212,Wandsworth,83,588,58,6,35,72,14,0
107,E09000033,LA,213,Westminster,35,145,21,x,17,37,x,0
