time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,cla_group,number
2018,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,Wakefield,E08000036,Number of missing incidents during the year,329
2018,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Number of away from placement without authorisation incidents during the year,165
2018,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Number of missing incidents during the year,322
2018,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Number of away from placement without authorisation incidents during the year,0
2018,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Number of missing incidents during the year,756
2018,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Number of away from placement without authorisation incidents during the year,92
2018,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Number of missing incidents during the year,431
2018,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Number of away from placement without authorisation incidents during the year,131
2018,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Number of missing incidents during the year,176
2018,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Number of away from placement without authorisation incidents during the year,301
2018,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Number of missing incidents during the year,310
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,420,Isles of Scilly,E06000053,Number of away from placement without authorisation incidents during the year,0
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,420,Isles of Scilly,E06000053,Number of missing incidents during the year,0
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,800,Bath and North East Somerset,E06000022,Number of away from placement without authorisation incidents during the year,41
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,800,Bath and North East Somerset,E06000022,Number of missing incidents during the year,71
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,801,"Bristol, City of",E06000023,Number of away from placement without authorisation incidents during the year,61
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,801,"Bristol, City of",E06000023,Number of missing incidents during the year,576
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,802,North Somerset,E06000024,Number of away from placement without authorisation incidents during the year,12
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,802,North Somerset,E06000024,Number of missing incidents during the year,219
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,803,South Gloucestershire,E06000025,Number of away from placement without authorisation incidents during the year,0
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,803,South Gloucestershire,E06000025,Number of missing incidents during the year,127
2018,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Number of away from placement without authorisation incidents during the year,30
