time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
2018,Reporting year,National,E92000001,England,Foster Placements,1. 20 miles or less,41340,79
2018,Reporting year,National,E92000001,England,Foster Placements,2. Over 20 miles,8090,15
2018,Reporting year,National,E92000001,England,Living Independently,1. 20 miles or less,3830,57
2018,Reporting year,National,E92000001,England,Living Independently,2. Over 20 miles,900,13
2018,Reporting year,National,E92000001,England,Other,1. 20 miles or less,800,82
2018,Reporting year,National,E92000001,England,Other,2. Over 20 miles,140,14
2018,Reporting year,National,E92000001,England,Placed for Adoption,1. 20 miles or less,1790,47
2018,Reporting year,National,E92000001,England,Placed for Adoption,2. Over 20 miles,1580,41
2018,Reporting year,National,E92000001,England,Placed with Parents,1. 20 miles or less,5420,91
2018,Reporting year,National,E92000001,England,Placed with Parents,2. Over 20 miles,470,8
2018,Reporting year,National,E92000001,England,Residential placements,1. 20 miles or less,2030,52
2018,Reporting year,National,E92000001,England,Residential placements,2. Over 20 miles,1780,46
2018,Reporting year,National,E92000001,England,Residential schools,1. 20 miles or less,30,32
2018,Reporting year,National,E92000001,England,Residential schools,2. Over 20 miles,50,56
2018,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1. 20 miles or less,6330,53
2018,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2. Over 20 miles,4140,35
2019,Reporting year,National,E92000001,England,Foster Placements,1. 20 miles or less,41380,78
2019,Reporting year,National,E92000001,England,Foster Placements,2. Over 20 miles,8400,16
2019,Reporting year,National,E92000001,England,Living Independently,1. 20 miles or less,3640,53
2019,Reporting year,National,E92000001,England,Living Independently,2. Over 20 miles,930,14
2019,Reporting year,National,E92000001,England,Other,1. 20 miles or less,1160,81
2019,Reporting year,National,E92000001,England,Other,2. Over 20 miles,230,16
2019,Reporting year,National,E92000001,England,Placed for Adoption,1. 20 miles or less,1700,46
2019,Reporting year,National,E92000001,England,Placed for Adoption,2. Over 20 miles,1610,43
2019,Reporting year,National,E92000001,England,Placed with Parents,1. 20 miles or less,5940,92
2019,Reporting year,National,E92000001,England,Placed with Parents,2. Over 20 miles,470,7
2019,Reporting year,National,E92000001,England,Residential placements,1. 20 miles or less,2040,53
2019,Reporting year,National,E92000001,England,Residential placements,2. Over 20 miles,1760,46
2019,Reporting year,National,E92000001,England,Residential schools,1. 20 miles or less,30,37
2019,Reporting year,National,E92000001,England,Residential schools,2. Over 20 miles,50,58
2019,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1. 20 miles or less,6350,49
2019,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2. Over 20 miles,4420,34
2020,Reporting year,National,E92000001,England,Foster Placements,1. 20 miles or less,40980,78
2020,Reporting year,National,E92000001,England,Foster Placements,2. Over 20 miles,8590,16
2020,Reporting year,National,E92000001,England,Living Independently,1. 20 miles or less,3120,56
2020,Reporting year,National,E92000001,England,Living Independently,2. Over 20 miles,730,13
2020,Reporting year,National,E92000001,England,Other,1. 20 miles or less,1630,83
2020,Reporting year,National,E92000001,England,Other,2. Over 20 miles,280,14
2020,Reporting year,National,E92000001,England,Placed for Adoption,1. 20 miles or less,1620,47
2020,Reporting year,National,E92000001,England,Placed for Adoption,2. Over 20 miles,1490,43
2020,Reporting year,National,E92000001,England,Placed with Parents,1. 20 miles or less,6160,92
2020,Reporting year,National,E92000001,England,Placed with Parents,2. Over 20 miles,540,8
2020,Reporting year,National,E92000001,England,Residential placements,1. 20 miles or less,2060,53
2020,Reporting year,National,E92000001,England,Residential placements,2. Over 20 miles,1790,46
2020,Reporting year,National,E92000001,England,Residential schools,1. 20 miles or less,30,32
2020,Reporting year,National,E92000001,England,Residential schools,2. Over 20 miles,60,68
2020,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1. 20 miles or less,7460,50
2020,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2. Over 20 miles,4660,31
2021,Reporting year,National,E92000001,England,Foster Placements,1. 20 miles or less,35890,78
2021,Reporting year,National,E92000001,England,Foster Placements,2. Over 20 miles,8350,18
2021,Reporting year,National,E92000001,England,Living Independently,1. 20 miles or less,2330,58
2021,Reporting year,National,E92000001,England,Living Independently,2. Over 20 miles,600,15
2021,Reporting year,National,E92000001,England,Other,1. 20 miles or less,1870,86
2021,Reporting year,National,E92000001,England,Other,2. Over 20 miles,260,12
2021,Reporting year,National,E92000001,England,Placed for Adoption,1. 20 miles or less,1470,45
2021,Reporting year,National,E92000001,England,Placed for Adoption,2. Over 20 miles,1530,47
2021,Reporting year,National,E92000001,England,Placed with Parents,1. 20 miles or less,6600,92
2021,Reporting year,National,E92000001,England,Placed with Parents,2. Over 20 miles,550,8
2021,Reporting year,National,E92000001,England,Residential placements,1. 20 miles or less,1920,53
2021,Reporting year,National,E92000001,England,Residential placements,2. Over 20 miles,1620,45
2021,Reporting year,National,E92000001,England,Residential schools,1. 20 miles or less,30,40
2021,Reporting year,National,E92000001,England,Residential schools,2. Over 20 miles,40,59
2021,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1. 20 miles or less,7680,51
2021,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2. Over 20 miles,4510,30
2022,Reporting year,National,E92000001,England,Foster Placements,1. 20 miles or less,37380,77
2022,Reporting year,National,E92000001,England,Foster Placements,2. Over 20 miles,8720,18
2022,Reporting year,National,E92000001,England,Living Independently,1. 20 miles or less,2090,51
2022,Reporting year,National,E92000001,England,Living Independently,2. Over 20 miles,520,13
2022,Reporting year,National,E92000001,England,Other,1. 20 miles or less,1990,83
2022,Reporting year,National,E92000001,England,Other,2. Over 20 miles,370,15
2022,Reporting year,National,E92000001,England,Placed for Adoption,1. 20 miles or less,1240,45
2022,Reporting year,National,E92000001,England,Placed for Adoption,2. Over 20 miles,1270,46
2022,Reporting year,National,E92000001,England,Placed with Parents,1. 20 miles or less,6440,92
2022,Reporting year,National,E92000001,England,Placed with Parents,2. Over 20 miles,530,8
2022,Reporting year,National,E92000001,England,Residential placements,1. 20 miles or less,1790,56
2022,Reporting year,National,E92000001,England,Residential placements,2. Over 20 miles,1370,43
2022,Reporting year,National,E92000001,England,Residential schools,1. 20 miles or less,30,38
2022,Reporting year,National,E92000001,England,Residential schools,2. Over 20 miles,50,59
2022,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1. 20 miles or less,8060,46
2022,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2. Over 20 miles,4500,26
2018,Reporting year,National,E92000001,England,Foster placements,1.i 20 miles or less inside LA boundary,29360,56
2018,Reporting year,National,E92000001,England,Foster placements,1.ii 20 miles or less outside LA boundary,11980,23
2018,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,2750,5
2018,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,5340,10
2018,Reporting year,National,E92000001,England,Foster placements,Distance not Known or not recorded,2990,6
2018,Reporting year,National,E92000001,England,Foster placements,Total,52410,100
2018,Reporting year,National,E92000001,England,Living independently,1.i 20 miles or less inside LA boundary,2720,41
2018,Reporting year,National,E92000001,England,Living independently,1.ii 20 miles or less outside LA boundary,1110,17
2018,Reporting year,National,E92000001,England,Living independently,2.i Over 20 miles inside LA boundary,290,4
2018,Reporting year,National,E92000001,England,Living independently,2.ii Over 20 miles outside LA boundary,610,9
2018,Reporting year,National,E92000001,England,Living independently,Distance not Known or not recorded,1980,30
2018,Reporting year,National,E92000001,England,Living independently,Total,6710,100
2018,Reporting year,National,E92000001,England,Other,1.i 20 miles or less inside LA boundary,660,67
2018,Reporting year,National,E92000001,England,Other,1.ii 20 miles or less outside LA boundary,140,14
2018,Reporting year,National,E92000001,England,Other,2.i Over 20 miles inside LA boundary,20,2
2018,Reporting year,National,E92000001,England,Other,2.ii Over 20 miles outside LA boundary,120,12
2018,Reporting year,National,E92000001,England,Other,Distance not Known or not recorded,40,4
2018,Reporting year,National,E92000001,England,Other,Total,980,100
2018,Reporting year,National,E92000001,England,Placed for adoption,1.i 20 miles or less inside LA boundary,940,24
2018,Reporting year,National,E92000001,England,Placed for adoption,1.ii 20 miles or less outside LA boundary,850,22
2018,Reporting year,National,E92000001,England,Placed for adoption,2.i Over 20 miles inside LA boundary,380,10
2018,Reporting year,National,E92000001,England,Placed for adoption,2.ii Over 20 miles outside LA boundary,1200,31
2018,Reporting year,National,E92000001,England,Placed for adoption,Distance not Known or not recorded,470,12
2018,Reporting year,National,E92000001,England,Placed for adoption,Total,3830,100
2018,Reporting year,National,E92000001,England,Placed with parents,1.i 20 miles or less inside LA boundary,4750,80
2018,Reporting year,National,E92000001,England,Placed with parents,1.ii 20 miles or less outside LA boundary,670,11
2018,Reporting year,National,E92000001,England,Placed with parents,2.i Over 20 miles inside LA boundary,90,1
2018,Reporting year,National,E92000001,England,Placed with parents,2.ii Over 20 miles outside LA boundary,380,6
2018,Reporting year,National,E92000001,England,Placed with parents,Distance not Known or not recorded,50,1
2018,Reporting year,National,E92000001,England,Placed with parents,Total,5940,100
2018,Reporting year,National,E92000001,England,Residential placements,1.i 20 miles or less inside LA boundary,1030,26
2018,Reporting year,National,E92000001,England,Residential placements,1.ii 20 miles or less outside LA boundary,1000,26
2018,Reporting year,National,E92000001,England,Residential placements,2.i Over 20 miles inside LA boundary,70,2
2018,Reporting year,National,E92000001,England,Residential placements,2.ii Over 20 miles outside LA boundary,1720,44
