time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
2022,Reporting year,National,E92000001,England,All new placements,1.i 20 miles or less inside LA boundary,40330,49
2022,Reporting year,National,E92000001,England,All new placements,1.ii 20 miles or less outside LA boundary,18870,23
2022,Reporting year,National,E92000001,England,All new placements,2.i Over 20 miles inside LA boundary,3430,4
2022,Reporting year,National,E92000001,England,All new placements,2.ii Over 20 miles outside LA boundary,13550,16
2022,Reporting year,National,E92000001,England,All new placements,Distance not Known or not recorded,6000,7
2022,Reporting year,National,E92000001,England,All new placements,Total,82170,100
2022,Reporting year,National,E92000001,England,Foster placements,1. 20 miles or less,44920,78
2022,Reporting year,National,E92000001,England,Foster placements,2. Over 20 miles,10240,18
2022,Reporting year,National,E92000001,England,Living independently,1. 20 miles or less,950,47
2022,Reporting year,National,E92000001,England,Living independently,2. Over 20 miles,200,10
2022,Reporting year,National,E92000001,England,Other,1. 20 miles or less,1090,59
2022,Reporting year,National,E92000001,England,Other,2. Over 20 miles,720,39
2022,Reporting year,National,E92000001,England,Placed for adoption,1. 20 miles or less,890,41
2022,Reporting year,National,E92000001,England,Placed for adoption,2. Over 20 miles,1070,50
2022,Reporting year,National,E92000001,England,Placed with parents,1. 20 miles or less,5210,93
2022,Reporting year,National,E92000001,England,Placed with parents,2. Over 20 miles,390,7
2022,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1. 20 miles or less,6140,47
2022,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2. Over 20 miles,4360,33
2022,Reporting year,National,E92000001,England,Foster placements,1.i 20 miles or less inside LA boundary,30290,53
2022,Reporting year,National,E92000001,England,Foster placements,1.ii 20 miles or less outside LA boundary,14640,25
2022,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,2600,5
2022,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,7640,13
2022,Reporting year,National,E92000001,England,Foster placements,Distance not Known or not recorded,2380,4
2022,Reporting year,National,E92000001,England,Foster placements,Total,57540,100
2022,Reporting year,National,E92000001,England,Living independently,1.i 20 miles or less inside LA boundary,720,35
2022,Reporting year,National,E92000001,England,Living independently,1.ii 20 miles or less outside LA boundary,230,11
2022,Reporting year,National,E92000001,England,Living independently,2.i Over 20 miles inside LA boundary,80,4
2022,Reporting year,National,E92000001,England,Living independently,2.ii Over 20 miles outside LA boundary,130,6
2022,Reporting year,National,E92000001,England,Living independently,Distance not Known or not recorded,880,43
2022,Reporting year,National,E92000001,England,Living independently,Total,2030,100
2022,Reporting year,National,E92000001,England,Other,1.i 20 miles or less inside LA boundary,720,39
2022,Reporting year,National,E92000001,England,Other,1.ii 20 miles or less outside LA boundary,370,20
2022,Reporting year,National,E92000001,England,Other,2.i Over 20 miles inside LA boundary,60,3
2022,Reporting year,National,E92000001,England,Other,2.ii Over 20 miles outside LA boundary,660,36
2022,Reporting year,National,E92000001,England,Other,Distance not Known or not recorded,20,1
2022,Reporting year,National,E92000001,England,Other,Total,1840,100
2022,Reporting year,National,E92000001,England,Placed for adoption,1.i 20 miles or less inside LA boundary,320,15
2022,Reporting year,National,E92000001,England,Placed for adoption,1.ii 20 miles or less outside LA boundary,570,27
2022,Reporting year,National,E92000001,England,Placed for adoption,2.i Over 20 miles inside LA boundary,150,7
2022,Reporting year,National,E92000001,England,Placed for adoption,2.ii Over 20 miles outside LA boundary,920,43
2022,Reporting year,National,E92000001,England,Placed for adoption,Distance not Known or not recorded,190,9
2022,Reporting year,National,E92000001,England,Placed for adoption,Total,2140,100
2022,Reporting year,National,E92000001,England,Placed with parents,1.i 20 miles or less inside LA boundary,4560,81
2022,Reporting year,National,E92000001,England,Placed with parents,1.ii 20 miles or less outside LA boundary,650,12
2022,Reporting year,National,E92000001,England,Placed with parents,2.i Over 20 miles inside LA boundary,50,1
2022,Reporting year,National,E92000001,England,Placed with parents,2.ii Over 20 miles outside LA boundary,340,6
2022,Reporting year,National,E92000001,England,Placed with parents,Distance not Known or not recorded,20,k
2022,Reporting year,National,E92000001,England,Placed with parents,Total,5610,100
2022,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1.i 20 miles or less inside LA boundary,3730,29
2022,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1.ii 20 miles or less outside LA boundary,2410,19
2022,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2.i Over 20 miles inside LA boundary,490,4
2022,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2.ii Over 20 miles outside LA boundary,3870,30
2022,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",Distance not Known or not recorded,2510,19
2022,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",Total,13010,100
2022,Reporting year,National,E92000001,England,All new placements,1. 20 miles or less,59200,72
2022,Reporting year,National,E92000001,England,All new placements,2. over 20 miles,16970,21
2021,Reporting year,National,E92000001,England,All new placements,1. 20 miles or less,59360,73
2021,Reporting year,National,E92000001,England,All new placements,2. over 20 miles,16840,21
2021,Reporting year,National,E92000001,England,Foster placements,1. 20 miles or less,44970,79
2021,Reporting year,National,E92000001,England,Foster placements,2. Over 20 miles,9890,17
2021,Reporting year,National,E92000001,England,Living independently,1. 20 miles or less,960,53
2021,Reporting year,National,E92000001,England,Living independently,2. Over 20 miles,210,11
2021,Reporting year,National,E92000001,England,Other,1. 20 miles or less,970,55
2021,Reporting year,National,E92000001,England,Other,2. Over 20 miles,760,43
2021,Reporting year,National,E92000001,England,Placed for adoption,1. 20 miles or less,1050,42
2021,Reporting year,National,E92000001,England,Placed for adoption,2. Over 20 miles,1220,49
2021,Reporting year,National,E92000001,England,Placed with parents,1. 20 miles or less,5610,93
2021,Reporting year,National,E92000001,England,Placed with parents,2. Over 20 miles,440,7
2021,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1. 20 miles or less,5810,50
2021,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2. Over 20 miles,4330,37
2021,Reporting year,National,E92000001,England,Foster placements,1.i 20 miles or less inside LA boundary,30600,54
2021,Reporting year,National,E92000001,England,Foster placements,1.ii 20 miles or less outside LA boundary,14370,25
2021,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,2630,5
2021,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,7270,13
2021,Reporting year,National,E92000001,England,Foster placements,Distance not Known or not recorded,2150,4
2021,Reporting year,National,E92000001,England,Foster placements,Total,57010,100
2021,Reporting year,National,E92000001,England,Living independently,1.i 20 miles or less inside LA boundary,720,40
2021,Reporting year,National,E92000001,England,Living independently,1.ii 20 miles or less outside LA boundary,240,13
2021,Reporting year,National,E92000001,England,Living independently,2.i Over 20 miles inside LA boundary,80,4
2021,Reporting year,National,E92000001,England,Living independently,2.ii Over 20 miles outside LA boundary,130,7
2021,Reporting year,National,E92000001,England,Living independently,Distance not Known or not recorded,630,35
2021,Reporting year,National,E92000001,England,Living independently,Total,1790,100
2021,Reporting year,National,E92000001,England,Other,1.i 20 miles or less inside LA boundary,630,36
2021,Reporting year,National,E92000001,England,Other,1.ii 20 miles or less outside LA boundary,340,19
2021,Reporting year,National,E92000001,England,Other,2.i Over 20 miles inside LA boundary,50,3
2021,Reporting year,National,E92000001,England,Other,2.ii Over 20 miles outside LA boundary,710,40
2021,Reporting year,National,E92000001,England,Other,Distance not Known or not recorded,20,1
