time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
2022,Reporting year,National,E92000001,England,Age group,16 years and over,4870,87
2022,Reporting year,National,E92000001,England,Age group,Total,5570,100
2022,Reporting year,National,E92000001,England,Age group,Under 16 years,710,13
2022,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,400,7
2022,Reporting year,National,E92000001,England,Category of need,N2. Child's disability,0,0
2022,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,c,c
2022,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,210,4
2022,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,30,1
2022,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,0,0
2022,Reporting year,National,E92000001,England,Category of need,N7. Low income,10,k
2022,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,4920,88
2022,Reporting year,National,E92000001,England,Category of need,Total,5570,100
2022,Reporting year,National,E92000001,England,Ethnicity,1. Total White,220,4
2022,Reporting year,National,E92000001,England,Ethnicity,1a. White British,c,c
2022,Reporting year,National,E92000001,England,Ethnicity,1b. White Irish,0,0
2022,Reporting year,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,0,0
2022,Reporting year,National,E92000001,England,Ethnicity,1d. Gypsy Roma,0,0
2022,Reporting year,National,E92000001,England,Ethnicity,1e. Any other White background,210,4
2022,Reporting year,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,100,2
2022,Reporting year,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,c,c
2022,Reporting year,National,E92000001,England,Ethnicity,2b. White and Black African,20,k
2022,Reporting year,National,E92000001,England,Ethnicity,2c. White and Asian,10,k
2022,Reporting year,National,E92000001,England,Ethnicity,2d. Any other Mixed background,70,1
2022,Reporting year,National,E92000001,England,Ethnicity,3. Total Asian or Asian British,1360,24
2022,Reporting year,National,E92000001,England,Ethnicity,3a. Indian,10,k
2022,Reporting year,National,E92000001,England,Ethnicity,3b. Pakistani,30,1
2022,Reporting year,National,E92000001,England,Ethnicity,3c. Bangladeshi,10,k
2022,Reporting year,National,E92000001,England,Ethnicity,3d. Chinese,10,k
2022,Reporting year,National,E92000001,England,Ethnicity,3e. Any other Asian background,1310,24
2022,Reporting year,National,E92000001,England,Ethnicity,"4. Total Black, African, Caribbean or Black British",1280,23
2022,Reporting year,National,E92000001,England,Ethnicity,4a. Caribbean,c,c
2022,Reporting year,National,E92000001,England,Ethnicity,4b. African,1120,20
2022,Reporting year,National,E92000001,England,Ethnicity,4c. Any other Black background,150,3
2022,Reporting year,National,E92000001,England,Ethnicity,5. Total other ethnic group,2510,45
2022,Reporting year,National,E92000001,England,Ethnicity,6. Total refused or information not yet available,110,2
2022,Reporting year,National,E92000001,England,Ethnicity,6a. Refused,c,c
2022,Reporting year,National,E92000001,England,Ethnicity,6b. Information not yet obtained,100,2
2022,Reporting year,National,E92000001,England,Ethnicity,Total,5570,100
2022,Reporting year,National,E92000001,England,Gender,Female,290,5
2022,Reporting year,National,E92000001,England,Gender,Male,5290,95
2022,Reporting year,National,E92000001,England,Gender,Total,5570,100
2021,Reporting year,National,E92000001,England,Age group,16 years and over,3610,87
2021,Reporting year,National,E92000001,England,Age group,Total,4150,100
2021,Reporting year,National,E92000001,England,Age group,Under 16 years,530,13
2021,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,320,8
2021,Reporting year,National,E92000001,England,Category of need,N2. Child's disability,0,0
2021,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,c,c
2021,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,190,4
2021,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,30,1
2021,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,0,0
2021,Reporting year,National,E92000001,England,Category of need,N7. Low income,10,k
2021,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,3590,87
2021,Reporting year,National,E92000001,England,Category of need,Total,4150,100
2021,Reporting year,National,E92000001,England,Ethnicity,1. Total White,250,6
2021,Reporting year,National,E92000001,England,Ethnicity,1a. White British,c,c
