time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,cla_group,move_measure,school_stability,number,percentage
2022,Reporting year,National,E92000001,England,,,,,,CLA on 31 March,Any moves,At least one move,5690,11
2022,Reporting year,National,E92000001,England,,,,,,CLA on 31 March,Any moves,Total children,50620,100
2022,Reporting year,National,E92000001,England,,,,,,CLA on 31 March,Mid-year moves,At least one mid-year move,3870,8
2022,Reporting year,National,E92000001,England,,,,,,CLA on 31 March,Mid-year moves,Total children,50620,100
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,CLA on 31 March,Any moves,At least one move,370,10
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,CLA on 31 March,Any moves,Total children,3770,100
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,CLA on 31 March,Mid-year moves,At least one mid-year move,230,6
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,CLA on 31 March,Mid-year moves,Total children,3770,100
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,CLA on 31 March,Any moves,At least one move,870,9
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,CLA on 31 March,Any moves,Total children,9890,100
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,CLA on 31 March,Mid-year moves,At least one mid-year move,540,5
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,CLA on 31 March,Mid-year moves,Total children,9890,100
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CLA on 31 March,Any moves,At least one move,690,12
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CLA on 31 March,Any moves,Total children,6000,100
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CLA on 31 March,Mid-year moves,At least one mid-year move,480,8
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CLA on 31 March,Mid-year moves,Total children,6000,100
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,CLA on 31 March,Any moves,At least one move,510,13
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,CLA on 31 March,Any moves,Total children,3970,100
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,CLA on 31 March,Mid-year moves,At least one mid-year move,350,9
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,CLA on 31 March,Mid-year moves,Total children,3970,100
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,CLA on 31 March,Any moves,At least one move,770,11
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,CLA on 31 March,Any moves,Total children,7170,100
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,CLA on 31 March,Mid-year moves,At least one mid-year move,530,7
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,CLA on 31 March,Mid-year moves,Total children,7170,100
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,CLA on 31 March,Any moves,At least one move,580,14
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,CLA on 31 March,Any moves,Total children,4070,100
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,CLA on 31 March,Mid-year moves,At least one mid-year move,420,10
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,CLA on 31 March,Mid-year moves,Total children,4070,100
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,CLA on 31 March,Any moves,At least one move,570,11
