time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,characteristic,number
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,City of London,E09000001,1. Children who are the responsibility of other LAs placed within this LA boundary,0
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,City of London,E09000001,2. Children who are the responsibility of this LA placed outside the LA boundary,9
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,City of London,E09000001,Net gain of children by responsible LA,-9
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,Camden,E09000007,1. Children who are the responsibility of other LAs placed within this LA boundary,38
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,Camden,E09000007,2. Children who are the responsibility of this LA placed outside the LA boundary,116
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,Camden,E09000007,Net gain of children by responsible LA,-78
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,203,Greenwich,E09000011,1. Children who are the responsibility of other LAs placed within this LA boundary,172
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,203,Greenwich,E09000011,2. Children who are the responsibility of this LA placed outside the LA boundary,282
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,203,Greenwich,E09000011,Net gain of children by responsible LA,-110
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,Hackney,E09000012,1. Children who are the responsibility of other LAs placed within this LA boundary,102
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,Hackney,E09000012,2. Children who are the responsibility of this LA placed outside the LA boundary,271
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,Hackney,E09000012,Net gain of children by responsible LA,-169
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,Hammersmith and Fulham,E09000013,1. Children who are the responsibility of other LAs placed within this LA boundary,45
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,Hammersmith and Fulham,E09000013,2. Children who are the responsibility of this LA placed outside the LA boundary,171
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,Hammersmith and Fulham,E09000013,Net gain of children by responsible LA,-126
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,206,Islington,E09000019,1. Children who are the responsibility of other LAs placed within this LA boundary,64
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,206,Islington,E09000019,2. Children who are the responsibility of this LA placed outside the LA boundary,220
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,206,Islington,E09000019,Net gain of children by responsible LA,-156
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,207,Kensington and Chelsea,E09000020,1. Children who are the responsibility of other LAs placed within this LA boundary,54
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,207,Kensington and Chelsea,E09000020,2. Children who are the responsibility of this LA placed outside the LA boundary,90
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,207,Kensington and Chelsea,E09000020,Net gain of children by responsible LA,-36
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,208,Lambeth,E09000022,1. Children who are the responsibility of other LAs placed within this LA boundary,233
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,208,Lambeth,E09000022,2. Children who are the responsibility of this LA placed outside the LA boundary,287
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,208,Lambeth,E09000022,Net gain of children by responsible LA,-54
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,209,Lewisham,E09000023,1. Children who are the responsibility of other LAs placed within this LA boundary,261
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,209,Lewisham,E09000023,2. Children who are the responsibility of this LA placed outside the LA boundary,314
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,209,Lewisham,E09000023,Net gain of children by responsible LA,-53
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,210,Southwark,E09000028,1. Children who are the responsibility of other LAs placed within this LA boundary,91
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,210,Southwark,E09000028,2. Children who are the responsibility of this LA placed outside the LA boundary,300
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,210,Southwark,E09000028,Net gain of children by responsible LA,-209
