time_period,time_identifier,geographic_level,country_code,country_name,care_leaver_age,cla_group,measure,accommodation_type,number,percentage
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,Bed and breakfast,c,c
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,Community home,c,c
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,Deported,0,0
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,Emergency accommodation,c,c
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,Foyers,c,c
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,Gone Abroad,0,0
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,In custody,30,6
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,Independent living,10,2
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,Local authority not in touch,130,25
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,No fixed abode/homeless,c,c
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,Ordinary lodgings,c,c
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,Other accommodation,20,4
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,Residence not known,c,c
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,"Semi-independent, transitional accommodation",20,3
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,Supported lodgings,c,c
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,Total care leavers,510,100
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,Total information not known,170,33
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,With former foster carers,0,0
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,With parents or relatives,250,49
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,Young person no longer requires services,40,7
2023,Reporting year,National,E92000001,England,17 years,Care leavers group,Accommodation of care leaver,Young person refuses contact,c,c
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,Bed and breakfast,20,k
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,Community home,490,4
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,Deported,0,0
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,Emergency accommodation,60,k
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,Foyers,450,4
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,Gone abroad,10,k
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,In custody,220,2
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,Independent living,1120,9
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,Local authority not in touch,440,3
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,No fixed abode/homeless,60,k
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,Ordinary lodgings,60,k
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,Other accommodation,330,3
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,Residence not known,40,k
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,"Semi-independent, transitional accommodation",4680,36
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,Supported lodgings,930,7
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,Total care leavers,12890,100
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,Total information not known,620,5
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,With former foster carers,2350,18
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,With parents or relatives,1470,11
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,Young person no longer requires services,160,1
2023,Reporting year,National,E92000001,England,18 years,Care leavers group,Accommodation of care leaver,Young person refuses contact,30,k
2023,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Accommodation of care leaver,Bed and breakfast,60,k
2023,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Accommodation of care leaver,Community home,1120,3
2023,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Accommodation of care leaver,Deported,c,c
2023,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Accommodation of care leaver,Emergency accommodation,330,1
2023,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Accommodation of care leaver,Foyers,850,2
2023,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Accommodation of care leaver,Gone abroad,30,k
2023,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Accommodation of care leaver,In custody,1080,3
2023,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Accommodation of care leaver,Independent living,12300,35
2023,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Accommodation of care leaver,Local authority not in touch,1250,4
2023,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Accommodation of care leaver,No fixed abode/homeless,320,1
2023,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Accommodation of care leaver,Ordinary lodgings,460,1
2023,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Accommodation of care leaver,Other accommodation,1120,3
2023,Reporting year,National,E92000001,England,19 to 21 years,Care leavers group,Accommodation of care leaver,Residence not known,200,1
