time_period,time_identifier,geographic_level,country_code,country_name,cla_group,population_group,characteristic,number
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,1 to 4 years,17400
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,10 to 15 years,35930
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,16 years and over,37400
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,5 to 9 years,18480
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,Total children,114670
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,Under 1 year,5460
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1. Total White,78820
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1a. White British,72790
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1b. White Irish,260
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1c. Traveller of Irish Heritage,250
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1d. Gypsy Roma,740
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1e. Any other White background,4790
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,11600
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2a. White and Black Caribbean,3780
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2b. White and Black African,1400
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2c. White and Asian,2300
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2d. Any other Mixed background,4120
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3. Total Asian or Asian British,6780
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3a. Indian,500
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3b. Pakistani,1550
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3c. Bangladeshi,630
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3d. Chinese,150
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3e. Any other Asian background,3960
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",9230
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,4a. Caribbean,1710
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,4b. African,5570
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,4c. Any other Black background,1950
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,5. Total other ethnic group,7250
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,6. Total Refused or information not yet available,980
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,6a. Refused,70
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,6b. Information not yet obtained,920
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,Total children,114670
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Gender,Female,48430
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Gender,Male,66240
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Gender,Total children,114670
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Foster placements,79860
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Other placement,3230
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Other residential settings,4110
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Placed for adoption,4960
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Placed in the community,5060
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Placed with parents or other persons with parental responsibility,11940
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Residential schools,160
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,"Secure units, children's homes and semi-independent living accommodation",24590
2023,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Placement,Total children,133910
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,1 to 4 years,7090
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,10 to 15 years,25740
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,16 years and over,14880
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,5 to 9 years,11110
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,Total children,58820
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Age group,Under 1 year,c
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1. Total White,44670
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1a. White British,41920
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1b. White Irish,140
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1c. Traveller of Irish Heritage,130
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1d. Gypsy Roma,460
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,1e. Any other White background,2040
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2. Total Mixed or Multiple ethnic groups,6550
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2a. White and Black Caribbean,2160
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2b. White and Black African,760
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2c. White and Asian,1400
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,2d. Any other Mixed background,2220
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3. Total Asian or Asian British,2310
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3a. Indian,220
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3b. Pakistani,750
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3c. Bangladeshi,270
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3d. Chinese,70
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,3e. Any other Asian background,1000
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,"4. Total Black, African, Caribbean or Black British",3460
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,4a. Caribbean,900
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,4b. African,1730
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,4c. Any other Black background,830
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,5. Total other ethnic group,1650
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,6. Total Refused or information not yet available,180
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,6a. Refused,20
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,6b. Information not yet obtained,160
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Ethnicity,Total children,58820
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Gender,Female,26130
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Gender,Male,32690
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Gender,Total children,58820
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Foster placements,41690
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Other placement,410
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Other residential settings,530
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Placed for adoption,1880
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Placed in the community,1020
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Placed with parents or other persons with parental responsibility,4210
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Residential schools,70
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,"Secure units, children's homes and semi-independent living accommodation",9020
2023,Reporting year,National,E92000001,England,Children looked after on 31 March who’ve been looked after for at least 12 months,Placement,Total children,58820
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,1 to 4 years,17600
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,10 to 15 years,35630
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,16 years and over,34230
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,5 to 9 years,18420
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,Total children,111430
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Age group,Under 1 year,5560
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1. Total White,78890
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1a. White British,73360
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1b. White Irish,270
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1c. Traveller of Irish Heritage,240
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1d. Gypsy Roma,710
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,1e. Any other White background,4320
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2. Total Mixed or Multiple ethnic groups,11360
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2a. White and Black Caribbean,3750
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2b. White and Black African,1360
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2c. White and Asian,2290
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,2d. Any other Mixed background,3960
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3. Total Asian or Asian British,5960
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3a. Indian,470
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3b. Pakistani,1520
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3c. Bangladeshi,620
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3d. Chinese,160
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,3e. Any other Asian background,3200
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,"4. Total Black, African, Caribbean or Black British",8740
2022,Reporting year,National,E92000001,England,All children looked after during the year ending 31 March,Ethnicity,4a. Caribbean,1860
