time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
2023,Reporting year,National,E92000001,England,Foster Placements,1. 20 miles or less,36400,74
2023,Reporting year,National,E92000001,England,Foster Placements,2. Over 20 miles,9290,19
2023,Reporting year,National,E92000001,England,Living Independently,1. 20 miles or less,2110,48
2023,Reporting year,National,E92000001,England,Living Independently,2. Over 20 miles,570,13
2023,Reporting year,National,E92000001,England,Other,1. 20 miles or less,2750,77
2023,Reporting year,National,E92000001,England,Other,2. Over 20 miles,700,20
2023,Reporting year,National,E92000001,England,Placed for Adoption,1. 20 miles or less,1180,43
2023,Reporting year,National,E92000001,England,Placed for Adoption,2. Over 20 miles,1270,47
2023,Reporting year,National,E92000001,England,Placed with Parents,1. 20 miles or less,7160,91
2023,Reporting year,National,E92000001,England,Placed with Parents,2. Over 20 miles,660,8
2023,Reporting year,National,E92000001,England,Residential placements,1. 20 miles or less,2110,56
2023,Reporting year,National,E92000001,England,Residential placements,2. Over 20 miles,1620,43
2023,Reporting year,National,E92000001,England,Residential schools,1. 20 miles or less,30,43
2023,Reporting year,National,E92000001,England,Residential schools,2. Over 20 miles,30,48
2023,Reporting year,National,E92000001,England,"Secure units, children's homes and semi-independent living accommodation",1. 20 miles or less,8590,45
2023,Reporting year,National,E92000001,England,"Secure units, children's homes and semi-independent living accommodation",2. Over 20 miles,4580,24
2023,Reporting year,National,E92000001,England,Foster placements,1.i 20 miles or less inside LA boundary,25460,52
2023,Reporting year,National,E92000001,England,Foster placements,1.ii 20 miles or less outside LA boundary,10930,22
2023,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,3030,6
2023,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,6260,13
2023,Reporting year,National,E92000001,England,Foster placements,Distance not Known or not recorded,3240,7
2023,Reporting year,National,E92000001,England,Foster placements,Total,48930,100
2023,Reporting year,National,E92000001,England,Living independently,1.i 20 miles or less inside LA boundary,1550,35
2023,Reporting year,National,E92000001,England,Living independently,1.ii 20 miles or less outside LA boundary,560,13
2023,Reporting year,National,E92000001,England,Living independently,2.i Over 20 miles inside LA boundary,190,4
2023,Reporting year,National,E92000001,England,Living independently,2.ii Over 20 miles outside LA boundary,380,9
2023,Reporting year,National,E92000001,England,Living independently,Distance not Known or not recorded,1740,39
2023,Reporting year,National,E92000001,England,Living independently,Total,4410,100
2023,Reporting year,National,E92000001,England,Other,1.i 20 miles or less inside LA boundary,2190,62
2023,Reporting year,National,E92000001,England,Other,1.ii 20 miles or less outside LA boundary,560,16
2023,Reporting year,National,E92000001,England,Other,2.i Over 20 miles inside LA boundary,160,5
2023,Reporting year,National,E92000001,England,Other,2.ii Over 20 miles outside LA boundary,530,15
2023,Reporting year,National,E92000001,England,Other,Distance not Known or not recorded,110,3
2023,Reporting year,National,E92000001,England,Other,Total,3560,100
2023,Reporting year,National,E92000001,England,Placed for adoption,1.i 20 miles or less inside LA boundary,390,14
2023,Reporting year,National,E92000001,England,Placed for adoption,1.ii 20 miles or less outside LA boundary,790,29
2023,Reporting year,National,E92000001,England,Placed for adoption,2.i Over 20 miles inside LA boundary,190,7
2023,Reporting year,National,E92000001,England,Placed for adoption,2.ii Over 20 miles outside LA boundary,1080,40
