time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
2023,Reporting year,National,E92000001,England,Age group,16 years and over,6300,86
2023,Reporting year,National,E92000001,England,Age group,Total,7290,100
2023,Reporting year,National,E92000001,England,Age group,Under 16 years,1000,14
2023,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,510,7
2023,Reporting year,National,E92000001,England,Category of need,N2. Child's disability,c,c
2023,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,c,c
2023,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,280,4
2023,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,50,1
2023,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,c,c
2023,Reporting year,National,E92000001,England,Category of need,N7. Low income,10,k
2023,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,6440,88
2023,Reporting year,National,E92000001,England,Category of need,Total,7290,100
2023,Reporting year,National,E92000001,England,Ethnicity,1. Total White,430,6
2023,Reporting year,National,E92000001,England,Ethnicity,1a. White British,10,k
2023,Reporting year,National,E92000001,England,Ethnicity,1b. White Irish,0,0
2023,Reporting year,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,0,0
2023,Reporting year,National,E92000001,England,Ethnicity,1d. Gypsy Roma,0,0
2023,Reporting year,National,E92000001,England,Ethnicity,1e. Any other White background,420,6
2023,Reporting year,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,120,2
2023,Reporting year,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,c,c
2023,Reporting year,National,E92000001,England,Ethnicity,2b. White and Black African,20,k
2023,Reporting year,National,E92000001,England,Ethnicity,2c. White and Asian,10,k
2023,Reporting year,National,E92000001,England,Ethnicity,2d. Any other Mixed background,90,1
2023,Reporting year,National,E92000001,England,Ethnicity,3. Total Asian or Asian British,1840,25
2023,Reporting year,National,E92000001,England,Ethnicity,3a. Indian,10,k
2023,Reporting year,National,E92000001,England,Ethnicity,3b. Pakistani,40,k
2023,Reporting year,National,E92000001,England,Ethnicity,3c. Bangladeshi,c,c
2023,Reporting year,National,E92000001,England,Ethnicity,3d. Chinese,10,k
2023,Reporting year,National,E92000001,England,Ethnicity,3e. Any other Asian background,1790,24
2023,Reporting year,National,E92000001,England,Ethnicity,"4. Total Black, African, Caribbean or Black British",1530,21
2023,Reporting year,National,E92000001,England,Ethnicity,4a. Caribbean,c,c
2023,Reporting year,National,E92000001,England,Ethnicity,4b. African,1350,19
2023,Reporting year,National,E92000001,England,Ethnicity,4c. Any other Black background,180,2
2023,Reporting year,National,E92000001,England,Ethnicity,5. Total other ethnic group,3200,44
2023,Reporting year,National,E92000001,England,Ethnicity,6. Total refused or information not yet available,170,2
2023,Reporting year,National,E92000001,England,Ethnicity,6a. Refused,c,c
2023,Reporting year,National,E92000001,England,Ethnicity,6b. Information not yet obtained,170,2
2023,Reporting year,National,E92000001,England,Ethnicity,Total,7290,100
2023,Reporting year,National,E92000001,England,Gender,Female,310,4
