time_period,time_identifier,geographic_level,country_code,country_name,care_leaver_age,accommodation_suitability,number,percentage
2024,Reporting year,National,E92000001,England,17 years,Accommodation considered suitable,320,65
2024,Reporting year,National,E92000001,England,17 years,Accommodation considered unsuitable,40,7
2024,Reporting year,National,E92000001,England,17 years,No information,140,28
2024,Reporting year,National,E92000001,England,17 years,Total,490,100
2024,Reporting year,National,E92000001,England,18 years,Accommodation considered suitable,12560,91
2024,Reporting year,National,E92000001,England,18 years,Accommodation considered unsuitable,480,3
2024,Reporting year,National,E92000001,England,18 years,No information,700,5
2024,Reporting year,National,E92000001,England,18 years,Total,13740,100
2024,Reporting year,National,E92000001,England,19 to 21 years,Accommodation considered suitable,31630,88
2024,Reporting year,National,E92000001,England,19 to 21 years,Accommodation considered unsuitable,2050,6
2024,Reporting year,National,E92000001,England,19 to 21 years,No information,2440,7
2024,Reporting year,National,E92000001,England,19 to 21 years,Total,36110,100
2024,Reporting year,National,E92000001,England,19 years,Accommodation considered suitable,11540,90
2024,Reporting year,National,E92000001,England,19 years,Accommodation considered unsuitable,650,5
2024,Reporting year,National,E92000001,England,19 years,No information,670,5
2024,Reporting year,National,E92000001,England,19 years,Total,12850,100
2024,Reporting year,National,E92000001,England,20 years,Accommodation considered suitable,10350,88
2024,Reporting year,National,E92000001,England,20 years,Accommodation considered unsuitable,720,6
2024,Reporting year,National,E92000001,England,20 years,No information,720,6
2024,Reporting year,National,E92000001,England,20 years,Total,11790,100
2024,Reporting year,National,E92000001,England,21 years,Accommodation considered suitable,9740,85
2024,Reporting year,National,E92000001,England,21 years,Accommodation considered unsuitable,680,6
2024,Reporting year,National,E92000001,England,21 years,No information,1050,9
2024,Reporting year,National,E92000001,England,21 years,Total,11470,100
2023,Reporting year,National,E92000001,England,17 years,Accommodation considered suitable,300,59
2023,Reporting year,National,E92000001,England,17 years,Accommodation considered unsuitable,40,8
2023,Reporting year,National,E92000001,England,17 years,No information,170,33
2023,Reporting year,National,E92000001,England,17 years,Total,500,100
2023,Reporting year,National,E92000001,England,18 years,Accommodation considered suitable,11820,92
2023,Reporting year,National,E92000001,England,18 years,Accommodation considered unsuitable,440,3
2023,Reporting year,National,E92000001,England,18 years,No information,610,5
2023,Reporting year,National,E92000001,England,18 years,Total,12870,100
2023,Reporting year,National,E92000001,England,19 to 21 years,Accommodation considered suitable,30390,88
2023,Reporting year,National,E92000001,England,19 to 21 years,Accommodation considered unsuitable,1950,6
2023,Reporting year,National,E92000001,England,19 to 21 years,No information,2140,6
2023,Reporting year,National,E92000001,England,19 to 21 years,Total,34480,100
2023,Reporting year,National,E92000001,England,19 years,Accommodation considered suitable,10690,90
2023,Reporting year,National,E92000001,England,19 years,Accommodation considered unsuitable,600,5
2023,Reporting year,National,E92000001,England,19 years,No information,550,5
2023,Reporting year,National,E92000001,England,19 years,Total,11840,100
2023,Reporting year,National,E92000001,England,20 years,Accommodation considered suitable,10190,89
2023,Reporting year,National,E92000001,England,20 years,Accommodation considered unsuitable,680,6
2023,Reporting year,National,E92000001,England,20 years,No information,620,5
2023,Reporting year,National,E92000001,England,20 years,Total,11490,100
2023,Reporting year,National,E92000001,England,21 years,Accommodation considered suitable,9510,85
