time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
2024,Reporting year,National,E92000001,England,All children,1. 20 miles or less,57770,69
2024,Reporting year,National,E92000001,England,All children,1.i 20 miles or less inside LA boundary,39060,47
2024,Reporting year,National,E92000001,England,All children,1.ii 20 miles or less outside LA boundary,18710,22
2024,Reporting year,National,E92000001,England,All children,2. Over 20 miles,18040,22
2024,Reporting year,National,E92000001,England,All children,2.i Over 20 miles inside LA boundary,3450,4
2024,Reporting year,National,E92000001,England,All children,2.ii Over 20 miles outside LA boundary,14590,17
2024,Reporting year,National,E92000001,England,All children,Distance not known or not recorded,7830,9
2024,Reporting year,National,E92000001,England,All children,Total,83630,100
2024,Reporting year,National,E92000001,England,Foster placements,1. 20 miles or less,42810,76
2024,Reporting year,National,E92000001,England,Foster placements,1.i 20 miles or less inside LA boundary,29000,51
2024,Reporting year,National,E92000001,England,Foster placements,1.ii 20 miles or less outside LA boundary,13810,24
2024,Reporting year,National,E92000001,England,Foster placements,2. Over 20 miles,10650,19
2024,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,2560,5
2024,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,8090,14
2024,Reporting year,National,E92000001,England,Foster placements,Distance not known or not recorded,2930,5
2024,Reporting year,National,E92000001,England,Foster placements,Total,56390,100
2024,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,1. 20 miles or less,2470,39
2024,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,1.i 20 miles or less inside LA boundary,1580,25
2024,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,1.ii 20 miles or less outside LA boundary,890,14
2024,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,2. Over 20 miles,490,8
2024,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,2.i Over 20 miles inside LA boundary,130,2
2024,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,2.ii Over 20 miles outside LA boundary,360,6
2024,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,Distance not known or not recorded,3290,53
2024,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,Total,6250,100
2024,Reporting year,National,E92000001,England,Other placements,1. 20 miles or less,2570,50
2024,Reporting year,National,E92000001,England,Other placements,1.i 20 miles or less inside LA boundary,1640,32
