time_period,time_identifier,geographic_level,country_code,country_name,placement_type,placement_provider,number,percentage
2024,Reporting year,National,E92000001,England,1. All children looked after at 31 March,All children,83630,100
2024,Reporting year,National,E92000001,England,1. All children looked after at 31 March,Other LA provision,830,1
2024,Reporting year,National,E92000001,England,1. All children looked after at 31 March,"Other public provision (e.g., PCT)",250,k
2024,Reporting year,National,E92000001,England,1. All children looked after at 31 March,Own provision (by the LA),35930,43
2024,Reporting year,National,E92000001,England,1. All children looked after at 31 March,Parents or other person with parental responsibility,5300,6
2024,Reporting year,National,E92000001,England,1. All children looked after at 31 March,Placement provider not reported,3790,5
2024,Reporting year,National,E92000001,England,1. All children looked after at 31 March,Private provision,31310,37
2024,Reporting year,National,E92000001,England,1. All children looked after at 31 March,Voluntary/third sector provision,6240,7
2024,Reporting year,National,E92000001,England,2. All children placed inside council boundary,All children,43830,100
2024,Reporting year,National,E92000001,England,2. All children placed inside council boundary,Other LA provision,70,k
2024,Reporting year,National,E92000001,England,2. All children placed inside council boundary,"Other public provision (e.g., PCT)",50,k
2024,Reporting year,National,E92000001,England,2. All children placed inside council boundary,Own provision (by the LA),26020,59
2024,Reporting year,National,E92000001,England,2. All children placed inside council boundary,Parents or other person with parental responsibility,4290,10
2024,Reporting year,National,E92000001,England,2. All children placed inside council boundary,Placement provider not reported,z,z
2024,Reporting year,National,E92000001,England,2. All children placed inside council boundary,Private provision,10120,23
2024,Reporting year,National,E92000001,England,2. All children placed inside council boundary,Voluntary/third sector provision,3290,8
2024,Reporting year,National,E92000001,England,2a. Foster placements,All children,32480,100
2024,Reporting year,National,E92000001,England,2a. Foster placements,Other LA provision,40,k
2024,Reporting year,National,E92000001,England,2a. Foster placements,"Other public provision (e.g., PCT)",0,0
2024,Reporting year,National,E92000001,England,2a. Foster placements,Own provision (by the LA),24380,75
2024,Reporting year,National,E92000001,England,2a. Foster placements,Parents or other person with parental responsibility,z,z
2024,Reporting year,National,E92000001,England,2a. Foster placements,Placement provider not reported,z,z
2024,Reporting year,National,E92000001,England,2a. Foster placements,Private provision,5510,17
2024,Reporting year,National,E92000001,England,2a. Foster placements,Voluntary/third sector provision,2550,8
2024,Reporting year,National,E92000001,England,2b. Secure homes and children's homes,All children,2790,100
2024,Reporting year,National,E92000001,England,2b. Secure homes and children's homes,Other LA provision,10,k
2024,Reporting year,National,E92000001,England,2b. Secure homes and children's homes,"Other public provision (e.g., PCT)",0,0
2024,Reporting year,National,E92000001,England,2b. Secure homes and children's homes,Own provision (by the LA),990,35
2024,Reporting year,National,E92000001,England,2b. Secure homes and children's homes,Parents or other person with parental responsibility,z,z
2024,Reporting year,National,E92000001,England,2b. Secure homes and children's homes,Placement provider not reported,z,z
2024,Reporting year,National,E92000001,England,2b. Secure homes and children's homes,Private provision,1600,58
2024,Reporting year,National,E92000001,England,2b. Secure homes and children's homes,Voluntary/third sector provision,190,7
2024,Reporting year,National,E92000001,England,2c. Independent and semi-independent living arrangements/supported accommodation,All children,3520,100
2024,Reporting year,National,E92000001,England,2c. Independent and semi-independent living arrangements/supported accommodation,Other LA provision,0,0
2024,Reporting year,National,E92000001,England,2c. Independent and semi-independent living arrangements/supported accommodation,"Other public provision (e.g., PCT)",0,0
2024,Reporting year,National,E92000001,England,2c. Independent and semi-independent living arrangements/supported accommodation,Own provision (by the LA),250,7
2024,Reporting year,National,E92000001,England,2c. Independent and semi-independent living arrangements/supported accommodation,Parents or other person with parental responsibility,z,z
2024,Reporting year,National,E92000001,England,2c. Independent and semi-independent living arrangements/supported accommodation,Placement provider not reported,z,z
2024,Reporting year,National,E92000001,England,2c. Independent and semi-independent living arrangements/supported accommodation,Private provision,2780,79
2024,Reporting year,National,E92000001,England,2c. Independent and semi-independent living arrangements/supported accommodation,Voluntary/third sector provision,500,14
2024,Reporting year,National,E92000001,England,2d. Other residential settings,All children,330,100
2024,Reporting year,National,E92000001,England,2d. Other residential settings,Other LA provision,c,c
2024,Reporting year,National,E92000001,England,2d. Other residential settings,"Other public provision (e.g., PCT)",50,14
2024,Reporting year,National,E92000001,England,2d. Other residential settings,Own provision (by the LA),70,20
2024,Reporting year,National,E92000001,England,2d. Other residential settings,Parents or other person with parental responsibility,z,z
2024,Reporting year,National,E92000001,England,2d. Other residential settings,Placement provider not reported,z,z
2024,Reporting year,National,E92000001,England,2d. Other residential settings,Private provision,210,63
2024,Reporting year,National,E92000001,England,2d. Other residential settings,Voluntary/third sector provision,10,2
2024,Reporting year,National,E92000001,England,2e. Residential schools,All children,30,100
2024,Reporting year,National,E92000001,England,2e. Residential schools,Other LA provision,0,0
2024,Reporting year,National,E92000001,England,2e. Residential schools,"Other public provision (e.g., PCT)",0,0
2024,Reporting year,National,E92000001,England,2e. Residential schools,Own provision (by the LA),10,30
2024,Reporting year,National,E92000001,England,2e. Residential schools,Parents or other person with parental responsibility,z,z
2024,Reporting year,National,E92000001,England,2e. Residential schools,Placement provider not reported,z,z
2024,Reporting year,National,E92000001,England,2e. Residential schools,Private provision,10,42
2024,Reporting year,National,E92000001,England,2e. Residential schools,Voluntary/third sector provision,10,27
2024,Reporting year,National,E92000001,England,2f. Placed with parents or other person with parental responsibility,All children,4290,100
2024,Reporting year,National,E92000001,England,2f. Placed with parents or other person with parental responsibility,Other LA provision,z,z
2024,Reporting year,National,E92000001,England,2f. Placed with parents or other person with parental responsibility,"Other public provision (e.g., PCT)",z,z
2024,Reporting year,National,E92000001,England,2f. Placed with parents or other person with parental responsibility,Own provision (by the LA),z,z
2024,Reporting year,National,E92000001,England,2f. Placed with parents or other person with parental responsibility,Parents or other person with parental responsibility,4290,100
2024,Reporting year,National,E92000001,England,2f. Placed with parents or other person with parental responsibility,Placement provider not reported,z,z
2024,Reporting year,National,E92000001,England,2f. Placed with parents or other person with parental responsibility,Private provision,z,z
2024,Reporting year,National,E92000001,England,2f. Placed with parents or other person with parental responsibility,Voluntary/third sector provision,z,z
2024,Reporting year,National,E92000001,England,2g. Placed for adoption,All children,390,100
2024,Reporting year,National,E92000001,England,2g. Placed for adoption,Other LA provision,20,5
2024,Reporting year,National,E92000001,England,2g. Placed for adoption,"Other public provision (e.g., PCT)",0,0
2024,Reporting year,National,E92000001,England,2g. Placed for adoption,Own provision (by the LA),320,83
2024,Reporting year,National,E92000001,England,2g. Placed for adoption,Parents or other person with parental responsibility,z,z
2024,Reporting year,National,E92000001,England,2g. Placed for adoption,Placement provider not reported,z,z
2024,Reporting year,National,E92000001,England,2g. Placed for adoption,Private provision,c,c
2024,Reporting year,National,E92000001,England,2g. Placed for adoption,Voluntary/third sector provision,40,10
2024,Reporting year,National,E92000001,England,3. All children placed outside council boundary,All children,36010,100
2024,Reporting year,National,E92000001,England,3. All children placed outside council boundary,Other LA provision,760,2
2024,Reporting year,National,E92000001,England,3. All children placed outside council boundary,"Other public provision (e.g., PCT)",200,1
2024,Reporting year,National,E92000001,England,3. All children placed outside council boundary,Own provision (by the LA),9910,28
2024,Reporting year,National,E92000001,England,3. All children placed outside council boundary,Parents or other person with parental responsibility,1000,3
2024,Reporting year,National,E92000001,England,3. All children placed outside council boundary,Placement provider not reported,z,z
2024,Reporting year,National,E92000001,England,3. All children placed outside council boundary,Private provision,21190,59
2024,Reporting year,National,E92000001,England,3. All children placed outside council boundary,Voluntary/third sector provision,2940,8
2024,Reporting year,National,E92000001,England,3a. Foster placements,All children,23910,100
2024,Reporting year,National,E92000001,England,3a. Foster placements,Other LA provision,250,1
