time_period,time_identifier,geographic_level,country_code,country_name,gender,age_group,characteristic,number,percentage
2024,Reporting year,National,E92000001,England,Female,10 to 12 years,1. Convictions: Children looked after age groups,4880,27
2024,Reporting year,National,E92000001,England,Male,10 to 12 years,1. Convictions: Children looked after age groups,5640,24
2024,Reporting year,National,E92000001,England,Total,10 to 12 years,1. Convictions: Children looked after age groups,10510,25
2024,Reporting year,National,E92000001,England,Female,13 to 15 years,1. Convictions: Children looked after age groups,6820,38
2024,Reporting year,National,E92000001,England,Male,13 to 15 years,1. Convictions: Children looked after age groups,8250,35
2024,Reporting year,National,E92000001,England,Total,13 to 15 years,1. Convictions: Children looked after age groups,15070,36
2024,Reporting year,National,E92000001,England,Female,16 to 17 years,1. Convictions: Children looked after age groups,6300,35
2024,Reporting year,National,E92000001,England,Male,16 to 17 years,1. Convictions: Children looked after age groups,9670,41
2024,Reporting year,National,E92000001,England,Total,16 to 17 years,1. Convictions: Children looked after age groups,15970,38
2024,Reporting year,National,E92000001,England,Female,Total 10 to 17 years,1. Convictions: Children looked after age groups,18000,100
2024,Reporting year,National,E92000001,England,Male,Total 10 to 17 years,1. Convictions: Children looked after age groups,23560,100
2024,Reporting year,National,E92000001,England,Total,Total 10 to 17 years,1. Convictions: Children looked after age groups,41550,100
2024,Reporting year,National,E92000001,England,Female,10 to 12 years,"1.1 Convicted or subject to youth cautions, or youth conditional cautions during the year",c,c
2024,Reporting year,National,E92000001,England,Male,10 to 12 years,"1.1 Convicted or subject to youth cautions, or youth conditional cautions during the year",10,k
2024,Reporting year,National,E92000001,England,Total,10 to 12 years,"1.1 Convicted or subject to youth cautions, or youth conditional cautions during the year",10,k
2024,Reporting year,National,E92000001,England,Female,13 to 15 years,"1.1 Convicted or subject to youth cautions, or youth conditional cautions during the year",80,1
2024,Reporting year,National,E92000001,England,Male,13 to 15 years,"1.1 Convicted or subject to youth cautions, or youth conditional cautions during the year",180,2
2024,Reporting year,National,E92000001,England,Total,13 to 15 years,"1.1 Convicted or subject to youth cautions, or youth conditional cautions during the year",260,2
2024,Reporting year,National,E92000001,England,Female,16 to 17 years,"1.1 Convicted or subject to youth cautions, or youth conditional cautions during the year",140,2
2024,Reporting year,National,E92000001,England,Male,16 to 17 years,"1.1 Convicted or subject to youth cautions, or youth conditional cautions during the year",520,5
2024,Reporting year,National,E92000001,England,Total,16 to 17 years,"1.1 Convicted or subject to youth cautions, or youth conditional cautions during the year",660,4
2024,Reporting year,National,E92000001,England,Female,Total 10 to 17 years,"1.1 Convicted or subject to youth cautions, or youth conditional cautions during the year",220,1
2024,Reporting year,National,E92000001,England,Male,Total 10 to 17 years,"1.1 Convicted or subject to youth cautions, or youth conditional cautions during the year",710,3
2024,Reporting year,National,E92000001,England,Total,Total 10 to 17 years,"1.1 Convicted or subject to youth cautions, or youth conditional cautions during the year",930,2
2024,Reporting year,National,E92000001,England,Female,10 to 12 years,2a. Substance misuse: Children looked after age groups,4880,19
2024,Reporting year,National,E92000001,England,Male,10 to 12 years,2a. Substance misuse: Children looked after age groups,5640,17
2024,Reporting year,National,E92000001,England,Total,10 to 12 years,2a. Substance misuse: Children looked after age groups,10510,18
2024,Reporting year,National,E92000001,England,Female,13 to 15 years,2a. Substance misuse: Children looked after age groups,6820,26
2024,Reporting year,National,E92000001,England,Male,13 to 15 years,2a. Substance misuse: Children looked after age groups,8250,25
2024,Reporting year,National,E92000001,England,Total,13 to 15 years,2a. Substance misuse: Children looked after age groups,15070,25
2024,Reporting year,National,E92000001,England,Female,16 to 17 years,2a. Substance misuse: Children looked after age groups,6300,24
2024,Reporting year,National,E92000001,England,Male,16 to 17 years,2a. Substance misuse: Children looked after age groups,9670,29
2024,Reporting year,National,E92000001,England,Total,16 to 17 years,2a. Substance misuse: Children looked after age groups,15970,27
2024,Reporting year,National,E92000001,England,Female,18 years and over,2a. Substance misuse: Children looked after age groups,c,c
2024,Reporting year,National,E92000001,England,Male,18 years and over,2a. Substance misuse: Children looked after age groups,c,c
2024,Reporting year,National,E92000001,England,Total,18 years and over,2a. Substance misuse: Children looked after age groups,c,c
2024,Reporting year,National,E92000001,England,Female,9 years and under,2a. Substance misuse: Children looked after age groups,8060,31
2024,Reporting year,National,E92000001,England,Male,9 years and under,2a. Substance misuse: Children looked after age groups,9860,30
2024,Reporting year,National,E92000001,England,Total,9 years and under,2a. Substance misuse: Children looked after age groups,17920,30
2024,Reporting year,National,E92000001,England,Female,Total all ages,2a. Substance misuse: Children looked after age groups,26050,100
2024,Reporting year,National,E92000001,England,Male,Total all ages,2a. Substance misuse: Children looked after age groups,33420,100
2024,Reporting year,National,E92000001,England,Total,Total all ages,2a. Substance misuse: Children looked after age groups,59480,100
2024,Reporting year,National,E92000001,England,Female,10 to 12 years,2a.1 Identified as having a substance misuse problem,10,k
2024,Reporting year,National,E92000001,England,Male,10 to 12 years,2a.1 Identified as having a substance misuse problem,10,k
2024,Reporting year,National,E92000001,England,Total,10 to 12 years,2a.1 Identified as having a substance misuse problem,20,k
2024,Reporting year,National,E92000001,England,Female,13 to 15 years,2a.1 Identified as having a substance misuse problem,180,3
2024,Reporting year,National,E92000001,England,Male,13 to 15 years,2a.1 Identified as having a substance misuse problem,220,3
2024,Reporting year,National,E92000001,England,Total,13 to 15 years,2a.1 Identified as having a substance misuse problem,400,3
2024,Reporting year,National,E92000001,England,Female,16 to 17 years,2a.1 Identified as having a substance misuse problem,480,8
2024,Reporting year,National,E92000001,England,Male,16 to 17 years,2a.1 Identified as having a substance misuse problem,700,7
2024,Reporting year,National,E92000001,England,Total,16 to 17 years,2a.1 Identified as having a substance misuse problem,1180,7
2024,Reporting year,National,E92000001,England,Female,18 years and over,2a.1 Identified as having a substance misuse problem,0,0
2024,Reporting year,National,E92000001,England,Male,18 years and over,2a.1 Identified as having a substance misuse problem,0,0
2024,Reporting year,National,E92000001,England,Total,18 years and over,2a.1 Identified as having a substance misuse problem,0,0
2024,Reporting year,National,E92000001,England,Female,9 years and under,2a.1 Identified as having a substance misuse problem,10,k
2024,Reporting year,National,E92000001,England,Male,9 years and under,2a.1 Identified as having a substance misuse problem,c,c
2024,Reporting year,National,E92000001,England,Total,9 years and under,2a.1 Identified as having a substance misuse problem,10,k
2024,Reporting year,National,E92000001,England,Female,Total all ages,2a.1 Identified as having a substance misuse problem,680,3
2024,Reporting year,National,E92000001,England,Male,Total all ages,2a.1 Identified as having a substance misuse problem,940,3
2024,Reporting year,National,E92000001,England,Total,Total all ages,2a.1 Identified as having a substance misuse problem,1620,3
2024,Reporting year,National,E92000001,England,Female,10 to 12 years,2a.1i Received an intervention for their substance misuse problem,c,c
2024,Reporting year,National,E92000001,England,Male,10 to 12 years,2a.1i Received an intervention for their substance misuse problem,c,c
2024,Reporting year,National,E92000001,England,Total,10 to 12 years,2a.1i Received an intervention for their substance misuse problem,c,c
2024,Reporting year,National,E92000001,England,Female,13 to 15 years,2a.1i Received an intervention for their substance misuse problem,80,45
2024,Reporting year,National,E92000001,England,Male,13 to 15 years,2a.1i Received an intervention for their substance misuse problem,100,45
2024,Reporting year,National,E92000001,England,Total,13 to 15 years,2a.1i Received an intervention for their substance misuse problem,180,45
2024,Reporting year,National,E92000001,England,Female,16 to 17 years,2a.1i Received an intervention for their substance misuse problem,180,37
2024,Reporting year,National,E92000001,England,Male,16 to 17 years,2a.1i Received an intervention for their substance misuse problem,250,36
2024,Reporting year,National,E92000001,England,Total,16 to 17 years,2a.1i Received an intervention for their substance misuse problem,430,37
2024,Reporting year,National,E92000001,England,Female,18 years and over,2a.1i Received an intervention for their substance misuse problem,z,z
2024,Reporting year,National,E92000001,England,Male,18 years and over,2a.1i Received an intervention for their substance misuse problem,z,z
2024,Reporting year,National,E92000001,England,Total,18 years and over,2a.1i Received an intervention for their substance misuse problem,z,z
2024,Reporting year,National,E92000001,England,Female,9 years and under,2a.1i Received an intervention for their substance misuse problem,c,c
2024,Reporting year,National,E92000001,England,Male,9 years and under,2a.1i Received an intervention for their substance misuse problem,c,c
2024,Reporting year,National,E92000001,England,Total,9 years and under,2a.1i Received an intervention for their substance misuse problem,c,c
2024,Reporting year,National,E92000001,England,Female,Total all ages,2a.1i Received an intervention for their substance misuse problem,260,39
2024,Reporting year,National,E92000001,England,Male,Total all ages,2a.1i Received an intervention for their substance misuse problem,360,38
2024,Reporting year,National,E92000001,England,Total,Total all ages,2a.1i Received an intervention for their substance misuse problem,620,39
2024,Reporting year,National,E92000001,England,Female,10 to 12 years,2a.1ii Offered intervention but refused it,c,c
2024,Reporting year,National,E92000001,England,Male,10 to 12 years,2a.1ii Offered intervention but refused it,c,c
2024,Reporting year,National,E92000001,England,Total,10 to 12 years,2a.1ii Offered intervention but refused it,10,32
2024,Reporting year,National,E92000001,England,Female,13 to 15 years,2a.1ii Offered intervention but refused it,60,35
2024,Reporting year,National,E92000001,England,Male,13 to 15 years,2a.1ii Offered intervention but refused it,80,35
2024,Reporting year,National,E92000001,England,Total,13 to 15 years,2a.1ii Offered intervention but refused it,140,35
2024,Reporting year,National,E92000001,England,Female,16 to 17 years,2a.1ii Offered intervention but refused it,210,43
2024,Reporting year,National,E92000001,England,Male,16 to 17 years,2a.1ii Offered intervention but refused it,320,46
2024,Reporting year,National,E92000001,England,Total,16 to 17 years,2a.1ii Offered intervention but refused it,530,45
2024,Reporting year,National,E92000001,England,Female,18 years and over,2a.1ii Offered intervention but refused it,z,z
2024,Reporting year,National,E92000001,England,Male,18 years and over,2a.1ii Offered intervention but refused it,z,z
