time_period,time_identifier,geographic_level,country_code,country_name,missing_status,characteristic,number
2024,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,1 to 4 years,30
2024,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,10 to 15 years,2440
2024,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,16 years and over,8300
2024,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,5 to 9 years,10
2024,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Total incidents,10780
2024,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Under 1 year,10
2024,Reporting year,National,E92000001,England,Away from placement without authorisation incidents,Total number of away from placement without authorisation incidents during the year,10780
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation,All children looked after during the year,116420
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (mean) number of days per away from placement without authorisation incident,3.1
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (median) number of days per away from placement without authorisation incident,1
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average number of incidents per looked after child who was away from placement without authorisation,4
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation more than once during the year,1380
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation on 31 March,60
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away without authorisation from placement on 31 March who were unaccompanied asylum-seeking children,10
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation,Percentage of children looked after during the year who were away from placement without authorisation,2
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,1. Total White,1490
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,1a. White British,1320
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,1b. White Irish,c
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,1c. Traveller of Irish Heritage,10
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,1d. Gypsy Roma,20
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,1e. Any other White background,150
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,2. Total Mixed or Multiple ethnic groups,370
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,2a. White and Black Caribbean,160
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,2b. White and Black African,60
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,2c. White and Asian,50
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,2d. Any other Mixed background,110
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,3. Total Asian or Asian British,160
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,3a. Indian,10
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,3b. Pakistani,20
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,3c. Bangladeshi,30
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,3d. Chinese,c
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,3e. Any other Asian background,100
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,"4. Total Black, African, Caribbean or Black British",470
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,4a. Caribbean,140
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,4b. African,210
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,4c. Any other Black background,120
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,5. Total other ethnic group,220
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,6. Total refused or information not yet available,10
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,6a. Refused,c
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,6b. Information not yet obtained,10
