time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,care_leaver_age,breakdown,care_leaver_count,care_leaver_percent
2025,Reporting year,National,E92000001,England,,,,,,22 years,Accommodation considered suitable,6360,55
2025,Reporting year,National,E92000001,England,,,,,,22 years,Accommodation considered unsuitable,470,4
2025,Reporting year,National,E92000001,England,,,,,,22 years,No information,4780,41
2025,Reporting year,National,E92000001,England,,,,,,22 years,Total,11600,100
2025,Reporting year,National,E92000001,England,,,,,,23 years,Accommodation considered suitable,4440,39
2025,Reporting year,National,E92000001,England,,,,,,23 years,Accommodation considered unsuitable,450,4
2025,Reporting year,National,E92000001,England,,,,,,23 years,No information,6380,57
2025,Reporting year,National,E92000001,England,,,,,,23 years,Total,11260,100
2025,Reporting year,National,E92000001,England,,,,,,24 years,Accommodation considered suitable,3420,32
2025,Reporting year,National,E92000001,England,,,,,,24 years,Accommodation considered unsuitable,330,3
2025,Reporting year,National,E92000001,England,,,,,,24 years,No information,7040,65
2025,Reporting year,National,E92000001,England,,,,,,24 years,Total,10790,100
2025,Reporting year,National,E92000001,England,,,,,,25 years,Accommodation considered suitable,2220,21
2025,Reporting year,National,E92000001,England,,,,,,25 years,Accommodation considered unsuitable,170,2
2025,Reporting year,National,E92000001,England,,,,,,25 years,No information,8080,77
2025,Reporting year,National,E92000001,England,,,,,,25 years,Total,10470,100
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,22 years,Accommodation considered suitable,280,55
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,22 years,Accommodation considered unsuitable,20,3
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,22 years,No information,220,42
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,22 years,Total,520,100
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,23 years,Accommodation considered suitable,200,41
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,23 years,Accommodation considered unsuitable,10,2
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,23 years,No information,280,57
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,23 years,Total,490,100
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,24 years,Accommodation considered suitable,170,32
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,24 years,Accommodation considered unsuitable,10,2
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,24 years,No information,350,66
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,24 years,Total,520,100
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,25 years,Accommodation considered suitable,70,16
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,25 years,Accommodation considered unsuitable,c,c
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,25 years,No information,400,83
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,25 years,Total,480,100
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,22 years,Accommodation considered suitable,930,57
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,22 years,Accommodation considered unsuitable,60,4
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,22 years,No information,640,39
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,22 years,Total,1630,100
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,23 years,Accommodation considered suitable,680,43
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,23 years,Accommodation considered unsuitable,50,3
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,23 years,No information,860,54
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,23 years,Total,1580,100
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,24 years,Accommodation considered suitable,550,36
