time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,care_leaver_age,breakdown,care_leaver_count,care_leaver_percent
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Bed and breakfast,20,k
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Community home,560,4
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Deported,0,0
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Emergency accommodation,140,1
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Foyers,520,4
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Gone abroad,c,c
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,In custody,270,2
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Independent living,1490,10
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,No fixed abode/homeless,60,k
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Ordinary lodgings,60,k
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Other accommodation,320,2
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Residence not known,40,k
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,"Semi-independent, transitional accommodation",5160,35
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Supported lodgings,930,6
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Total,14800,100
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Total information not known,870,6
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,With former foster carers,2530,17
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,With parents or relatives,1840,12
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Bed and breakfast,60,k
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Community home,1190,3
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Deported,c,c
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Emergency accommodation,500,1
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Foyers,990,3
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Gone abroad,30,k
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,In custody,1050,3
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Independent living,13790,36
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,No fixed abode/homeless,320,1
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Ordinary lodgings,460,1
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Other accommodation,1100,3
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Residence not known,210,1
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,"Semi-independent, transitional accommodation",7480,19
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Supported lodgings,1630,4
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Total,38440,100
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Total information not known,2340,6
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,With former foster carers,3190,8
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,With parents or relatives,4080,11
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Bed and breakfast,0,0
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Community home,30,4
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Deported,0,0
