time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,care_leaver_age,breakdown,care_leaver_count,care_leaver_percent
2025,Reporting year,National,E92000001,England,,,,,,22 years,Care leaver not in touch,4790,41
2025,Reporting year,National,E92000001,England,,,,,,22 years,"Education, training or employment",3630,31
2025,Reporting year,National,E92000001,England,,,,,,22 years,"Not in education, training or employment",3250,28
2025,Reporting year,National,E92000001,England,,,,,,22 years,Total,11670,100
2025,Reporting year,National,E92000001,England,,,,,,23 years,Care leaver not in touch,6400,57
2025,Reporting year,National,E92000001,England,,,,,,23 years,"Education, training or employment",2480,22
2025,Reporting year,National,E92000001,England,,,,,,23 years,"Not in education, training or employment",2440,22
2025,Reporting year,National,E92000001,England,,,,,,23 years,Total,11320,100
2025,Reporting year,National,E92000001,England,,,,,,24 years,Care leaver not in touch,7050,65
2025,Reporting year,National,E92000001,England,,,,,,24 years,"Education, training or employment",1830,17
2025,Reporting year,National,E92000001,England,,,,,,24 years,"Not in education, training or employment",1980,18
2025,Reporting year,National,E92000001,England,,,,,,24 years,Total,10870,100
2025,Reporting year,National,E92000001,England,,,,,,25 years,Care leaver not in touch,8090,76
2025,Reporting year,National,E92000001,England,,,,,,25 years,"Education, training or employment",1290,12
2025,Reporting year,National,E92000001,England,,,,,,25 years,"Not in education, training or employment",1190,11
2025,Reporting year,National,E92000001,England,,,,,,25 years,Total,10570,100
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,22 years,Care leaver not in touch,220,42
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,22 years,"Education, training or employment",140,27
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,22 years,"Not in education, training or employment",160,31
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,22 years,Total,520,100
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,23 years,Care leaver not in touch,280,57
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,23 years,"Education, training or employment",100,21
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,23 years,"Not in education, training or employment",110,22
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,23 years,Total,490,100
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,24 years,Care leaver not in touch,350,66
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,24 years,"Education, training or employment",90,18
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,24 years,"Not in education, training or employment",80,16
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,24 years,Total,520,100
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,25 years,Care leaver not in touch,400,83
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,25 years,"Education, training or employment",40,8
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,25 years,"Not in education, training or employment",40,9
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,25 years,Total,480,100
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,22 years,Care leaver not in touch,640,39
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,22 years,"Education, training or employment",540,33
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,22 years,"Not in education, training or employment",460,28
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,22 years,Total,1630,100
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,23 years,Care leaver not in touch,860,54
