time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,care_leaver_age,breakdown,care_leaver_count,care_leaver_percent
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Local authority in touch with care leaver,13830,93
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Local authority not in touch with care leaver,470,3
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Total,14800,100
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Young person no longer requires services,450,3
2025,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Young person refuses contact,40,k
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Local authority in touch with care leaver,35610,93
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Local authority not in touch with care leaver,1510,4
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Total,38440,100
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Young person no longer requires services,1000,3
2025,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Young person refuses contact,320,1
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Local authority in touch with care leaver,780,94
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Local authority not in touch with care leaver,30,4
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Total,830,100
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Young person no longer requires services,20,2
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Young person refuses contact,c,c
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,19 to 21 years,Local authority in touch with care leaver,1760,91
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,19 to 21 years,Local authority not in touch with care leaver,50,2
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,19 to 21 years,Total,1920,100
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,19 to 21 years,Young person no longer requires services,90,5
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,19 to 21 years,Young person refuses contact,30,2
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,17 to 18 years,Local authority in touch with care leaver,2130,94
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,17 to 18 years,Local authority not in touch with care leaver,60,2
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,17 to 18 years,Total,2270,100
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,17 to 18 years,Young person no longer requires services,80,4
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,17 to 18 years,Young person refuses contact,10,k
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,19 to 21 years,Local authority in touch with care leaver,5480,95
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,19 to 21 years,Local authority not in touch with care leaver,100,2
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,19 to 21 years,Total,5760,100
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,19 to 21 years,Young person no longer requires services,150,3
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,19 to 21 years,Young person refuses contact,30,k
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,17 to 18 years,Local authority in touch with care leaver,1310,95
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,17 to 18 years,Local authority not in touch with care leaver,50,4
