time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,care_leaver_age,breakdown,care_leaver_count,care_leaver_percent
2025,Reporting year,National,E92000001,England,,,,,,22 years,Care leaver not in touch,4900,42
2025,Reporting year,National,E92000001,England,,,,,,22 years,Total,11670,100
2025,Reporting year,National,E92000001,England,,,,,,22 years,Young person has requested and received support,6780,58
2025,Reporting year,National,E92000001,England,,,,,,23 years,Care leaver not in touch,6500,57
2025,Reporting year,National,E92000001,England,,,,,,23 years,Total,11320,100
2025,Reporting year,National,E92000001,England,,,,,,23 years,Young person has requested and received support,4810,43
2025,Reporting year,National,E92000001,England,,,,,,24 years,Care leaver not in touch,7200,66
2025,Reporting year,National,E92000001,England,,,,,,24 years,Total,10870,100
2025,Reporting year,National,E92000001,England,,,,,,24 years,Young person has requested and received support,3670,34
2025,Reporting year,National,E92000001,England,,,,,,25 years,Care leaver not in touch,8260,78
2025,Reporting year,National,E92000001,England,,,,,,25 years,Total,10570,100
2025,Reporting year,National,E92000001,England,,,,,,25 years,Young person has requested and received support,2310,22
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,22 years,Care leaver not in touch,220,42
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,22 years,Total,520,100
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,22 years,Young person has requested and received support,300,58
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,23 years,Care leaver not in touch,280,57
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,23 years,Total,490,100
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,23 years,Young person has requested and received support,210,43
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,24 years,Care leaver not in touch,350,66
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,24 years,Total,520,100
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,24 years,Young person has requested and received support,180,34
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,25 years,Care leaver not in touch,400,83
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,25 years,Total,480,100
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,25 years,Young person has requested and received support,80,17
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,22 years,Care leaver not in touch,650,40
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,22 years,Total,1630,100
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,22 years,Young person has requested and received support,990,60
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,23 years,Care leaver not in touch,870,55
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,23 years,Total,1580,100
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,23 years,Young person has requested and received support,720,45
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,24 years,Care leaver not in touch,930,62
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,24 years,Total,1510,100
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,24 years,Young person has requested and received support,580,38
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,25 years,Care leaver not in touch,1010,74
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,25 years,Total,1360,100
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,25 years,Young person has requested and received support,350,26
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,22 years,Care leaver not in touch,520,50
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,22 years,Total,1020,100
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,22 years,Young person has requested and received support,510,50
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,23 years,Care leaver not in touch,580,61
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,23 years,Total,950,100
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,23 years,Young person has requested and received support,370,39
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,24 years,Care leaver not in touch,660,71
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,24 years,Total,920,100
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,24 years,Young person has requested and received support,270,29
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,25 years,Care leaver not in touch,730,83
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,25 years,Total,890,100
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,25 years,Young person has requested and received support,150,17
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,22 years,Care leaver not in touch,330,41
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,22 years,Total,810,100
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,22 years,Young person has requested and received support,480,59
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,23 years,Care leaver not in touch,440,54
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,23 years,Total,810,100
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,23 years,Young person has requested and received support,370,46
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,24 years,Care leaver not in touch,450,56
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,24 years,Total,810,100
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,24 years,Young person has requested and received support,360,44
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,25 years,Care leaver not in touch,450,59
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,25 years,Total,760,100
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,25 years,Young person has requested and received support,310,41
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,22 years,Care leaver not in touch,670,53
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,22 years,Total,1260,100
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,22 years,Young person has requested and received support,590,47
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,23 years,Care leaver not in touch,830,66
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,23 years,Total,1250,100
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,23 years,Young person has requested and received support,430,34
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,24 years,Care leaver not in touch,910,74
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,24 years,Total,1230,100
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,24 years,Young person has requested and received support,320,26
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,25 years,Care leaver not in touch,970,83
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,25 years,Total,1160,100
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,25 years,Young person has requested and received support,190,17
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,22 years,Care leaver not in touch,520,45
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,22 years,Total,1150,100
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,22 years,Young person has requested and received support,630,55
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,23 years,Care leaver not in touch,700,62
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,23 years,Total,1120,100
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,23 years,Young person has requested and received support,420,38
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,24 years,Care leaver not in touch,740,71
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,24 years,Total,1040,100
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,24 years,Young person has requested and received support,310,29
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,25 years,Care leaver not in touch,890,80
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,25 years,Total,1110,100
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,25 years,Young person has requested and received support,220,20
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,22 years,Care leaver not in touch,730,29
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,22 years,Total,2470,100
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,22 years,Young person has requested and received support,1740,71
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,23 years,Care leaver not in touch,1210,48
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,23 years,Total,2490,100
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,23 years,Young person has requested and received support,1280,52
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,24 years,Care leaver not in touch,1400,59
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,24 years,Total,2380,100
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,24 years,Young person has requested and received support,980,41
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,25 years,Care leaver not in touch,1770,76
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,25 years,Total,2340,100
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,25 years,Young person has requested and received support,570,24
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,22 years,Care leaver not in touch,810,45
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,22 years,Total,1820,100
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,22 years,Young person has requested and received support,1010,55
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,23 years,Care leaver not in touch,1000,60
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,23 years,Total,1680,100
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,23 years,Young person has requested and received support,680,40
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,24 years,Care leaver not in touch,1080,69
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,24 years,Total,1560,100
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,24 years,Young person has requested and received support,480,31
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,25 years,Care leaver not in touch,1310,81
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,25 years,Total,1610,100
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,25 years,Young person has requested and received support,310,19
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,22 years,Care leaver not in touch,470,47
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,22 years,Total,1000,100
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,22 years,Young person has requested and received support,530,53
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,23 years,Care leaver not in touch,600,64
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,23 years,Total,930,100
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,23 years,Young person has requested and received support,340,36
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,24 years,Care leaver not in touch,690,78
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,24 years,Total,890,100
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,24 years,Young person has requested and received support,200,22
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,25 years,Care leaver not in touch,740,85
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,25 years,Total,870,100
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,25 years,Young person has requested and received support,130,15
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,22 years,Care leaver not in touch,260,23
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,22 years,Total,1120,100
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,22 years,Young person has requested and received support,860,77
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,23 years,Care leaver not in touch,380,38
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,23 years,Total,1000,100
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,23 years,Young person has requested and received support,610,62
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,24 years,Care leaver not in touch,490,48
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,24 years,Total,1030,100
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,24 years,Young person has requested and received support,540,52
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,25 years,Care leaver not in touch,690,68
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,25 years,Total,1020,100
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,25 years,Young person has requested and received support,320,32
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,22 years,Care leaver not in touch,470,35
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,22 years,Total,1350,100
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,22 years,Young person has requested and received support,880,65
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,23 years,Care leaver not in touch,820,55
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,23 years,Total,1490,100
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,23 years,Young person has requested and received support,670,45
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,24 years,Care leaver not in touch,910,68
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,24 years,Total,1350,100
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,24 years,Young person has requested and received support,440,32
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,25 years,Care leaver not in touch,1080,81
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,25 years,Total,1330,100
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,25 years,Young person has requested and received support,250,19
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,22 years,Care leaver not in touch,15,58
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,22 years,Total,26,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,22 years,Young person has requested and received support,11,42
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,23 years,Care leaver not in touch,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,23 years,Total,13,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,23 years,Young person has requested and received support,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,24 years,Care leaver not in touch,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,24 years,Total,30,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,24 years,Young person has requested and received support,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,25 years,Care leaver not in touch,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,25 years,Total,30,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,25 years,Young person has requested and received support,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,22 years,Care leaver not in touch,20,49
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,22 years,Total,41,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,22 years,Young person has requested and received support,21,51
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,23 years,Care leaver not in touch,33,83
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,23 years,Total,40,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,23 years,Young person has requested and received support,7,18
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,24 years,Care leaver not in touch,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,24 years,Total,35,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,24 years,Young person has requested and received support,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,25 years,Care leaver not in touch,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,25 years,Total,45,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,25 years,Young person has requested and received support,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,22 years,Care leaver not in touch,11,26
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,22 years,Total,43,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,22 years,Young person has requested and received support,32,74
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,23 years,Care leaver not in touch,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,23 years,Total,26,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,23 years,Young person has requested and received support,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,24 years,Care leaver not in touch,23,77
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,24 years,Total,30,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,24 years,Young person has requested and received support,7,23
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,25 years,Care leaver not in touch,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,25 years,Total,22,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,25 years,Young person has requested and received support,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,22 years,Care leaver not in touch,31,74
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,22 years,Total,42,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,22 years,Young person has requested and received support,11,26
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,23 years,Care leaver not in touch,28,80
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,23 years,Total,35,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,23 years,Young person has requested and received support,7,20
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,24 years,Care leaver not in touch,29,83
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,24 years,Total,35,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,24 years,Young person has requested and received support,6,17
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,25 years,Care leaver not in touch,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,25 years,Total,38,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,25 years,Young person has requested and received support,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,22 years,Care leaver not in touch,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,22 years,Total,17,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,22 years,Young person has requested and received support,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,23 years,Care leaver not in touch,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,23 years,Total,17,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,23 years,Young person has requested and received support,17,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,24 years,Care leaver not in touch,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,24 years,Total,22,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,24 years,Young person has requested and received support,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,25 years,Care leaver not in touch,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,25 years,Total,19,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,25 years,Young person has requested and received support,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,22 years,Care leaver not in touch,11,15
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,22 years,Total,71,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,22 years,Young person has requested and received support,60,85
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,23 years,Care leaver not in touch,17,22
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,23 years,Total,78,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,23 years,Young person has requested and received support,61,78
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,24 years,Care leaver not in touch,10,15
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,24 years,Total,67,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,24 years,Young person has requested and received support,57,85
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,25 years,Care leaver not in touch,42,82
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,25 years,Total,51,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,25 years,Young person has requested and received support,9,18
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,22 years,Care leaver not in touch,21,46
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,22 years,Total,46,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,22 years,Young person has requested and received support,25,54
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,23 years,Care leaver not in touch,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,23 years,Total,34,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,23 years,Young person has requested and received support,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,24 years,Care leaver not in touch,36,86
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,24 years,Total,42,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,24 years,Young person has requested and received support,6,14
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,25 years,Care leaver not in touch,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,25 years,Total,44,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,25 years,Young person has requested and received support,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,22 years,Care leaver not in touch,33,55
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,22 years,Total,60,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,22 years,Young person has requested and received support,27,45
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,23 years,Care leaver not in touch,60,79
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,23 years,Total,76,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,23 years,Young person has requested and received support,16,21
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,24 years,Care leaver not in touch,79,93
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,24 years,Total,85,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,24 years,Young person has requested and received support,6,7
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,25 years,Care leaver not in touch,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,25 years,Total,58,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,25 years,Young person has requested and received support,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,22 years,Care leaver not in touch,16,39
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,22 years,Total,41,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,22 years,Young person has requested and received support,25,61
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,23 years,Care leaver not in touch,17,44
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,23 years,Total,39,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,23 years,Young person has requested and received support,22,56
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,24 years,Care leaver not in touch,27,60
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,24 years,Total,45,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,24 years,Young person has requested and received support,18,40
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,25 years,Care leaver not in touch,29,81
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,25 years,Total,36,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,25 years,Young person has requested and received support,7,19
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,22 years,Care leaver not in touch,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,22 years,Total,29,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,22 years,Young person has requested and received support,29,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,23 years,Care leaver not in touch,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,23 years,Total,33,100
