time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,characteristic,breakdown,children_count,children_percent
2025,Reporting year,National,E92000001,England,,,,,,Age on ceasing,1 to 4 years,6250,18
2025,Reporting year,National,E92000001,England,,,,,,Age on ceasing,10 to 15 years,4860,14
2025,Reporting year,National,E92000001,England,,,,,,Age on ceasing,16 years,2240,6
2025,Reporting year,National,E92000001,England,,,,,,Age on ceasing,17 years,1890,5
2025,Reporting year,National,E92000001,England,,,,,,Age on ceasing,18 years and over,13740,40
2025,Reporting year,National,E92000001,England,,,,,,Age on ceasing,5 to 9 years,3710,11
2025,Reporting year,National,E92000001,England,,,,,,Age on ceasing,Total,34450,100
2025,Reporting year,National,E92000001,England,,,,,,Age on ceasing,Under 1 year,1770,5
2025,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Accommodation on remand ended,140,k
2025,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Adopted,3040,9
2025,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Age assessment determined child aged 18 or over,340,1
2025,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Aged 18 (or over) and remained with current carers,6000,17
2025,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Care ceased for any other reason,2520,7
2025,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Care taken by another local authority,2640,8
2025,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Child moved abroad,80,k
2025,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Died,60,k
2025,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,"Left care to live with parents, relatives or other person with no parental responsibility",1800,5
2025,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Moved into independent living (with no formalised support),1130,3
2025,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Moved into independent living (with supportive accommodation),4220,12
2025,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Residence order or child arrangement order granted,1080,3
2025,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Returned home to live with parents or other person with parental responsibility which was not part of the care planning process,1070,3
2025,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Returned home to live with parents or other person with parental responsibility which was part of the care planning process,5540,16
2025,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Sentenced to custody,210,1
2025,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Special guardianship order,4110,12
2025,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Total,34450,100
2025,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Transferred to residential care funded by adult social services,480,1
2025,Reporting year,National,E92000001,England,,,,,,Sex,Female,13120,38
2025,Reporting year,National,E92000001,England,,,,,,Sex,Male,21330,62
