time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,characteristic,breakdown,children_count,children_percent
2025,Reporting year,National,E92000001,England,,,,,,Age on starting,1 to 4 years,4430,14
2025,Reporting year,National,E92000001,England,,,,,,Age on starting,10 to 15 years,8660,27
2025,Reporting year,National,E92000001,England,,,,,,Age on starting,16 years and over,9110,28
2025,Reporting year,National,E92000001,England,,,,,,Age on starting,5 to 9 years,4920,15
2025,Reporting year,National,E92000001,England,,,,,,Age on starting,Total,32270,100
2025,Reporting year,National,E92000001,England,,,,,,Age on starting,Under 1 year,5140,16
2025,Reporting year,National,E92000001,England,,,,,,Category of need,N1. Abuse or neglect,18310,57
2025,Reporting year,National,E92000001,England,,,,,,Category of need,N2. Child's disability,580,2
2025,Reporting year,National,E92000001,England,,,,,,Category of need,N3. Parental illness or disability,610,2
2025,Reporting year,National,E92000001,England,,,,,,Category of need,N4. Family acute stress,2370,7
2025,Reporting year,National,E92000001,England,,,,,,Category of need,N5. Family dysfunction,3050,9
2025,Reporting year,National,E92000001,England,,,,,,Category of need,N6. Socially unacceptable behaviour,580,2
2025,Reporting year,National,E92000001,England,,,,,,Category of need,N7. Low income,30,k
2025,Reporting year,National,E92000001,England,,,,,,Category of need,N8. Absent parenting,6740,21
2025,Reporting year,National,E92000001,England,,,,,,Category of need,Total,32270,100
2025,Reporting year,National,E92000001,England,,,,,,Legal status,Child assessment order and in LA accommodation,10,k
2025,Reporting year,National,E92000001,England,,,,,,Legal status,Emergency protection order,370,1
2025,Reporting year,National,E92000001,England,,,,,,Legal status,Full care order,190,1
2025,Reporting year,National,E92000001,England,,,,,,Legal status,Interim care order,10030,31
2025,Reporting year,National,E92000001,England,,,,,,Legal status,LA accommodation under PACE 1989,10,k
2025,Reporting year,National,E92000001,England,,,,,,Legal status,Placement order granted,10,k
2025,Reporting year,National,E92000001,England,,,,,,Legal status,Police protection in LA accommodation,2920,9
2025,Reporting year,National,E92000001,England,,,,,,Legal status,Remand,490,2
2025,Reporting year,National,E92000001,England,,,,,,Legal status,Sentenced to youth rehabilitation order,10,k
2025,Reporting year,National,E92000001,England,,,,,,Legal status,Total,32270,100
2025,Reporting year,National,E92000001,England,,,,,,Legal status,Voluntary agreement under S20,18240,57
2025,Reporting year,National,E92000001,England,,,,,,Sex,Female,12770,40
2025,Reporting year,National,E92000001,England,,,,,,Sex,Male,19500,60
2025,Reporting year,National,E92000001,England,,,,,,Sex,Total,32270,100
2025,Reporting year,National,E92000001,England,,,,,,Taken into care,All children taken into care,13510,42
2025,Reporting year,National,E92000001,England,,,,,,Taken into care,Not taken into care,18760,58
2025,Reporting year,National,E92000001,England,,,,,,Taken into care,Total,32270,100
2025,Reporting year,National,E92000001,England,,,,,,Unaccompanied asylum-seeking children,Children excluding unaccompanied asylum-seeking children,25320,78
2025,Reporting year,National,E92000001,England,,,,,,Unaccompanied asylum-seeking children,Total,32270,100
2025,Reporting year,National,E92000001,England,,,,,,Unaccompanied asylum-seeking children,Unaccompanied asylum-seeking children,6950,22
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Age on starting,1 to 4 years,440,19
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Age on starting,10 to 15 years,640,27
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Age on starting,16 years and over,320,14
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Age on starting,5 to 9 years,470,20
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Age on starting,Total,2350,100
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Age on starting,Under 1 year,470,20
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Category of need,N1. Abuse or neglect,1590,68
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Category of need,N2. Child's disability,30,1
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Category of need,N3. Parental illness or disability,20,1
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Category of need,N4. Family acute stress,180,8
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Category of need,N5. Family dysfunction,360,15
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Category of need,N6. Socially unacceptable behaviour,30,1
