time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,characteristic,breakdown,children_count,children_percent
2025,Reporting year,National,E92000001,England,,,,,,Age group,1 to 4 years,10030,12
2025,Reporting year,National,E92000001,England,,,,,,Age group,10 to 15 years,30930,38
2025,Reporting year,National,E92000001,England,,,,,,Age group,16 years and over,22060,27
2025,Reporting year,National,E92000001,England,,,,,,Age group,5 to 9 years,15110,18
2025,Reporting year,National,E92000001,England,,,,,,Age group,Total,81770,100
2025,Reporting year,National,E92000001,England,,,,,,Age group,Under 1 year,3630,4
2025,Reporting year,National,E92000001,England,,,,,,Category of need,N1. Abuse or neglect,55020,67
2025,Reporting year,National,E92000001,England,,,,,,Category of need,N2. Child's disability,1890,2
2025,Reporting year,National,E92000001,England,,,,,,Category of need,N3. Parental illness or disability,1940,2
2025,Reporting year,National,E92000001,England,,,,,,Category of need,N4. Family in acute stress,5910,7
2025,Reporting year,National,E92000001,England,,,,,,Category of need,N5. Family dysfunction,9630,12
2025,Reporting year,National,E92000001,England,,,,,,Category of need,N6. Socially unacceptable behaviour,810,1
2025,Reporting year,National,E92000001,England,,,,,,Category of need,N7. Low income,70,k
2025,Reporting year,National,E92000001,England,,,,,,Category of need,N8. Absent parenting,6510,8
2025,Reporting year,National,E92000001,England,,,,,,Category of need,Total,81770,100
2025,Reporting year,National,E92000001,England,,,,,,Distance between home and placement,Distance not known or not recorded,6990,9
2025,Reporting year,National,E92000001,England,,,,,,Distance between home and placement,Placed 20 miles or less from home,56670,69
2025,Reporting year,National,E92000001,England,,,,,,Distance between home and placement,Placed more than 20 miles from home,18120,22
2025,Reporting year,National,E92000001,England,,,,,,Distance between home and placement,Total,81770,100
2025,Reporting year,National,E92000001,England,,,,,,Distance between home and placement and locality of placement,"1. Placed inside the LA boundary, 20 miles or less from home",38500,47
2025,Reporting year,National,E92000001,England,,,,,,Distance between home and placement and locality of placement,"2. Placed outside the LA boundary, 20 miles or less from home",18160,22
2025,Reporting year,National,E92000001,England,,,,,,Distance between home and placement and locality of placement,"3. Placed inside the LA boundary, more than 20 miles from home",3460,4
