time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,characteristic,breakdown,children_count,children_percent
2025,Reporting year,National,E92000001,England,,,,,,Development assessments: Children looked after ages 0 to 4 years,Development assessments up to date,5580,88
2025,Reporting year,National,E92000001,England,,,,,,Development assessments: Children looked after ages 0 to 4 years,Total ages 0 to 4 years,6360,100
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Development assessments: Children looked after ages 0 to 4 years,Development assessments up to date,330,81
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Development assessments: Children looked after ages 0 to 4 years,Total ages 0 to 4 years,410,100
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Development assessments: Children looked after ages 0 to 4 years,Development assessments up to date,1090,88
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Development assessments: Children looked after ages 0 to 4 years,Total ages 0 to 4 years,1240,100
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Development assessments: Children looked after ages 0 to 4 years,Development assessments up to date,720,94
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Development assessments: Children looked after ages 0 to 4 years,Total ages 0 to 4 years,770,100
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Development assessments: Children looked after ages 0 to 4 years,Development assessments up to date,460,87
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Development assessments: Children looked after ages 0 to 4 years,Total ages 0 to 4 years,520,100
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Development assessments: Children looked after ages 0 to 4 years,Development assessments up to date,1060,84
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Development assessments: Children looked after ages 0 to 4 years,Total ages 0 to 4 years,1250,100
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Development assessments: Children looked after ages 0 to 4 years,Development assessments up to date,440,93
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Development assessments: Children looked after ages 0 to 4 years,Total ages 0 to 4 years,480,100
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,Development assessments: Children looked after ages 0 to 4 years,Development assessments up to date,570,88
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,Development assessments: Children looked after ages 0 to 4 years,Total ages 0 to 4 years,650,100
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Development assessments: Children looked after ages 0 to 4 years,Development assessments up to date,560,95
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Development assessments: Children looked after ages 0 to 4 years,Total ages 0 to 4 years,590,100
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Development assessments: Children looked after ages 0 to 4 years,Development assessments up to date,350,79
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Development assessments: Children looked after ages 0 to 4 years,Total ages 0 to 4 years,450,100
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Development assessments: Children looked after ages 0 to 4 years,Development assessments up to date,240,92
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Development assessments: Children looked after ages 0 to 4 years,Total ages 0 to 4 years,260,100
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Development assessments: Children looked after ages 0 to 4 years,Development assessments up to date,340,86
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Development assessments: Children looked after ages 0 to 4 years,Total ages 0 to 4 years,390,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Development assessments: Children looked after ages 0 to 4 years,Development assessments up to date,21,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Development assessments: Children looked after ages 0 to 4 years,Total ages 0 to 4 years,21,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Development assessments: Children looked after ages 0 to 4 years,Development assessments up to date,11,30
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Development assessments: Children looked after ages 0 to 4 years,Total ages 0 to 4 years,37,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Development assessments: Children looked after ages 0 to 4 years,Development assessments up to date,20,59
