time_period,time_identifier,geographic_level,country_code,country_name,missing_status,characteristic,number
2025,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,1 to 4 years,c
2025,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,10 to 15 years,2720
2025,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,16 years and over,10400
2025,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,5 to 9 years,c
2025,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Total incidents,13130
2025,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Under 1 year,c
2025,Reporting year,National,E92000001,England,Away from placement without authorisation incidents,Total number of away from placement without authorisation incidents during the year,13130
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation,All children looked after during the year,115410
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (mean) number of days per away from placement without authorisation incident,2.3
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (median) number of days per away from placement without authorisation incident,1
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average number of incidents per looked after child who was away from placement without authorisation,4.5
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation more than once during the year,1560
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation on 31 March,60
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away without authorisation from placement on 31 March who were unaccompanied asylum-seeking children,10
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation,Percentage of children looked after during the year who were away from placement without authorisation,3
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,African,250
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other Asian background,110
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other Black background,100
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other Mixed background,120
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other White background,140
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Bangladeshi,30
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Caribbean,150
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Chinese,0
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Gypsy Roma,20
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Indian,10
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Information not yet obtained,10
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Pakistani,40
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Refused,c
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total Asian or Asian British,190
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,"Total Black, African, Caribbean or Black British",500
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total children who were away from placement without authorisation during the year,2900
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total Mixed or Multiple ethnic groups,360
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total other ethnic group,250
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total refused or information not yet available,10
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total White,1590
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Traveller of Irish Heritage,c
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White and Asian,40
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White and Black African,50
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White and Black Caribbean,150
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White British,1410
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White Irish,10
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by sex,Females,1270
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by sex,Males,1630
2025,Reporting year,National,E92000001,England,Children away from placement without authorisation by sex,Total children who were away from placement without authorisation during the year,2900
2025,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 1 and 2 days,7660
2025,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 11 and 15 days,140
2025,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 16 and 20 days,50
2025,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 21 and 30 days,70
2025,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 3 and 7 days,1560
2025,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 8 and 10 days,170
2025,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Less than 1 day,3370
2025,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,More than 30 days,120
2025,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Total incidents,13130
2025,Reporting year,National,E92000001,England,Placement locations from which children were away from placement without authorisation,Away from placement without authorisation inside council boundary,5580
2025,Reporting year,National,E92000001,England,Placement locations from which children were away from placement without authorisation,Away from placement without authorisation outside council boundary,7550
2025,Reporting year,National,E92000001,England,Placement locations from which children were away from placement without authorisation,Total incidents,13130
2025,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,1: Foster placements,1920
2025,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,2: Adoption,0
2025,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,3: Placed with parents or other person with parental responsibility,60
2025,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,4: Secure homes and children's homes,2390
2025,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,5: Independent and semi-independent living arrangements/ supported accommodation,6730
2025,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,6: Other placements,2040
2025,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Total incidents,13130
2024,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,1 to 4 years,30
2024,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,10 to 15 years,2430
2024,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,16 years and over,8300
2024,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,5 to 9 years,10
2024,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Total incidents,10770
